     count    mean_size     size    percent
DHH     31  1980.838710    61406   2.045502
DTC    308   915.269481   281903   9.390503
DTH     19   343.894737     6534   0.217655
DTM     21   775.523810    16286   0.542505
DTT     48   320.500000    15384   0.512458
DXX      1   153.000000      153   0.005097
RIJ      1   102.000000      102   0.003398
RIX     15   901.466667    13522   0.450433
RLC    123  3604.333333   443333  14.767916
RLG   1642   881.823386  1447954  48.232962
RLX     57  2405.192982   137096   4.566821
RSX      6   465.666667     2794   0.093071
XXX     35   430.600000    15071   0.502032
