      count    mean_size       size    percent
DHH   17692   491.060084    8687835   1.462347
DTA    1983   345.214322     684560   0.115226
DTC   51997  1081.585034   56239177   9.466249
DTH    7365   417.703734    3076388   0.517821
DTM    8220   414.255961    3405184   0.573165
DTT   13915   335.768523    4672219   0.786434
DTX     174   288.097701      50129   0.008438
DXX     147   294.326531      43266   0.007283
NULL    115   184.252174      21189   0.003567
RIJ      31   104.387097       3236   0.000545
RIL      13   169.384615       2202   0.000371
RIR       3   501.333333       1504   0.000253
RIX    3325   726.326617    2415036   0.406502
RLC   23706  2145.470514   50860524   8.560907
RLG   82262  2225.121089  183042911  30.810011
RLX   12947   820.386808   10621548   1.787832
RSX     878   345.350797     303218   0.051038
XXX   25056   388.035840    9722626   1.636525
