IID,ANTHCOL_Shenzhen_2022_Natural,Ant_Quzhou_2022_Natural,Ant_Shenzhen_2022_Natural_1st,Ant_Shenzhen_2022_Natural_50percent,AWNLG_Kaifeng-GH_2020_Natural,AWNLG_Kaifeng_2020_Natural,AWNLG_Shenzhen-LN_2021_Natural,AWNLG_Shenzhen-NN_2021_Natural,BM_Quzhou_2022_Natural_Leaf-Mature,BM_Quzhou_2022_Natural_Spike-Mature,BM_Quzhou_2022_Natural_Stem-Mature,BM_Shenzhen_2022_Natural_leaf-flowering,BM_Shenzhen_2022_Natural_leaf-mature,BM_Shenzhen_2022_Natural_spike-flowering,BM_Shenzhen_2022_Natural_stem-flowering,BM_Shenzhen_2022_Natural_stem-mature,Boot_Kaifeng-GH_2020_Natural,Boot_Shenzhen_2022_Natural_1st,Boot_Shenzhen_2022_Natural_50percent,CC_Shenzhen-LN_2021_Natural,CC_Shenzhen-NN_2021_Natural,CC_Shenzhen_2022_Natural_0208-0213,CC_Shenzhen_2022_Natural_220107,CHL_Shenzhen-LN_2020_Natural,CHL_Shenzhen-NN_2020_Natural,CirDe_Quzhou_2022_Natural,CirDe_Shenzhen_2022_Natural,CI_Shenzhen-LN_2020_Natural,CI_Shenzhen-NN_2020_Natural,CO2A_Quzhou_2022_Natural,CO2A_Shenzhen_2022_Natural,DATT_Shenzhen-LN_2020_Natural,DATT_Shenzhen-NN_2020_Natural,DI_Shenzhen-LN_2020_Natural,DI_Shenzhen-NN_2020_Natural,DVI_Shenzhen-LN_2020_Natural,DVI_Shenzhen-NN_2020_Natural,EARLG_Kaifeng-GH_2020_Natural,EARLG_Kaifeng_2020_Natural,EARLG_Quzhou_2022_Natural,EARLG_Shenzhen-LN_2021_Natural,EARLG_Shenzhen-NN_2021_Natural,EARLG_Shenzhen_2022_Natural,EAR_Kaifeng-GH_2020_Natural,EmerNo_Quzhou_2022_Natural,EmerNo_Shenzhen_2022_Natural,EVI_Shenzhen-LN_2020_Natural,EVI_Shenzhen-NN_2020_Natural,FHB_Shenzhen_2022_Natural,FT_Kaifeng-GH_2020_Natural,FT_Shenzhen-LN_2021_Natural,FT_Shenzhen-NN_2021_Natural,Gcir_Quzhou_2022_Natural,Gcir_Shenzhen_2022_Natural,GI_Shenzhen-LN_2020_Natural,GI_Shenzhen-NN_2020_Natural,GLCOL_Quzhou_2022_Natural,GLng_Quzhou_2022_Natural,GLng_Shenzhen_2022_Natural,GlumePub_Quzhou_2022_Natural,GlumePub_Shenzhen-LN_2021_Natural,GlumePub_Shenzhen-NN_2021_Natural,GlumePub_Shenzhen_2022_Natural,GNDVI_Shenzhen-LN_2020_Natural,GNDVI_Shenzhen-NN_2020_Natural,GRDIA_Quzhou_2022_Natural,GRDIA_Shenzhen_2022_Natural,GrnSpk_Kaifeng-GH_2020_Natural,GrnSpk_Kaifeng_2020_Natural,GrnSpk_Quzhou_2022_Natural,GrnSpk_Shenzhen-LN_2021_Natural,GrnSpk_Shenzhen-NN_2021_Natural,GrnSpk_Shenzhen_2022_Natural,GrnSpl_Kaifeng-GH_2020_Natural,GrnSpl_Kaifeng_2020_Natural,GrnSpl_Quzhou_2022_Natural,GrnSpl_Shenzhen-LN_2021_Natural,GrnSpl_Shenzhen-NN_2021_Natural,GrnSpl_Shenzhen_2022_Natural,GrwHabit_Shenzhen-LN_2021_Natural,GrwHabit_Shenzhen-NN_2021_Natural,GSurfA_Quzhou_2022_Natural,GSurfA_Shenzhen_2022_Natural,GWid_Quzhou_2022_Natural,GWid_Shenzhen_2022_Natural,GW_Quzhou_2022_Natural_1000Xin,GW_Quzhou_2022_Natural_1000Xu,GW_Quzhou_2022_Natural_100Xin,GW_Shenzhen_2022_Natural_1000Xin,GW_Shenzhen_2022_Natural_1000Xu,GW_Shenzhen_2022_Natural_100Xin,GY_Kaifeng-GH_2020_Natural_1plant,GY_Quzhou_2022_Natural_1plot,GY_Shenzhen-LN_2021_Natural_1plot,GY_Shenzhen-NN_2021_Natural_1plot,Hd_Kaifeng-GH_2020_Natural,Hd_Quzhou_2022_Natural,Hd_Shenzhen-LN_2021_Natural,Hd_Shenzhen-NN_2021_Natural,Hd_Shenzhen_2022_Natural_1st,Hd_Shenzhen_2022_Natural_50percent,Hd_Shenzhen_2022_Natural_50percentXin,InterCO2_Quzhou_2022_Natural,InterCO2_Shenzhen_2022_Natural,LAI_Shenzhen_2022_Natural,LeaAuCol_Quzhou_2022_Natural,LeaAuCol_Shenzhen_2022_Natural,LeafCol_Shenzhen_2022_Natural,LeafLen_Quzhou_2022_Flag_Natural,LeafLen_Quzhou_2022_Second_Natural,LeafLen_Shenzhen-LN_2021_Natural,LeafLen_Shenzhen-NN_2021_Natural,LeafLen_Shenzhen_2022_Flag_Natural,LeafLen_Shenzhen_2022_Second_Natural,LeafTem_Quzhou_2022_Natural,LeafTem_Shenzhen_2022_Natural,LeafWid_Quzhou_2022_Flag_Natural,LeafWid_Quzhou_2022_Second_Natural,LeafWid_Shenzhen-LN_2021_Natural,LeafWid_Shenzhen-NN_2021_Natural,LeafWid_Shenzhen_2022_Flag_Natural,LeafWid_Shenzhen_2022_Second_Natural,LenWidRa_Quzhou_2022_Natural,LenWidRa_Shenzhen_2022_Natural,LODG_Quzhou_2022_Natural,LODG_Shenzhen_2022_Natural,LR_Quzhou_2022_Natural,LS_Shenzhen_2022_Natural,Mat_Quzhou_2022_Natural,Mat_Shenzhen_2022_Natural_1st,Mat_Shenzhen_2022_Natural_50percentXin,Mat_Shenzhen_2022_Natural_50percnet,MTCI_Shenzhen-LN_2020_Natural,MTCI_Shenzhen-NN_2020_Natural,NDVI_Shenzhen-LN_2020_Natural,NDVI_Shenzhen-NN_2020_Natural,NPCI_Shenzhen-LN_2020_Natural,NPCI_Shenzhen-NN_2020_Natural,OSAVI_Shenzhen-LN_2020_Natural,OSAVI_Shenzhen-NN_2020_Natural,PH_Kaifeng-GH_2020_Natural,PH_Kaifeng_2020_Natural,PH_Quzhou_2022_Natural,PH_Shenzhen-LN_2021_Natural,PH_Shenzhen-NN_2021_Natural,PH_Shenzhen_2022_Natural,PMS_Quzhou_2022_Natural,PRI_Shenzhen-LN_2020_Natural,PRI_Shenzhen-NN_2020_Natural,RVI_Shenzhen-LN_2020_Natural,RVI_Shenzhen-NN_2020_Natural,SC_Quzhou_2022_Natural,SC_Shenzhen_2022_Natural,SPAD_Quzhou_2022_Natural_Flowering,SPAD_Shenzhen-LN_2020_Natural,SPAD_Shenzhen-NN_2020_Natural,SPAD_Shenzhen_2022_Nautural_Booting,SPAD_Shenzhen_2022_Nautural_Flowering,SPAD_Shenzhen_2022_Nautural_Mature,SPAD_Shenzhen_2022_Nautural_tilling,SplN_Kaifeng-GH_2020_Natural,SplN_Kaifeng-GH_2020_Natural_Fertile,SplN_Kaifeng-GH_2020_Natural_Sterility,SplN_Kaifeng_2020_Natural,SplN_Kaifeng_2020_Natural_Fertile,SplN_Kaifeng_2020_Natural_Sterility,SplN_Quzhou_2022_Natural,SplN_Quzhou_2022_Natural_Fertile,SplN_Quzhou_2022_Natural_Sterility-All,SplN_Quzhou_2022_Natural_Sterility-Bottom,SplN_Quzhou_2022_Natural_Sterility-Top,SplN_Shenzhen-LN_2021_Natural,SplN_Shenzhen-LN_2021_Natural_Sterility-Bottom,SplN_Shenzhen-LN_2021_Natural_Sterility-Top,SplN_Shenzhen-NN_2021_Natural,SplN_Shenzhen_2021_Natural_Sterility-All,SplN_Shenzhen-NN_2021_Natural_Sterility-Bottom,SplN_Shenzhen-NN_2021_Natural_Sterility-Top,SplN_Shenzhen_2022_Natural,SplN_Shenzhen_2022_Natural_Fertile,SplN_Shenzhen_2022_Natural_Sterility-All,SplN_Shenzhen_2022_Natural_Sterility-Bottom,SplN_Shenzhen_2022_Natural_Sterility-Top,SRPI_Shenzhen-LN_2020_Natural,SRPI_Shenzhen-NN_2020_Natural,SR_Quzhou_2022_Natural,StemCol_Quzhou_2022_Natural,TN_Kaifeng-GH_2020_Natural,TN_Kaifeng_2020_Natural,TN_Quzhou_20220308_Natural,TN_Quzhou_20220422_Natural,TN_Quzhou_20220601_Natural,TN_Shenzhen-LN_2021_Natural,TN_Shenzhen-NN_2021_Natural,TN_Shenzhen_20220108_Natural,TN_Shenzhen_20220208_Natural,TN_Shenzhen_20220308_Natural,TN_Shenzhen_20220412_Natural,TR_Quzhou_2022_Natural,TR_Shenzhen_2022_Natural,TVI_Shenzhen-LN_2020_Natural,TVI_Shenzhen-NN_2020_Natural,WAXY_Kaifeng-GH_2020_Natural,WAXY_Quzhou_2022_Natural,WAXY_Shenzhen_2022_Natural
Agron,,181.0,,,,,,,,,,,,,,,,,,,,,,,,0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,17.94,,,,,7.062,,,,,,,,4.915,,,,,,,,,,,,,,,,19.05,,3.418,,39.437,49.38,4.839,,,,,,,,,176.0,,,,,140.0,,,,,,,13.17,16.43,,,25.85,19.47,,,1.43,1.33,,,1.37,1.33,2.076,,,,,,213.0,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
Alba,,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,52.67,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,194.0,,,,,,,,,,,,16.77,19.6,,,,,,,1.27,1.17,,,,,,,,,,,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.67,21.0,1.67,0.67,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
Albatross,,181.0,,,,,,,,,,,,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,17.597,,,,,7.099,,,,,,,,4.742,,,,49.67,,,,,,3.33,,,,,,17.774,,3.296,,,37.73,3.832,,,,,,,,,177.0,,,,,150.0,,,,,,,12.9,18.5,,,26.85,19.67,,,1.47,1.33,,,1.5,1.5,2.169,,,,,,213.0,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
Alcedo,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,52.33,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,174.0,,,,,,,,,,,,16.83,23.67,,,,,,,1.5,1.27,,,,,,,,,,,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.33,18.0,1.33,0.67,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
Alert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.53,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,63.67,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,,,,,,,13.27,15.17,,,,,,,1.2,1.13,,,,,,,,,,,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.33,24.33,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almus,,194.0,,,,,,,,,,,,,,,,,,,,,,,,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,16.128,,,,,6.555,,,,,,,,4.335,,,,,,,,,,,,,,,,14.842,,2.958,,,33.26,3.049,,,,,,,,,191.0,,,,,171.0,,,,,,,11.77,15.77,,,,,,,1.37,1.3,,,,,2.227,,,,,,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
Altria,,177.0,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,10.17,,,,,,,,,,,,,17.31,,,,,6.71,,0.0,,,,,,4.832,,,,66.67,,,,,,4.0,,,,,,18.439,,3.501,,35.294,45.9,4.449,,,,,,,,,171.0,,,,,132.0,,,,,,,13.83,18.0,,,13.9,12.53,,,1.33,1.13,,,1.17,1.23,1.926,,,,,,213.0,,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.67,21.67,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArinaLrFor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arminda,,185.0,,,,,,,,,,,,,,,,,,,,,,,,0.451,,,,,,,,,,,,,,10.83,,,,,,,,,,,,,17.479,,,,,7.041,,0.0,,,,,,4.71,,,,55.67,,,,,,3.33,,,,,,17.546,,3.177,,,45.4,4.136,,,,,,,,,181.0,,,,,149.0,,,,,,,15.83,22.1,,,24.85,20.3,,,1.6,1.4,,,1.5,1.23,2.227,,,,,,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.67,19.67,1.0,0.67,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Aronde,,,,,,,,,,,,,,,,,,,,,,,,,,,0.531,,,,,,,,,,,,,11.13,,,,,,,,,,,,,,15.961,,,,,6.076,0.0,,,,,,,4.44,,,53.33,,,,,,3.0,,,,,,,15.589,,3.226,,,,,33.1,3.317,,,,,,,,,,,119.0,,,,,,,21.5,24.9,,,35.4,31.83,,,1.43,1.23,,,1.3,1.5,,1.902,,,,,224.0,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,18.67,0.33,0.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
Avalon,,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.67,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,70.33,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,191.0,,,,,,,,,,,,18.3,21.43,,,,,,,1.8,1.6,,,,,,,,,,,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,22.67,1.33,1.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
Aztec,,180.0,,,,,,,,,,,,,,,,,,,,,,,,0.534,,,,,,,,,,,,,,9.1,,,,,,,,,,,,,16.764,,,,,6.472,,0.0,,,,,,4.698,,,,65.67,,,,,,4.0,,,,,,17.455,,3.438,,44.487,38.95,3.99,,,,,,,,,176.0,,,,,155.0,,,,,,,15.5,20.0,,,21.45,17.6,,,1.67,1.43,,,1.53,1.57,1.894,,,,,,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.67,21.33,1.33,1.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATDE0003,1.0,180.0,114.0,124.0,2.1,,,1.69,1.81,12.1,13.14,3.32,,,10.03,,,107.0,117.0,,49.84,39.8,21.7,,,0.49,,,,,20.4,,,,,,,10.6,,9.63,,,8.8,129.0,75.5,57.0,,,0.91,134.0,,,14.4,,,,0.0,5.8,,0.0,,,0.0,,,4.01,,36.0,,41.0,,,18.0,3.0,,3.33,,,2.33,,47.62,12.65,,2.76,,43.28,37.29,3.76,35.71,,,,115.0,,233.0,,177.0,,,112.0,122.0,119.0,,319.5,1.27,0.0,1.0,1.0,22.0,29.93,,22.27,60.55,34.3,,29.69,1.43,1.33,,1.59,1.8,1.6,2.11,,0.0,0.0,,2.0,218.0,138.0,168.0,161.0,,,,,,,,,100.0,40.0,132.00,,148.22,137.33,7.0,,,,,,0.57,41.93333333,,,39.8,38.9,,21.7,21.0,18.0,3.0,,,,18.33,17.0,1.33,1.33,0.0,,,,,,,,26.33,14.0,12.33,4.0,8.33,,,,0.0,7.0,,252.0,184.0,131.0,,16.95,184.0,121.0,112.5,,,0.01,,,,,3.0
WATDE0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
