IID	BM_Quzhou_2022_Natural_Leaf-Mature
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	1.81
WATDE0010	NA
WATDE0339	NA
WATDE0459	0.98
WATDE0476	1.64
WATDE0526	NA
WATDE0532	1.87
WATDE0576	1.49
WATDE0612	1.07
WATDE0061	0.81
WATDE0668	1.29
WATDE0714	0.79
WATDE0762	1.45
WATDE0801	0.77
WATDE0868	1.24
WATDE0100	2.32
WATDE1030	1.25
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	1.76
WATDE0002	0.67
WATDE0004	1.71
WATDE0005	0.77
WATDE0006	2.38
WATDE0007	NA
WATDE0008	1.8
WATDE0009	0.83
WATDE0011	0.72
WATDE0012	1.33
WATDE0013	1.41
WATDE0014	NA
WATDE0015	1.64
WATDE0016	0.97
WATDE0017	NA
WATDE0018	1.31
WATDE0019	NA
WATDE0020	2.84
WATDE0021	1.17
WATDE0022	NA
WATDE0023	0.88
WATDE0024	NA
WATDE0025	0.69
WATDE0026	0.43
WATDE0027	1.56
WATDE0028	1.15
WATDE0029	NA
WATDE0030	NA
WATDE0031	1.49
WATDE0032	2.25
WATDE0033	1.01
WATDE0034	0.95
WATDE0035	NA
WATDE0036	1.54
WATDE0037	0.85
WATDE0038	NA
WATDE0040	NA
WATDE0041	0.17
WATDE0042	1.83
WATDE0043	1.55
WATDE0044	NA
WATDE0045	2.48
WATDE0046	1.2
WATDE0047	1.88
WATDE0048	NA
WATDE0049	1.09
WATDE0050	NA
WATDE0051	1.04
WATDE0052	NA
WATDE0053	0.53
WATDE0054	0.84
WATDE0055	1.7
WATDE0056	1.11
WATDE0057	1.14
WATDE0058	1.18
WATDE0059	NA
WATDE0060	2.3
WATDE0062	2.06
WATDE0063	0.94
WATDE0064	1.61
WATDE0065	2.23
WATDE0066	1.12
WATDE0067	0.76
WATDE0068	1.73
WATDE0069	0.67
WATDE0070	0.49
WATDE0071	0.42
WATDE0072	1.17
WATDE0073	0.37
WATDE0074	1.4
WATDE0075	1.26
WATDE0076	1.43
WATDE0077	0.98
WATDE0078	0.73
WATDE0079	1.87
WATDE0080	1.03
WATDE0081	NA
WATDE0082	2.16
WATDE0083	1.03
WATDE0084	1.66
WATDE0085	1.2
WATDE0086	0
WATDE0087	1.74
WATDE0088	1.43
WATDE0089	NA
WATDE0090	1.41
WATDE0091	1.16
WATDE0092	0.97
WATDE0093	1.7
WATDE0094	0.87
WATDE0095	1.26
WATDE0096	0.8
WATDE0097	1.05
WATDE0098	0.93
WATDE0099	1.66
WATDE0101	0.67
WATDE0102	1.53
WATDE0103	1.56
WATDE0104	NA
WATDE0105	1.47
WATDE0106	2.19
WATDE0107	1.9
WATDE0108	2.02
WATDE0109	1.31
WATDE0110	1.06
WATDE0111	1.69
WATDE0112	1.81
WATDE0113	1.38
WATDE0114	2
WATDE0115	0.99
WATDE0116	1.64
WATDE0117	1.18
WATDE0118	1.1
WATDE0119	1.79
WATDE0120	NA
WATDE0121	0.57
WATDE0122	1
WATDE0123	1.53
WATDE0124	1.85
WATDE0126	1.03
WATDE0127	1.5
WATDE0129	0.9
WATDE0131	0.94
WATDE0133	0.83
