IID	BM_Quzhou_2022_Natural_Stem-Mature
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	13.14
WATDE0010	NA
WATDE0339	NA
WATDE0459	4.88
WATDE0476	9.14
WATDE0526	NA
WATDE0532	7.15
WATDE0576	4.91
WATDE0612	6.02
WATDE0061	4.34
WATDE0668	8.18
WATDE0714	5.73
WATDE0762	6.83
WATDE0801	7.29
WATDE0868	6.55
WATDE0100	8.65
WATDE1030	6.81
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	8.6
WATDE0002	5.75
WATDE0004	7.54
WATDE0005	7.68
WATDE0006	7.51
WATDE0007	NA
WATDE0008	7.84
WATDE0009	7.66
WATDE0011	7.58
WATDE0012	9.03
WATDE0013	7.23
WATDE0014	NA
WATDE0015	8.81
WATDE0016	7.78
WATDE0017	NA
WATDE0018	10.09
WATDE0019	NA
WATDE0020	11.56
WATDE0021	9.31
WATDE0022	NA
WATDE0023	6.11
WATDE0024	NA
WATDE0025	8.76
WATDE0026	7.37
WATDE0027	6.37
WATDE0028	6.42
WATDE0029	NA
WATDE0030	NA
WATDE0031	10.61
WATDE0032	7.68
WATDE0033	6.5
WATDE0034	8.28
WATDE0035	NA
WATDE0036	6.74
WATDE0037	8.97
WATDE0038	NA
WATDE0040	NA
WATDE0041	6.69
WATDE0042	7.98
WATDE0043	10.84
WATDE0044	NA
WATDE0045	8.29
WATDE0046	7.61
WATDE0047	6.63
WATDE0048	NA
WATDE0049	8.95
WATDE0050	NA
WATDE0051	10.3
WATDE0052	NA
WATDE0053	5.31
WATDE0054	6.84
WATDE0055	7.01
WATDE0056	6.21
WATDE0057	7.39
WATDE0058	10.8
WATDE0059	NA
WATDE0060	7.14
WATDE0062	8.73
WATDE0063	4.87
WATDE0064	6.6
WATDE0065	8.73
WATDE0066	6.86
WATDE0067	7.41
WATDE0068	9.91
WATDE0069	8.4
WATDE0070	8.41
WATDE0071	7.45
WATDE0072	9.44
WATDE0073	5.32
WATDE0074	11.02
WATDE0075	7.28
WATDE0076	8.44
WATDE0077	7.75
WATDE0078	6.68
WATDE0079	4.48
WATDE0080	7.06
WATDE0081	NA
WATDE0082	8.44
WATDE0083	6.85
WATDE0084	7
WATDE0085	7.04
WATDE0086	0
WATDE0087	6.98
WATDE0088	8.74
WATDE0089	NA
WATDE0090	7.25
WATDE0091	10.12
WATDE0092	6.07
WATDE0093	7.32
WATDE0094	6.11
WATDE0095	6.69
WATDE0096	6.8
WATDE0097	7.52
WATDE0098	7.74
WATDE0099	5.52
WATDE0101	4.79
WATDE0102	7.53
WATDE0103	6.29
WATDE0104	NA
WATDE0105	7.29
WATDE0106	9.7
WATDE0107	10.25
WATDE0108	6.51
WATDE0109	9.69
WATDE0110	9.22
WATDE0111	7.4
WATDE0112	9.02
WATDE0113	7.42
WATDE0114	8.02
WATDE0115	4.98
WATDE0116	7.86
WATDE0117	4.52
WATDE0118	5.07
WATDE0119	6.06
WATDE0120	NA
WATDE0121	6.14
WATDE0122	5.27
WATDE0123	8.82
WATDE0124	6.14
WATDE0126	6.73
WATDE0127	5.51
WATDE0129	5.48
WATDE0131	4.72
WATDE0133	6.4
