IID	EARLG_Kaifeng-GH_2020_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	10.60
WATDE0010	NA
WATDE0339	NA
WATDE0459	9.71
WATDE0476	11.80
WATDE0526	8.50
WATDE0532	NA
WATDE0576	11.50
WATDE0612	9.00
WATDE0061	10.10
WATDE0668	10.90
WATDE0714	9.87
WATDE0762	11.00
WATDE0801	10.90
WATDE0868	10.55
WATDE0100	8.00
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	11.15
WATDE0002	12.40
WATDE0004	10.22
WATDE0005	10.10
WATDE0006	12.90
WATDE0007	NA
WATDE0008	NA
WATDE0009	8.90
WATDE0011	12.90
WATDE0012	14.16
WATDE0013	12.60
WATDE0014	11.00
WATDE0015	10.80
WATDE0016	10.76
WATDE0017	11.30
WATDE0018	10.80
WATDE0019	NA
WATDE0020	9.00
WATDE0021	NA
WATDE0022	NA
WATDE0023	7.80
WATDE0024	NA
WATDE0025	11.80
WATDE0026	10.98
WATDE0027	9.02
WATDE0028	10.08
WATDE0029	NA
WATDE0030	NA
WATDE0031	NA
WATDE0032	10.50
WATDE0033	10.52
WATDE0034	12.80
WATDE0035	NA
WATDE0036	16.10
WATDE0037	10.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	10.80
WATDE0042	9.70
WATDE0043	15.43
WATDE0044	15.80
WATDE0045	NA
WATDE0046	NA
WATDE0047	13.10
WATDE0048	NA
WATDE0049	8.95
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	10.30
WATDE0054	10.00
WATDE0055	11.30
WATDE0056	10.00
WATDE0057	9.76
WATDE0058	12.20
WATDE0059	14.43
WATDE0060	10.50
WATDE0062	10.90
WATDE0063	9.25
WATDE0064	9.63
WATDE0065	15.00
WATDE0066	14.50
WATDE0067	8.80
WATDE0068	11.50
WATDE0069	10.20
WATDE0070	NA
WATDE0071	12.00
WATDE0072	13.50
WATDE0073	NA
WATDE0074	12.28
WATDE0075	12.20
WATDE0076	NA
WATDE0077	11.49
WATDE0078	9.43
WATDE0079	15.30
WATDE0080	10.88
WATDE0081	NA
WATDE0082	NA
WATDE0083	10.80
WATDE0084	14.23
WATDE0085	11.54
WATDE0086	NA
WATDE0087	12.50
WATDE0088	NA
WATDE0089	NA
WATDE0090	6.50
WATDE0091	10.30
WATDE0092	9.00
WATDE0093	9.55
WATDE0094	NA
WATDE0095	8.82
WATDE0096	NA
WATDE0097	8.40
WATDE0098	8.49
WATDE0099	10.60
WATDE0101	10.10
WATDE0102	NA
WATDE0103	15.03
WATDE0104	12.50
WATDE0105	12.30
WATDE0106	11.95
WATDE0107	11.92
WATDE0108	NA
WATDE0109	14.63
WATDE0110	11.47
WATDE0111	13.92
WATDE0112	8.69
WATDE0113	11.14
WATDE0114	12.90
WATDE0115	7.39
WATDE0116	9.70
WATDE0117	7.50
WATDE0118	8.90
WATDE0119	12.26
WATDE0120	9.20
WATDE0121	13.70
WATDE0122	8.50
WATDE0123	NA
WATDE0124	13.00
WATDE0126	10.50
WATDE0127	10.50
WATDE0129	10.20
WATDE0131	10.70
WATDE0133	11.00
WATDE0134	NA
