IID	EARLG_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	8.80
WATDE0010	NA
WATDE0339	8.77
WATDE0459	11.00
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	10.30
WATDE0612	10.53
WATDE0061	10.17
WATDE0668	12.70
WATDE0714	8.50
WATDE0762	11.33
WATDE0801	NA
WATDE0868	13.20
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	15.33
WATDE0002	11.70
WATDE0004	11.03
WATDE0005	8.20
WATDE0006	NA
WATDE0007	NA
WATDE0008	13.93
WATDE0009	8.10
WATDE0011	15.50
WATDE0012	NA
WATDE0013	17.87
WATDE0014	NA
WATDE0015	10.17
WATDE0016	NA
WATDE0017	14.17
WATDE0018	11.57
WATDE0019	NA
WATDE0020	11.53
WATDE0021	18.07
WATDE0022	NA
WATDE0023	7.93
WATDE0024	NA
WATDE0025	13.77
WATDE0026	13.93
WATDE0027	10.83
WATDE0028	13.13
WATDE0029	NA
WATDE0030	NA
WATDE0031	8.53
WATDE0032	11.23
WATDE0033	18.50
WATDE0034	14.77
WATDE0035	NA
WATDE0036	NA
WATDE0037	13.47
WATDE0038	NA
WATDE0040	NA
WATDE0041	13.23
WATDE0042	NA
WATDE0043	NA
WATDE0044	NA
WATDE0045	NA
WATDE0046	17.40
WATDE0047	12.67
WATDE0048	11.43
WATDE0049	NA
WATDE0050	NA
WATDE0051	12.00
WATDE0052	NA
WATDE0053	12.00
WATDE0054	9.70
WATDE0055	8.33
WATDE0056	13.33
WATDE0057	10.13
WATDE0058	11.23
WATDE0059	NA
WATDE0060	14.27
WATDE0062	12.00
WATDE0063	11.90
WATDE0064	9.63
WATDE0065	NA
WATDE0066	16.05
WATDE0067	10.17
WATDE0068	14.60
WATDE0069	NA
WATDE0070	11.53
WATDE0071	13.60
WATDE0072	15.50
WATDE0073	NA
WATDE0074	17.73
WATDE0075	11.80
WATDE0076	NA
WATDE0077	11.97
WATDE0078	NA
WATDE0079	NA
WATDE0080	11.23
WATDE0081	NA
WATDE0082	NA
WATDE0083	12.00
WATDE0084	NA
WATDE0085	NA
WATDE0086	8.17
WATDE0087	14.17
WATDE0088	11.40
WATDE0089	NA
WATDE0090	12.37
WATDE0091	12.17
WATDE0092	13.33
WATDE0093	8.90
WATDE0094	9.67
WATDE0095	8.77
WATDE0096	9.53
WATDE0097	9.83
WATDE0098	8.80
WATDE0099	11.73
WATDE0101	11.77
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	11.93
WATDE0106	12.90
WATDE0107	16.23
WATDE0108	NA
WATDE0109	NA
WATDE0110	14.50
WATDE0111	14.47
WATDE0112	10.47
WATDE0113	11.00
WATDE0114	12.57
WATDE0115	NA
WATDE0116	11.97
WATDE0117	8.97
WATDE0118	7.97
WATDE0119	NA
WATDE0120	15.03
WATDE0121	16.73
WATDE0122	15.37
WATDE0123	11.80
WATDE0124	NA
WATDE0126	11.50
WATDE0127	9.60
WATDE0129	11.53
WATDE0131	15.60
WATDE0133	13.75
WATDE0134	14.50
WATDE0136	NA
