IID	GSurfA_Quzhou_2022_Natural
Agron	19.05
Alba	NA
Albatross	17.774
Alcedo	NA
Alert	NA
Almus	14.842
Altria	18.439
ArinaLrFor	NA
Arminda	17.546
Aronde	NA
Avalon	NA
Aztec	17.455
WATDE0003	12.65
WATDE0010	NA
WATDE0339	16.66
WATDE0459	17.49
WATDE0476	16.80
WATDE0526	17.36
WATDE0532	16.09
WATDE0576	13.67
WATDE0612	14.73
WATDE0061	17.68
WATDE0668	17.12
WATDE0714	15.16
WATDE0762	18.49
WATDE0801	17.66
WATDE0868	15.73
WATDE0100	13.95
WATDE1030	15.25
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	18.724
Capo	16.819
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	20.005
Charger	15.932
Chinese_Spring	NA
Cimcog26	16.563
Cimcog3	NA
Cimcog47	19.277
Cimcog56	20.918
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	18.346
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	14.212
Equinox	16.614
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	15.986
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	16.385
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	17.353
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	15.468
Iena	17.417
Ikarus	15.305
Jagger	NA
Joss_Cambier	18.665
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	16.565
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	18.066
Mahndorfer	NA
Marco	NA
Maris_Dove	14.435
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	20.757
Muck	NA
Multiweiss	NA
Nautica	16.674
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	17.557
Opata	17.335
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	17.175
Pepital	NA
Peragis	18.774
Perlo	NA
Pfau	18.506
Pomerelle	16.706
Pony	18.251
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	15.969
Recital	15.74
Record	NA
Red_Fife	NA
Reedling	19.564
Regent	16.269
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	16.772
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	19.499
Shamrock	13.886
Shango	NA
Sicco	14.192
Slejpner	NA
Soissons	17.439
Soleil	17.391
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	18.719
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	16.444
Tanker	NA
Taras	17.134
Thatcher	NA
Thor	NA
Titus	18.801
Top	NA
Torfrida	17.928
Trafalgar	NA
Treasure	17.684
Tremie	NA
Triumph_NDL	NA
Tschermaks	17.197
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	16.21
WATDE0002	16.77
WATDE0004	14.96
WATDE0005	NA
WATDE0006	17.31
WATDE0007	NA
WATDE0008	16.53
WATDE0009	17.43
WATDE0011	12.83
WATDE0012	15.59
WATDE0013	18.84
WATDE0014	17.39
WATDE0015	15.85
WATDE0016	14.29
WATDE0017	17.79
WATDE0018	17.38
WATDE0019	17.49
WATDE0020	12.85
WATDE0021	18.34
WATDE0022	15.69
WATDE0023	15.11
WATDE0024	17.93
WATDE0025	16.58
WATDE0026	17.35
WATDE0027	16.83
WATDE0028	14.74
WATDE0029	NA
WATDE0030	NA
WATDE0031	15.10
WATDE0032	14.18
WATDE0033	13.33
WATDE0034	17.20
WATDE0035	NA
WATDE0036	17.45
WATDE0037	17.23
WATDE0038	NA
WATDE0040	NA
WATDE0041	15.84
WATDE0042	15.13
WATDE0043	17.76
WATDE0044	17.78
WATDE0045	11.93
WATDE0046	15.14
WATDE0047	12.22
WATDE0048	15.64
WATDE0049	17.47
WATDE0050	16.98
WATDE0051	13.44
WATDE0052	21.02
WATDE0053	17.83
WATDE0054	16.61
WATDE0055	18.54
WATDE0056	15.90
WATDE0057	15.52
WATDE0058	12.85
WATDE0059	15.71
WATDE0060	15.84
WATDE0062	18.50
WATDE0063	17.73
WATDE0064	16.71
WATDE0065	15.70
WATDE0066	15.78
WATDE0067	15.17
WATDE0068	16.31
WATDE0069	18.33
WATDE0070	18.77
WATDE0071	17.97
WATDE0072	17.91
WATDE0073	12.78
WATDE0074	19.03
WATDE0075	12.33
WATDE0076	16.03
WATDE0077	14.77
WATDE0078	15.57
WATDE0079	15.02
WATDE0080	20.65
WATDE0081	NA
WATDE0082	12.78
WATDE0083	16.20
WATDE0084	14.42
WATDE0085	16.11
WATDE0086	17.32
WATDE0087	17.13
WATDE0088	14.09
WATDE0089	25.40
WATDE0090	12.53
WATDE0091	13.04
WATDE0092	17.27
WATDE0093	NA
WATDE0094	12.97
WATDE0095	13.21
WATDE0096	16.16
WATDE0097	14.82
WATDE0098	18.35
WATDE0099	14.50
WATDE0101	12.95
WATDE0102	17.27
WATDE0103	13.00
WATDE0104	18.08
WATDE0105	12.81
WATDE0106	15.83
WATDE0107	14.27
WATDE0108	14.76
WATDE0109	16.60
WATDE0110	13.77
WATDE0111	13.35
WATDE0112	15.37
WATDE0113	13.16
WATDE0114	13.86
WATDE0115	12.48
WATDE0116	15.88
WATDE0117	14.43
WATDE0118	12.17
WATDE0119	15.31
WATDE0120	16.02
WATDE0121	16.88
WATDE0122	16.50
WATDE0123	18.69
WATDE0124	18.54
WATDE0126	16.20
WATDE0127	17.40
WATDE0129	16.51
WATDE0131	15.31
WATDE0133	17.21
WATDE0134	16.79
WATDE0136	14.89
WATDE0138	16.67
WATDE0140	15.30
WATDE0141	16.78
WATDE0143	NA
WATDE0144	13.18
WATDE0145	13.09
WATDE0146	13.27
WATDE0148	18.45
WATDE0149	14.44
WATDE0150	16.66
WATDE0151	16.61
WATDE0152	16.38
WATDE0153	15.08
WATDE0154	15.37
WATDE0156	16.84
WATDE0157	14.29
WATDE0158	18.23
WATDE0159	15.81
WATDE0160	15.63
WATDE0162	16.15
WATDE0164	16.24
WATDE0165	14.64
WATDE0168	17.65
WATDE0169	18.48
WATDE0171	NA
WATDE0173	18.86
WATDE0174	19.80
WATDE0175	20.52
WATDE0176	14.07
WATDE0177	18.33
WATDE0178	17.42
WATDE0180	16.81
WATDE0181	17.73
WATDE0182	17.91
WATDE0183	15.80
WATDE0184	NA
WATDE0185	17.69
WATDE0187	NA
WATDE0188	18.92
WATDE0190	16.92
WATDE0191	13.81
WATDE0192	13.56
WATDE0194	17.45
WATDE0195	17.46
WATDE0196	19.23
WATDE0198	17.51
WATDE0199	16.47
WATDE0200	21.03
WATDE0202	17.02
WATDE0203	14.71
WATDE0204	16.69
WATDE0205	17.83
WATDE0206	17.52
WATDE0207	16.31
WATDE0209	14.59
WATDE0211	15.57
WATDE0212	16.26
WATDE0214	14.19
WATDE0215	14.59
WATDE0216	16.51
WATDE0217	16.96
WATDE0219	14.08
WATDE0220	16.46
WATDE0221	15.43
WATDE0222	19.73
WATDE0223	15.79
WATDE0224	14.14
WATDE0225	14.09
WATDE0227	15.73
WATDE0228	16.18
WATDE0229	16.05
WATDE0230	14.59
WATDE0232	15.57
WATDE0233	16.06
WATDE0234	14.54
WATDE0235	NA
WATDE0236	15.32
WATDE0237	17.86
WATDE0238	16.11
WATDE0239	16.02
WATDE0241	NA
WATDE0242	18.53
WATDE0243	NA
WATDE0244	18.54
WATDE0246	19.28
WATDE0247	16.99
WATDE0248	14.90
WATDE0249	16.58
WATDE0250	16.05
WATDE0252	18.08
WATDE0253	17.54
WATDE0254	18.20
WATDE0255	17.72
WATDE0257	16.44
WATDE0258	18.35
WATDE0259	17.61
WATDE0260	17.92
WATDE0262	15.05
WATDE0263	14.64
WATDE0264	NA
WATDE0266	18.10
WATDE0268	17.04
WATDE0270	16.16
WATDE0271	15.63
WATDE0272	17.63
WATDE0273	17.83
WATDE0275	16.14
WATDE0276	18.06
WATDE0277	16.69
WATDE0278	15.20
WATDE0280	16.73
WATDE0281	17.01
WATDE0282	14.28
WATDE0284	17.12
WATDE0285	16.11
WATDE0286	14.85
WATDE0287	15.44
WATDE0288	14.01
WATDE0290	NA
WATDE0291	18.47
WATDE0292	17.67
WATDE0293	16.91
WATDE0294	16.52
WATDE0296	16.63
WATDE0298	NA
WATDE0299	16.70
WATDE0301	17.37
WATDE0302	17.09
WATDE0303	NA
WATDE0304	16.03
WATDE0305	16.57
WATDE0306	16.42
WATDE0308	13.21
WATDE0310	13.92
WATDE0312	14.79
WATDE0313	16.69
WATDE0315	14.88
WATDE0316	13.91
WATDE0317	17.19
WATDE0318	17.79
WATDE0319	14.95
WATDE0321	17.62
WATDE0323	NA
WATDE0324	18.16
WATDE0325	16.61
WATDE0328	16.53
WATDE0329	15.29
WATDE0331	15.21
WATDE0332	13.16
WATDE0333	13.32
WATDE0334	21.79
WATDE0335	16.01
WATDE0336	15.07
WATDE0337	16.27
WATDE0340	15.44
WATDE0342	15.08
WATDE0343	19.29
WATDE0344	18.14
WATDE0345	17.12
WATDE0346	16.58
WATDE0347	15.10
WATDE0348	15.51
WATDE0350	17.27
WATDE0352	13.89
WATDE0353	14.71
WATDE0354	15.86
WATDE0355	12.47
WATDE0356	14.15
WATDE0358	14.38
WATDE0359	16.27
WATDE0361	14.57
WATDE0363	13.06
WATDE0365	15.75
WATDE0366	16.97
WATDE0368	16.87
WATDE0369	15.98
WATDE0370	16.17
WATDE0371	16.60
WATDE0372	15.99
WATDE0373	17.39
WATDE0374	15.83
WATDE0375	16.44
WATDE0377	NA
WATDE0378	NA
WATDE0379	14.31
WATDE0381	16.69
WATDE0382	15.55
WATDE0383	17.24
WATDE0385	14.85
WATDE0386	NA
WATDE0387	14.39
WATDE0389	15.71
WATDE0391	14.68
WATDE0392	17.52
WATDE0394	15.37
WATDE0396	18.76
WATDE0397	16.80
WATDE0399	18.01
WATDE0401	18.16
WATDE0403	18.62
WATDE0404	16.81
WATDE0405	NA
WATDE0407	15.49
WATDE0408	16.27
WATDE0409	17.39
WATDE0410	16.49
WATDE0411	18.62
WATDE0412	16.56
WATDE0413	16.11
WATDE0415	12.54
WATDE0417	17.61
WATDE0419	16.78
WATDE0420	16.82
WATDE0421	16.14
WATDE0422	16.96
WATDE0423	15.64
WATDE0424	21.70
WATDE0425	18.17
WATDE0426	18.46
WATDE0427	19.47
WATDE0428	17.97
WATDE0429	19.56
WATDE0430	NA
WATDE0431	19.79
WATDE0432	17.65
WATDE0433	14.08
WATDE0434	20.97
WATDE0435	20.09
WATDE0436	14.59
WATDE0438	NA
WATDE0439	16.45
WATDE0440	16.70
WATDE0441	16.74
WATDE0442	16.03
WATDE0443	17.54
WATDE0444	18.24
WATDE0445	17.15
WATDE0446	18.06
WATDE0448	14.88
WATDE0449	19.25
WATDE0450	15.63
WATDE0451	17.10
WATDE0452	16.76
WATDE0453	17.90
WATDE0454	17.77
WATDE0455	19.08
WATDE0456	15.07
WATDE0457	19.26
WATDE0460	18.29
WATDE0461	17.18
WATDE0462	16.13
WATDE0463	16.36
WATDE0465	15.99
WATDE0467	17.40
WATDE0469	17.99
WATDE0471	17.79
WATDE0474	14.99
WATDE0477	12.23
WATDE0479	13.05
WATDE0481	13.00
WATDE0482	14.32
WATDE0484	15.21
WATDE0486	15.11
WATDE0487	16.43
WATDE0488	13.79
WATDE0489	17.40
WATDE0490	16.40
WATDE0492	13.91
WATDE0494	16.47
WATDE0496	17.66
WATDE0498	15.99
WATDE0500	17.37
WATDE0501	17.22
WATDE0502	NA
WATDE0503	16.10
WATDE0504	16.19
WATDE0505	15.39
WATDE0507	16.51
WATDE0509	14.89
WATDE0510	19.02
WATDE0511	14.11
WATDE0512	18.72
WATDE0513	17.13
WATDE0515	18.03
WATDE0516	15.50
WATDE0518	13.37
WATDE0519	14.50
WATDE0520	14.15
WATDE0521	13.64
WATDE0522	20.28
WATDE0524	16.32
WATDE0527	15.10
WATDE0529	NA
WATDE0531	19.05
WATDE0533	17.43
WATDE0534	13.67
WATDE0536	17.29
WATDE0537	12.39
WATDE0538	18.22
WATDE0539	11.81
WATDE0540	15.13
WATDE0541	NA
WATDE0542	17.13
WATDE0543	15.94
WATDE0544	20.00
WATDE0546	18.00
WATDE0547	16.24
WATDE0549	13.67
WATDE0550	11.24
WATDE0552	17.58
WATDE0553	15.32
WATDE0555	17.30
WATDE0556	15.97
WATDE0557	15.43
WATDE0558	20.71
WATDE0560	NA
WATDE0561	NA
WATDE0562	16.50
WATDE0563	18.67
WATDE0565	15.03
WATDE0566	16.14
WATDE0567	12.76
WATDE0568	17.73
WATDE0569	17.65
WATDE0570	17.68
WATDE0571	18.22
WATDE0572	18.90
