IID	GlumePub_Quzhou_2022_Natural
Agron	NA
Alba	0
Albatross	NA
Alcedo	0
Alert	0
Almus	NA
Altria	0
ArinaLrFor	NA
Arminda	0
Aronde	0
Avalon	0
Aztec	0
WATDE0003	0.00
WATDE0010	NA
WATDE0339	1.00
WATDE0459	0.00
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	0.00
WATDE0612	0.00
WATDE0061	0.00
WATDE0668	NA
WATDE0714	0.00
WATDE0762	0.00
WATDE0801	0.00
WATDE0868	0.00
WATDE0100	0.00
WATDE1030	0.00
Banco	0
Bandit	0
Banner	NA
Beauchamp	NA
Beaver	0
Becard_Kachu	NA
Bersee	0
Boreonos	NA
Bounty	0
Boxer	0
Buster	0
Calif	NA
Camp_Remy	0
Capitiane	0
Capo	NA
Cappelle_Desprez	0
Catamaran	0
Cezanne	0
Charger	0
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	0
Courtot	0
Crest	0
Crusoe	0
Diablo	0
Diplomat	0
Disponent	0
Dorby	0
Drake	0
Drauhofener_Kolben	0
Druid	0
Encore	0
Equinox	0
Erla-Kolben	0
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	0
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	0
Florida	0
Gabo	0
Galahad	0
Garcia	NA
Gawain	0
Glasgow	0
Grafton	NA
Granada	0
Haven	0
Heine7	0
Hereward	0
Highbury	1
Hobbit	0
Holdfast	0
Hybrid46	0
Ibis	NA
Iena	NA
Ikarus	0
Jagger	NA
Joss_Cambier	0
Julius	NA
KWS_Santiago	0
Karat	NA
Koga1	NA
Kontrast	0
Kosack	0
Kranich	0
Lancelot	0
Leda	0
Legend	0
Longbow	0
Lutin	0
MISR1	NA
Mahndorfer	0
Marco	0
Maris_Dove	0
Maris_Widgeon	0
MarisHuntsman	0
Maris_ranger	0
Minister	0
Mironovska	0
Moisson	NA
Muck	NA
Multiweiss	0
Nautica	0
Newhaven	0
Norda	0
Norin	NA
Obelisk	0
Odeon	0
Odin	0
Oenus	0
Opata	1
Orlando	0
Palur	0
Pamyat	0
Pastiche	0
Pavon76	0
Pepital	NA
Peragis	0
Perlo	0
Pfau	NA
Pomerelle	0
Pony	0
Prof_Marshall	0
Prophet	NA
Rabe	0
Rebel	0
Recital	0
Record	0
Red_Fife	0
Reedling	NA
Regent	0
Renan	NA
Rendezvous	0
Revelation	NA
Riband	NA
Rimpaus_Bastard2	0
RitzlhoferNeu	0
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	0
Shamrock	0
Shango	NA
Sicco	0
Slejpner	0
Soissons	NA
Soleil	0
Spark	0
Sperber	0
Spitfire	0
Sportsman	0
Stamm101	0
Starke2	0
Stava	0
Stella	0
Super152	NA
Svale	0
Tadorna	0
Talent	0
Tambor	0
Tandem	0
Tanker	0
Taras	0
Thatcher	0
Thor	0
Titus	0
Top	0
Torfrida	0
Trafalgar	NA
Treasure	NA
Tremie	0
Triumph_NDL	NA
Tschermaks	NA
Turpin	0
Urban	0
Vaguedepis	0
Vilmorin53	0
Vilmorin27	0
Virgo	NA
Vocal	0
Voyage	0
WATDE0001	0.00
WATDE0002	0.00
WATDE0004	0.00
WATDE0005	0.00
WATDE0006	0.00
WATDE0007	NA
WATDE0008	0.00
WATDE0009	NA
WATDE0011	0.00
WATDE0012	0.00
WATDE0013	NA
WATDE0014	0.00
WATDE0015	0.00
WATDE0016	0.00
WATDE0017	1.00
WATDE0018	NA
WATDE0019	0.00
WATDE0020	0.00
WATDE0021	0.00
WATDE0022	0.00
WATDE0023	1.00
WATDE0024	0.00
WATDE0025	0.00
WATDE0026	0.00
WATDE0027	0.00
WATDE0028	0.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	0.00
WATDE0032	NA
WATDE0033	0.00
WATDE0034	0.00
WATDE0035	NA
WATDE0036	0.00
WATDE0037	0.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	0.00
WATDE0042	0.00
WATDE0043	0.00
WATDE0044	0.00
WATDE0045	0.00
WATDE0046	0.00
WATDE0047	0.00
WATDE0048	0.00
WATDE0049	0.00
WATDE0050	0.00
WATDE0051	NA
WATDE0052	0.00
WATDE0053	0.00
WATDE0054	0.00
WATDE0055	0.00
WATDE0056	0.00
WATDE0057	0.00
WATDE0058	0.00
WATDE0059	0.00
WATDE0060	0.00
WATDE0062	0.00
WATDE0063	0.00
WATDE0064	0.00
WATDE0065	0.00
WATDE0066	0.00
WATDE0067	0.00
WATDE0068	0.00
WATDE0069	0.00
WATDE0070	NA
WATDE0071	NA
WATDE0072	0.00
WATDE0073	0.00
WATDE0074	0.00
WATDE0075	0.00
WATDE0076	NA
WATDE0077	0.00
WATDE0078	0.00
WATDE0079	0.00
WATDE0080	0.00
