IID	GrnSpk_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	18.00
WATDE0010	NA
WATDE0339	13.33
WATDE0459	13.33
WATDE0476	29.33
WATDE0526	NA
WATDE0532	NA
WATDE0576	35.00
WATDE0612	NA
WATDE0061	30.00
WATDE0668	1.67
WATDE0714	24.67
WATDE0762	23.33
WATDE0801	4.67
WATDE0868	25.33
WATDE0100	NA
WATDE1030	35.33
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	33.67
WATDE0002	35.33
WATDE0004	35.00
WATDE0005	25.33
WATDE0006	NA
WATDE0007	NA
WATDE0008	19.67
WATDE0009	0.00
WATDE0011	NA
WATDE0012	27.33
WATDE0013	0.00
WATDE0014	NA
WATDE0015	19.33
WATDE0016	NA
WATDE0017	NA
WATDE0018	0.33
WATDE0019	NA
WATDE0020	NA
WATDE0021	0.33
WATDE0022	15.33
WATDE0023	17.67
WATDE0024	NA
WATDE0025	31.00
WATDE0026	39.00
WATDE0027	10.67
WATDE0028	32.67
WATDE0029	NA
WATDE0030	NA
WATDE0031	NA
WATDE0032	30.00
WATDE0033	48.33
WATDE0034	23.33
WATDE0035	NA
WATDE0036	29.33
WATDE0037	11.67
WATDE0038	NA
WATDE0040	NA
WATDE0041	34.00
WATDE0042	NA
WATDE0043	41.33
WATDE0044	NA
WATDE0045	NA
WATDE0046	NA
WATDE0047	19.00
WATDE0048	25.00
WATDE0049	NA
WATDE0050	NA
WATDE0051	26.67
WATDE0052	NA
WATDE0053	30.00
WATDE0054	38.00
WATDE0055	28.33
WATDE0056	39.00
WATDE0057	42.33
WATDE0058	32.00
WATDE0059	NA
WATDE0060	7.33
WATDE0062	23.33
WATDE0063	47.67
WATDE0064	NA
WATDE0065	NA
WATDE0066	32.00
WATDE0067	26.67
WATDE0068	0.33
WATDE0069	18.33
WATDE0070	14.67
WATDE0071	15.33
WATDE0072	27.33
WATDE0073	1.33
WATDE0074	25.33
WATDE0075	NA
WATDE0076	NA
WATDE0077	NA
WATDE0078	41.67
WATDE0079	NA
WATDE0080	25.00
WATDE0081	NA
WATDE0082	18.00
WATDE0083	34.67
WATDE0084	NA
WATDE0085	31.33
WATDE0086	38.00
WATDE0087	47.67
WATDE0088	11.67
WATDE0089	NA
WATDE0090	NA
WATDE0091	16.33
WATDE0092	14.00
WATDE0093	35.00
WATDE0094	37.33
WATDE0095	50.33
WATDE0096	NA
WATDE0097	40.67
WATDE0098	39.00
WATDE0099	21.00
WATDE0101	32.67
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	22.67
WATDE0106	NA
WATDE0107	9.33
WATDE0108	NA
WATDE0109	NA
WATDE0110	30.00
WATDE0111	NA
WATDE0112	40.33
WATDE0113	9.67
WATDE0114	NA
WATDE0115	NA
WATDE0116	6.00
WATDE0117	28.00
WATDE0118	NA
WATDE0119	NA
WATDE0120	24.67
WATDE0121	27.00
WATDE0122	31.00
WATDE0123	26.67
WATDE0124	26.67
WATDE0126	26.00
WATDE0127	20.67
WATDE0129	19.00
WATDE0131	36.00
WATDE0133	12.00
WATDE0134	27.67
WATDE0136	NA
