IID	LeafWid_Shenzhen_2022_Second_Natural
Agron	1.33
Alba	NA
Albatross	1.50
Alcedo	NA
Alert	NA
Almus	NA
Altria	1.23
ArinaLrFor	NA
Arminda	1.23
Aronde	1.50
Avalon	NA
Aztec	1.57
WATDE0003	1.60
WATDE0010	NA
WATDE0339	1.40
WATDE0459	1.10
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	1.70
WATDE0612	1.67
WATDE0061	1.33
WATDE0668	1.07
WATDE0714	NA
WATDE0762	1.60
WATDE0801	1.53
WATDE0868	1.27
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	1.80
Banner	NA
Beauchamp	1.47
Beaver	NA
Becard_Kachu	NA
Bersee	1.40
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	1.30
Capo	NA
Cappelle_Desprez	1.37
Catamaran	1.37
Cezanne	1.60
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	1.27
Claire	NA
Consort	NA
Courtot	1.10
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	1.40
Disponent	NA
Dorby	1.60
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	1.40
Flame	1.53
Flamingo	NA
Florida	NA
Gabo	1.60
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	1.33
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	2.20
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	1.80
Iena	1.73
Ikarus	NA
Jagger	NA
Joss_Cambier	1.47
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	1.10
Leda	NA
Legend	NA
Longbow	NA
Lutin	1.43
MISR1	1.13
Mahndorfer	NA
Marco	NA
Maris_Dove	1.90
Maris_Widgeon	1.37
MarisHuntsman	NA
Maris_ranger	1.83
Minister	NA
Mironovska	1.07
Moisson	NA
Muck	1.73
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	1.50
Odin	NA
Oenus	1.30
Opata	NA
Orlando	1.27
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	1.00
Pepital	NA
Peragis	1.37
Perlo	NA
Pfau	NA
Pomerelle	0.90
Pony	1.67
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	1.37
Record	NA
Red_Fife	1.23
Reedling	1.27
Regent	1.57
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	1.43
Shamrock	NA
Shango	NA
Sicco	1.80
Slejpner	NA
Soissons	0.97
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	1.63
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	1.53
Tambor	NA
Tandem	NA
Tanker	NA
Taras	1.40
Thatcher	1.67
Thor	NA
Titus	NA
Top	1.43
Torfrida	NA
Trafalgar	0.87
Treasure	1.07
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	1.30
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	1.90
WATDE0002	1.50
WATDE0004	1.20
WATDE0005	1.20
WATDE0006	NA
WATDE0007	NA
WATDE0008	1.30
WATDE0009	0.80
WATDE0011	1.63
WATDE0012	1.00
WATDE0013	1.43
WATDE0014	NA
WATDE0015	1.40
WATDE0016	0.80
WATDE0017	1.57
WATDE0018	1.57
WATDE0019	NA
WATDE0020	0.87
WATDE0021	1.27
WATDE0022	NA
WATDE0023	1.60
WATDE0024	NA
WATDE0025	1.37
WATDE0026	1.47
WATDE0027	0.97
WATDE0028	1.30
WATDE0029	NA
WATDE0030	NA
WATDE0031	1.13
WATDE0032	1.27
WATDE0033	1.53
WATDE0034	1.40
WATDE0035	NA
WATDE0036	1.77
WATDE0037	1.27
WATDE0038	NA
WATDE0040	NA
WATDE0041	1.33
WATDE0042	NA
WATDE0043	1.03
WATDE0044	NA
WATDE0045	NA
WATDE0046	NA
WATDE0047	0.83
WATDE0048	1.40
WATDE0049	NA
WATDE0050	NA
WATDE0051	1.10
WATDE0052	NA
WATDE0053	1.30
WATDE0054	1.03
WATDE0055	1.23
WATDE0056	1.17
WATDE0057	1.33
WATDE0058	1.53
WATDE0059	NA
WATDE0060	1.53
WATDE0062	1.00
WATDE0063	1.47
WATDE0064	0.97
WATDE0065	1.27
WATDE0066	1.17
WATDE0067	1.13
WATDE0068	1.57
WATDE0069	1.70
WATDE0070	1.03
WATDE0071	1.37
WATDE0072	1.67
WATDE0073	1.00
WATDE0074	1.70
WATDE0075	1.37
WATDE0076	NA
WATDE0077	1.40
WATDE0078	1.40
WATDE0079	NA
WATDE0080	1.03
WATDE0081	NA
WATDE0082	NA
WATDE0083	1.43
WATDE0084	NA
WATDE0085	NA
WATDE0086	1.77
WATDE0087	1.67
WATDE0088	0.83
WATDE0089	NA
WATDE0090	1.70
WATDE0091	1.47
WATDE0092	1.43
WATDE0093	1.07
WATDE0094	1.20
WATDE0095	1.13
WATDE0096	1.03
WATDE0097	1.83
WATDE0098	0.93
WATDE0099	1.60
WATDE0101	1.30
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	1.07
WATDE0106	NA
WATDE0107	1.23
WATDE0108	NA
WATDE0109	NA
WATDE0110	1.60
WATDE0111	1.60
WATDE0112	1.33
WATDE0113	1.20
WATDE0114	1.07
WATDE0115	1.47
WATDE0116	1.57
WATDE0117	1.63
WATDE0118	1.27
WATDE0119	NA
WATDE0120	1.43
WATDE0121	1.63
WATDE0122	1.30
WATDE0123	1.47
WATDE0124	1.33
WATDE0126	1.33
WATDE0127	1.47
WATDE0129	1.13
WATDE0131	1.57
WATDE0133	1.93
WATDE0134	1.17
WATDE0136	0.80
WATDE0138	NA
WATDE0140	1.30
WATDE0141	NA
WATDE0143	NA
WATDE0144	0.97
WATDE0145	NA
WATDE0146	1.07
WATDE0148	1.60
WATDE0149	1.50
WATDE0150	1.60
WATDE0151	1.60
WATDE0152	1.23
WATDE0153	1.90
WATDE0154	1.13
WATDE0156	1.13
WATDE0157	1.23
WATDE0158	1.37
WATDE0159	NA
WATDE0160	1.77
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	1.20
WATDE0174	1.27
WATDE0175	1.50
WATDE0176	NA
WATDE0177	1.30
WATDE0178	1.23
WATDE0180	1.37
WATDE0181	1.20
WATDE0182	0.87
WATDE0183	1.07
WATDE0184	1.57
WATDE0185	1.20
WATDE0187	NA
WATDE0188	1.53
WATDE0190	1.47
WATDE0191	1.33
WATDE0192	NA
WATDE0194	NA
WATDE0195	1.20
WATDE0196	NA
WATDE0198	1.33
WATDE0199	NA
WATDE0200	NA
WATDE0202	1.50
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	1.50
WATDE0212	NA
WATDE0214	NA
WATDE0215	1.77
WATDE0216	1.67
WATDE0217	1.47
WATDE0219	1.53
WATDE0220	1.17
WATDE0221	1.37
WATDE0222	1.40
WATDE0223	1.87
WATDE0224	1.33
WATDE0225	NA
WATDE0227	1.43
WATDE0228	1.73
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	1.07
WATDE0234	1.57
WATDE0235	1.50
WATDE0236	1.67
WATDE0237	1.37
WATDE0238	1.43
WATDE0239	NA
WATDE0241	NA
WATDE0242	1.47
WATDE0243	NA
WATDE0244	1.83
WATDE0246	1.50
WATDE0247	1.23
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	1.20
WATDE0254	1.33
WATDE0255	1.20
WATDE0257	1.93
WATDE0258	1.53
WATDE0259	1.40
WATDE0260	1.47
WATDE0262	1.20
WATDE0263	1.33
WATDE0264	1.77
WATDE0266	1.53
WATDE0268	1.13
WATDE0270	NA
WATDE0271	1.20
WATDE0272	1.23
WATDE0273	1.47
WATDE0275	1.30
WATDE0276	1.20
WATDE0277	NA
WATDE0278	1.20
WATDE0280	1.57
WATDE0281	1.17
