IID	Mat_Shenzhen_2022_Natural_50percnet
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	161
WATDE0010	NA
WATDE0339	173
WATDE0459	159
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	171
WATDE0612	162
WATDE0061	104
WATDE0668	164
WATDE0714	146
WATDE0762	148
WATDE0801	157
WATDE0868	161
WATDE0100	NA
WATDE1030	185
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	147
WATDE0002	118
WATDE0004	152
WATDE0005	91
WATDE0006	NA
WATDE0007	NA
WATDE0008	182
WATDE0009	182
WATDE0011	154
WATDE0012	187
WATDE0013	161
WATDE0014	NA
WATDE0015	116
WATDE0016	168
WATDE0017	171
WATDE0018	157
WATDE0019	NA
WATDE0020	160
WATDE0021	181
WATDE0022	187
WATDE0023	104
WATDE0024	NA
WATDE0025	148
WATDE0026	157
WATDE0027	172
WATDE0028	163
WATDE0029	NA
WATDE0030	NA
WATDE0031	173
WATDE0032	170
WATDE0033	162
WATDE0034	166
WATDE0035	NA
WATDE0036	148
WATDE0037	158
WATDE0038	NA
WATDE0040	NA
WATDE0041	143
WATDE0042	NA
WATDE0043	173
WATDE0044	NA
WATDE0045	184
WATDE0046	191
WATDE0047	165
WATDE0048	173
WATDE0049	NA
WATDE0050	NA
WATDE0051	182
WATDE0052	NA
WATDE0053	145
WATDE0054	158
WATDE0055	173
WATDE0056	160
WATDE0057	143
WATDE0058	169
WATDE0059	187
WATDE0060	159
WATDE0062	164
WATDE0063	154
WATDE0064	172
WATDE0065	NA
WATDE0066	153
WATDE0067	153
WATDE0068	161
WATDE0069	185
WATDE0070	172
WATDE0071	152
WATDE0072	153
WATDE0073	185
WATDE0074	147
WATDE0075	152
WATDE0076	191
WATDE0077	153
WATDE0078	183
WATDE0079	187
WATDE0080	168
WATDE0081	NA
WATDE0082	185
WATDE0083	157
WATDE0084	NA
WATDE0085	188
WATDE0086	NA
WATDE0087	156
WATDE0088	185
WATDE0089	NA
WATDE0090	146
WATDE0091	143
WATDE0092	163
WATDE0093	153
WATDE0094	166
WATDE0095	167
WATDE0096	167
WATDE0097	150
WATDE0098	151
WATDE0099	172
WATDE0101	104
WATDE0102	185
WATDE0103	NA
WATDE0104	NA
WATDE0105	162
WATDE0106	185
WATDE0107	162
WATDE0108	NA
WATDE0109	NA
WATDE0110	157
WATDE0111	162
WATDE0112	114
WATDE0113	170
WATDE0114	172
WATDE0115	116
WATDE0116	145
WATDE0117	151
WATDE0118	149
WATDE0119	191
WATDE0120	153
WATDE0121	151
WATDE0122	163
WATDE0123	137
WATDE0124	135
WATDE0126	149
WATDE0127	172
WATDE0129	128
WATDE0131	154
WATDE0133	153
WATDE0134	166
WATDE0136	162
WATDE0138	NA
WATDE0140	183
WATDE0141	185
WATDE0143	NA
WATDE0144	162
WATDE0145	162
WATDE0146	170
WATDE0148	145
WATDE0149	104
WATDE0150	119
WATDE0151	157
WATDE0152	154
WATDE0153	146
WATDE0154	120
WATDE0156	145
WATDE0157	157
WATDE0158	141
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	187
WATDE0165	187
