IID	PH_Shenzhen-NN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	148.22
WATDE0010	NA
WATDE0339	NA
WATDE0459	NA
WATDE0476	23.04
WATDE0526	NA
WATDE0532	NA
WATDE0576	NA
WATDE0612	129.67
WATDE0061	140.53
WATDE0668	143.32
WATDE0714	131.98
WATDE0762	146.98
WATDE0801	154.30
WATDE0868	157.63
WATDE0100	NA
WATDE1030	72.86
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	161.97
WATDE0002	145.00
WATDE0004	145.29
WATDE0005	106.55
WATDE0006	67.68
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	NA
WATDE0012	77.26
WATDE0013	155.33
WATDE0014	90.66
WATDE0015	137.63
WATDE0016	139.62
WATDE0017	NA
WATDE0018	153.97
WATDE0019	NA
WATDE0020	133.98
WATDE0021	NA
WATDE0022	NA
WATDE0023	NA
WATDE0024	NA
WATDE0025	152.93
WATDE0026	150.81
WATDE0027	114.15
WATDE0028	148.47
WATDE0029	NA
WATDE0030	NA
WATDE0031	151.43
WATDE0032	138.32
WATDE0033	160.43
WATDE0034	144.55
WATDE0035	NA
WATDE0036	152.97
WATDE0037	140.80
WATDE0038	NA
WATDE0040	NA
WATDE0041	138.90
WATDE0042	135.78
WATDE0043	140.80
WATDE0044	75.00
WATDE0045	NA
WATDE0046	NA
WATDE0047	NA
WATDE0048	NA
WATDE0049	NA
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	137.80
WATDE0054	137.33
WATDE0055	128.99
WATDE0056	129.95
WATDE0057	137.40
WATDE0058	156.76
WATDE0059	109.48
WATDE0060	149.50
WATDE0062	138.08
WATDE0063	142.75
WATDE0064	140.94
WATDE0065	94.43
WATDE0066	NA
WATDE0067	140.99
WATDE0068	113.30
WATDE0069	152.25
WATDE0070	NA
WATDE0071	160.07
WATDE0072	148.64
WATDE0073	NA
WATDE0074	151.86
WATDE0075	135.81
WATDE0076	147.56
WATDE0077	168.31
WATDE0078	108.97
WATDE0079	77.84
WATDE0080	NA
WATDE0081	NA
WATDE0082	NA
WATDE0083	133.92
WATDE0084	89.07
WATDE0085	115.65
WATDE0086	NA
WATDE0087	133.93
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	149.98
WATDE0092	151.32
WATDE0093	NA
WATDE0094	NA
WATDE0095	NA
WATDE0096	146.31
WATDE0097	NA
WATDE0098	NA
WATDE0099	NA
WATDE0101	143.97
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	147.31
WATDE0106	108.89
WATDE0107	139.91
WATDE0108	NA
WATDE0109	NA
WATDE0110	164.75
WATDE0111	164.93
WATDE0112	143.32
WATDE0113	162.48
WATDE0114	117.32
WATDE0115	157.47
WATDE0116	157.03
WATDE0117	NA
WATDE0118	145.65
WATDE0119	80.86
WATDE0120	NA
WATDE0121	159.27
WATDE0122	127.53
WATDE0123	154.64
WATDE0124	128.97
WATDE0126	151.28
WATDE0127	141.23
WATDE0129	149.65
WATDE0131	160.11
WATDE0133	134.56
WATDE0134	NA
WATDE0136	NA
WATDE0138	NA
