IID	SC_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	0.57
WATDE0010	NA
WATDE0339	0.98
WATDE0459	0.31
WATDE0476	0.64
WATDE0526	NA
WATDE0532	0.48
WATDE0576	0.57
WATDE0612	0.65
WATDE0061	0.41
WATDE0668	1.43
WATDE0714	0.55
WATDE0762	0.52
WATDE0801	1.13
WATDE0868	0.66
WATDE0100	0.24
WATDE1030	0.26
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	0.61
WATDE0002	0.10
WATDE0004	0.92
WATDE0005	0.46
WATDE0006	0.54
WATDE0007	NA
WATDE0008	0.94
WATDE0009	0.64
WATDE0011	0.49
WATDE0012	0.45
WATDE0013	0.86
WATDE0014	NA
WATDE0015	0.26
WATDE0016	0.37
WATDE0017	0.27
WATDE0018	2.11
WATDE0019	NA
WATDE0020	0.59
WATDE0021	0.89
WATDE0022	0.53
WATDE0023	0.41
WATDE0024	NA
WATDE0025	0.46
WATDE0026	0.95
WATDE0027	1.84
WATDE0028	1.17
WATDE0029	NA
WATDE0030	NA
WATDE0031	0.43
WATDE0032	0.99
WATDE0033	0.68
WATDE0034	0.74
WATDE0035	NA
WATDE0036	0.58
WATDE0037	0.98
WATDE0038	NA
WATDE0040	NA
WATDE0041	0.45
WATDE0042	0.16
WATDE0043	1.08
WATDE0044	NA
WATDE0045	0.65
WATDE0046	0.86
WATDE0047	0.37
WATDE0048	0.46
WATDE0049	0.31
WATDE0050	NA
WATDE0051	0.55
WATDE0052	NA
WATDE0053	0.83
WATDE0054	0.34
WATDE0055	2.34
WATDE0056	0.25
WATDE0057	0.42
WATDE0058	1.06
WATDE0059	0.65
WATDE0060	0.25
WATDE0062	0.43
WATDE0063	0.14
WATDE0064	0.28
WATDE0065	0.56
WATDE0066	0.16
WATDE0067	0.99
WATDE0068	1.01
WATDE0069	0.64
WATDE0070	1.39
WATDE0071	0.59
WATDE0072	1.17
WATDE0073	1.48
WATDE0074	0.45
WATDE0075	0.39
WATDE0076	0.15
WATDE0077	0.26
WATDE0078	0.67
WATDE0079	0.14
WATDE0080	0.45
WATDE0081	NA
WATDE0082	0.43
WATDE0083	0.81
WATDE0084	0.39
WATDE0085	0.44
WATDE0086	0.62
WATDE0087	0.26
WATDE0088	0.27
WATDE0089	NA
WATDE0090	1.42
WATDE0091	1.04
WATDE0092	1.43
WATDE0093	0.50
WATDE0094	0.39
WATDE0095	0.80
WATDE0096	0.66
WATDE0097	0.55
WATDE0098	0.04
WATDE0099	0.53
WATDE0101	0.56
WATDE0102	0.58
WATDE0103	0.35
WATDE0104	NA
WATDE0105	0.60
WATDE0106	0.22
WATDE0107	0.31
WATDE0108	0.46
WATDE0109	0.56
WATDE0110	0.18
WATDE0111	0.43
WATDE0112	0.57
WATDE0113	0.38
WATDE0114	0.31
WATDE0115	0.38
WATDE0116	0.71
WATDE0117	0.39
WATDE0118	0.78
WATDE0119	0.34
WATDE0120	0.82
WATDE0121	1.43
WATDE0122	0.50
WATDE0123	0.16
WATDE0124	0.37
WATDE0126	0.31
WATDE0127	1.61
WATDE0129	0.45
WATDE0131	0.66
