IID	SplN_Kaifeng-GH_2020_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	21.00
WATDE0010	NA
WATDE0339	NA
WATDE0459	16.78
WATDE0476	21.67
WATDE0526	17.00
WATDE0532	NA
WATDE0576	21.11
WATDE0612	16.00
WATDE0061	13.00
WATDE0668	20.00
WATDE0714	20.22
WATDE0762	21.00
WATDE0801	21.00
WATDE0868	25.50
WATDE0100	16.00
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	18.50
WATDE0002	23.00
WATDE0004	18.50
WATDE0005	16.00
WATDE0006	26.00
WATDE0007	NA
WATDE0008	NA
WATDE0009	18.00
WATDE0011	26.00
WATDE0012	26.20
WATDE0013	23.00
WATDE0014	24.40
WATDE0015	24.00
WATDE0016	17.78
WATDE0017	20.00
WATDE0018	22.00
WATDE0019	NA
WATDE0020	21.00
WATDE0021	NA
WATDE0022	NA
WATDE0023	17.00
WATDE0024	NA
WATDE0025	20.00
WATDE0026	21.67
WATDE0027	14.56
WATDE0028	20.22
WATDE0029	NA
WATDE0030	NA
WATDE0031	NA
WATDE0032	21.00
WATDE0033	18.33
WATDE0034	22.00
WATDE0035	NA
WATDE0036	20.00
WATDE0037	22.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	22.00
WATDE0042	16.00
WATDE0043	21.50
WATDE0044	24.33
WATDE0045	NA
WATDE0046	NA
WATDE0047	24.00
WATDE0048	NA
WATDE0049	18.50
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	20.00
WATDE0054	27.50
WATDE0055	23.00
WATDE0056	17.00
WATDE0057	18.22
WATDE0058	23.78
WATDE0059	21.33
WATDE0060	18.00
WATDE0062	19.00
WATDE0063	16.38
WATDE0064	17.22
WATDE0065	24.50
WATDE0066	22.00
WATDE0067	20.00
WATDE0068	24.00
WATDE0069	20.00
WATDE0070	NA
WATDE0071	22.00
WATDE0072	27.00
WATDE0073	NA
WATDE0074	20.78
WATDE0075	23.00
WATDE0076	NA
WATDE0077	21.67
WATDE0078	18.00
WATDE0079	23.00
WATDE0080	13.00
WATDE0081	NA
WATDE0082	NA
WATDE0083	22.00
WATDE0084	26.67
WATDE0085	20.80
WATDE0086	NA
WATDE0087	20.00
WATDE0088	NA
WATDE0089	NA
WATDE0090	13.00
WATDE0091	20.00
WATDE0092	19.00
WATDE0093	21.50
WATDE0094	NA
WATDE0095	23.80
WATDE0096	NA
WATDE0097	15.00
WATDE0098	15.11
WATDE0099	24.00
WATDE0101	23.00
WATDE0102	NA
WATDE0103	23.33
WATDE0104	22.00
WATDE0105	27.00
WATDE0106	19.50
WATDE0107	23.00
WATDE0108	NA
WATDE0109	28.67
WATDE0110	21.00
WATDE0111	24.67
WATDE0112	18.86
WATDE0113	27.20
WATDE0114	24.67
WATDE0115	15.78
WATDE0116	21.00
WATDE0117	17.00
WATDE0118	29.33
WATDE0119	19.80
WATDE0120	18.00
WATDE0121	23.00
WATDE0122	20.00
WATDE0123	NA
WATDE0124	22.00
WATDE0126	20.00
WATDE0127	21.00
WATDE0129	19.00
WATDE0131	17.00
WATDE0133	22.00
WATDE0134	NA
