IID	SplN_Quzhou_2022_Natural_Fertile
Agron	NA
Alba	21.00
Albatross	22.00
Alcedo	18.00
Alert	24.33
Almus	NA
Altria	21.67
ArinaLrFor	NA
Arminda	19.67
Aronde	18.67
Avalon	22.67
Aztec	21.33
WATDE0003	17.00
WATDE0010	NA
WATDE0339	18.33
WATDE0459	16.00
WATDE0476	NA
WATDE0526	NA
WATDE0532	14.67
WATDE0576	15.67
WATDE0612	12.67
WATDE0061	13.00
WATDE0668	NA
WATDE0714	17.33
WATDE0762	16.00
WATDE0801	15.67
WATDE0868	16.33
WATDE0100	20.67
WATDE1030	16.00
Banco	24.33
Bandit	24.33
Banner	NA
Beauchamp	NA
Beaver	25.00
Becard_Kachu	NA
Bersee	20.67
Boreonos	NA
Bounty	21.67
Boxer	22.00
Buster	22.00
Calif	NA
Camp_Remy	21.00
Capitiane	18.00
Capo	NA
Cappelle_Desprez	19.67
Catamaran	20.67
Cezanne	18.67
Charger	22.33
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	21.33
Courtot	20.00
Crest	22.33
Crusoe	19.00
Diablo	21.33
Diplomat	21.33
Disponent	20.00
Dorby	19.67
Drake	22.67
Drauhofener_Kolben	23.33
Druid	19.67
Encore	20.67
Equinox	20.00
Erla-Kolben	18.00
Erland	NA
Eros	24.33
Expert	NA
Extrem	NA
Fanal	24.33
Felix	23.67
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	24.33
Florida	21.00
Gabo	18.67
Galahad	22.00
Garcia	NA
Gawain	23.00
Glasgow	25.33
Grafton	NA
Granada	20.33
Haven	21.00
Heine7	22.67
Hereward	19.33
Highbury	16.33
Hobbit	18.33
Holdfast	19.00
Hybrid46	20.00
Ibis	NA
Iena	NA
Ikarus	23.00
Jagger	NA
Joss_Cambier	24.00
Julius	NA
KWS_Santiago	18.00
Karat	NA
Koga1	NA
Kontrast	20.67
Kosack	23.33
Kranich	24.67
Lancelot	13.67
Leda	22.00
Legend	23.33
Longbow	22.67
Lutin	15.67
MISR1	NA
Mahndorfer	18.00
Marco	22.00
Maris_Dove	17.67
Maris_Widgeon	21.67
MarisHuntsman	19.67
Maris_ranger	21.67
Minister	21.33
Mironovska	16.67
Moisson	NA
Muck	NA
Multiweiss	19.33
Nautica	19.00
Newhaven	22.33
Norda	20.67
Norin	NA
Obelisk	19.67
Odeon	22.00
Odin	22.00
Oenus	21.33
Opata	18.33
Orlando	16.67
Palur	24.33
Pamyat	19.67
Pastiche	19.00
Pavon76	20.67
Pepital	NA
Peragis	17.33
Perlo	19.00
Pfau	NA
Pomerelle	17.67
Pony	21.33
Prof_Marshall	18.67
Prophet	NA
Rabe	21.00
Rebel	23.67
Recital	19.33
Record	17.33
Red_Fife	23.00
Reedling	NA
Regent	20.33
Renan	NA
Rendezvous	22.50
Revelation	NA
Riband	NA
Rimpaus_Bastard2	20.33
RitzlhoferNeu	20.67
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	22.00
Shamrock	22.67
Shango	NA
Sicco	26.00
Slejpner	21.33
Soissons	NA
Soleil	21.67
Spark	21.00
Sperber	21.67
Spitfire	18.33
Sportsman	18.00
Stamm101	14.67
Starke2	26.33
Stava	24.33
Stella	23.67
Super152	NA
Svale	23.00
Tadorna	21.00
Talent	22.67
Tambor	18.33
Tandem	22.33
Tanker	25.00
Taras	18.67
Thatcher	22.00
Thor	25.67
Titus	20.00
Top	22.67
Torfrida	19.33
Trafalgar	NA
Treasure	NA
Tremie	17.00
Triumph_NDL	NA
Tschermaks	NA
Turpin	24.67
Urban	20.33
Vaguedepis	22.33
Vilmorin53	20.00
Vilmorin27	20.33
Virgo	NA
Vocal	26.67
Voyage	23.00
WATDE0001	16.00
WATDE0002	18.33
WATDE0004	17.00
WATDE0005	16.33
WATDE0006	19.67
WATDE0007	NA
WATDE0008	14.33
WATDE0009	NA
WATDE0011	19.33
WATDE0012	19.33
WATDE0013	NA
WATDE0014	22.67
WATDE0015	20.00
WATDE0016	16.50
WATDE0017	17.67
WATDE0018	NA
WATDE0019	20.00
WATDE0020	19.67
WATDE0021	17.33
WATDE0022	19.67
WATDE0023	15.67
WATDE0024	19.67
WATDE0025	14.67
WATDE0026	14.33
WATDE0027	8.67
WATDE0028	15.33
WATDE0029	NA
WATDE0030	NA
WATDE0031	18.00
WATDE0032	NA
WATDE0033	16.67
WATDE0034	12.33
WATDE0035	NA
WATDE0036	14.33
WATDE0037	15.33
WATDE0038	NA
WATDE0040	NA
WATDE0041	15.00
WATDE0042	21.67
WATDE0043	17.33
WATDE0044	17.33
WATDE0045	20.67
WATDE0046	14.00
WATDE0047	18.00
WATDE0048	18.00
WATDE0049	16.00
WATDE0050	17.67
WATDE0051	NA
WATDE0052	13.33
WATDE0053	12.67
WATDE0054	17.67
WATDE0055	16.67
WATDE0056	17.67
WATDE0057	15.33
WATDE0058	18.33
WATDE0059	18.67
WATDE0060	15.67
WATDE0062	13.00
WATDE0063	16.00
WATDE0064	16.67
WATDE0065	16.33
WATDE0066	19.33
WATDE0067	14.67
WATDE0068	18.00
WATDE0069	14.67
WATDE0070	NA
WATDE0071	NA
WATDE0072	15.33
WATDE0073	16.67
WATDE0074	15.33
WATDE0075	15.67
WATDE0076	NA
WATDE0077	15.67
WATDE0078	17.33
WATDE0079	16.33
WATDE0080	12.00
WATDE0081	NA
WATDE0082	NA
WATDE0083	18.33
WATDE0084	17.00
WATDE0085	14.33
WATDE0086	16.33
WATDE0087	17.67
WATDE0088	15.33
WATDE0089	18.67
WATDE0090	19.00
WATDE0091	14.67
WATDE0092	13.67
WATDE0093	17.33
WATDE0094	20.33
WATDE0095	17.67
WATDE0096	20.00
WATDE0097	18.67
WATDE0098	15.00
WATDE0099	15.00
WATDE0101	20.00
WATDE0102	16.67
WATDE0103	21.00
WATDE0104	15.67
WATDE0105	21.33
WATDE0106	17.00
WATDE0107	17.33
WATDE0108	17.33
