IID	SplN_Shenzhen_2022_Natural_Sterility-All
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	12.33
WATDE0010	NA
WATDE0339	3.33
WATDE0459	6.33
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	6.67
WATDE0612	2.33
WATDE0061	4.00
WATDE0668	11.33
WATDE0714	5.67
WATDE0762	5.00
WATDE0801	NA
WATDE0868	9.33
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	11.67
WATDE0002	4.00
WATDE0004	6.67
WATDE0005	1.00
WATDE0006	NA
WATDE0007	NA
WATDE0008	3.33
WATDE0009	6.00
WATDE0011	10.00
WATDE0012	NA
WATDE0013	11.67
WATDE0014	NA
WATDE0015	2.67
WATDE0016	NA
WATDE0017	8.00
WATDE0018	16.00
WATDE0019	NA
WATDE0020	8.67
WATDE0021	3.67
WATDE0022	NA
WATDE0023	1.00
WATDE0024	NA
WATDE0025	5.33
WATDE0026	5.00
WATDE0027	4.33
WATDE0028	5.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	4.00
WATDE0032	3.67
WATDE0033	5.33
WATDE0034	10.67
WATDE0035	NA
WATDE0036	NA
WATDE0037	13.67
WATDE0038	NA
WATDE0040	NA
WATDE0041	3.33
WATDE0042	NA
WATDE0043	NA
WATDE0044	NA
WATDE0045	NA
WATDE0046	3.33
WATDE0047	3.67
WATDE0048	3.33
WATDE0049	NA
WATDE0050	NA
WATDE0051	11.67
WATDE0052	NA
WATDE0053	3.67
WATDE0054	5.67
WATDE0055	6.00
WATDE0056	4.33
WATDE0057	1.67
WATDE0058	4.67
WATDE0059	NA
WATDE0060	2.67
WATDE0062	6.00
WATDE0063	3.00
WATDE0064	5.67
WATDE0065	NA
WATDE0066	8.00
WATDE0067	6.33
WATDE0068	17.33
WATDE0069	NA
WATDE0070	6.33
WATDE0071	12.00
WATDE0072	6.33
WATDE0073	NA
WATDE0074	4.33
WATDE0075	6.33
WATDE0076	NA
WATDE0077	4.00
WATDE0078	NA
WATDE0079	NA
WATDE0080	5.00
WATDE0081	NA
WATDE0082	NA
WATDE0083	16.33
WATDE0084	NA
WATDE0085	NA
WATDE0086	4.33
WATDE0087	7.67
WATDE0088	4.00
WATDE0089	NA
WATDE0090	9.33
WATDE0091	5.33
WATDE0092	6.33
WATDE0093	4.00
WATDE0094	1.00
WATDE0095	9.67
WATDE0096	5.00
WATDE0097	3.33
WATDE0098	7.67
WATDE0099	4.67
WATDE0101	0.67
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	4.33
WATDE0106	NA
WATDE0107	6.67
WATDE0108	NA
WATDE0109	NA
WATDE0110	7.67
WATDE0111	7.00
WATDE0112	1.67
WATDE0113	7.00
WATDE0114	3.33
WATDE0115	NA
WATDE0116	5.33
WATDE0117	7.67
WATDE0118	4.00
WATDE0119	NA
WATDE0120	7.33
WATDE0121	19.33
WATDE0122	7.00
WATDE0123	3.67
WATDE0124	NA
WATDE0126	6.50
WATDE0127	4.67
WATDE0129	3.00
WATDE0131	4.33
WATDE0133	4.00
WATDE0134	5.00
WATDE0136	NA
