IID	TN_Quzhou_20220308_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	252
WATDE0010	NA
WATDE0339	NA
WATDE0459	246
WATDE0476	350
WATDE0526	NA
WATDE0532	180
WATDE0576	264
WATDE0612	215
WATDE0061	150
WATDE0668	410
WATDE0714	91
WATDE0762	180
WATDE0801	358
WATDE0868	259
WATDE0100	169
WATDE1030	188
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	294
WATDE0002	196
WATDE0004	342
WATDE0005	280
WATDE0006	194
WATDE0007	NA
WATDE0008	271
WATDE0009	241
WATDE0011	231
WATDE0012	403
WATDE0013	246
WATDE0014	NA
WATDE0015	288
WATDE0016	203
WATDE0017	NA
WATDE0018	450
WATDE0019	NA
WATDE0020	171
WATDE0021	225
WATDE0022	NA
WATDE0023	335
WATDE0024	NA
WATDE0025	117
WATDE0026	206
WATDE0027	266
WATDE0028	352
WATDE0029	NA
WATDE0030	NA
WATDE0031	375
WATDE0032	94
WATDE0033	80
WATDE0034	268
WATDE0035	NA
WATDE0036	211
WATDE0037	217
WATDE0038	NA
WATDE0040	NA
WATDE0041	305
WATDE0042	220
WATDE0043	372
WATDE0044	NA
WATDE0045	107
WATDE0046	287
WATDE0047	128
WATDE0048	NA
WATDE0049	225
WATDE0050	NA
WATDE0051	227
WATDE0052	NA
WATDE0053	331
WATDE0054	61
WATDE0055	181
WATDE0056	227
WATDE0057	205
WATDE0058	153
WATDE0059	NA
WATDE0060	175
WATDE0062	177
WATDE0063	166
WATDE0064	306
WATDE0065	281
WATDE0066	200
WATDE0067	219
WATDE0068	210
WATDE0069	252
WATDE0070	331
WATDE0071	240
WATDE0072	256
WATDE0073	190
WATDE0074	133
WATDE0075	122
WATDE0076	145
WATDE0077	327
WATDE0078	300
WATDE0079	354
WATDE0080	194
WATDE0081	NA
WATDE0082	204
WATDE0083	178
WATDE0084	292
WATDE0085	331
WATDE0086	115
WATDE0087	194
WATDE0088	127
WATDE0089	NA
WATDE0090	211
WATDE0091	249
WATDE0092	131
WATDE0093	160
WATDE0094	238
WATDE0095	145
WATDE0096	136
WATDE0097	92
WATDE0098	215
WATDE0099	272
WATDE0101	145
WATDE0102	151
WATDE0103	371
WATDE0104	NA
WATDE0105	180
WATDE0106	292
WATDE0107	247
WATDE0108	246
WATDE0109	315
WATDE0110	236
WATDE0111	347
WATDE0112	307
WATDE0113	304
WATDE0114	182
WATDE0115	207
WATDE0116	217
WATDE0117	305
WATDE0118	95
WATDE0119	460
WATDE0120	NA
WATDE0121	113
WATDE0122	67
WATDE0123	376
WATDE0124	301
WATDE0126	359
WATDE0127	198
WATDE0129	260
WATDE0131	285
WATDE0133	240
WATDE0134	NA
WATDE0136	240
WATDE0138	NA
WATDE0140	303
WATDE0141	NA
WATDE0143	NA
WATDE0144	260
WATDE0145	386
WATDE0146	330
WATDE0148	231
WATDE0149	170
WATDE0150	212
WATDE0151	382
WATDE0152	156
WATDE0153	167
WATDE0154	196
WATDE0156	201
WATDE0157	304
WATDE0158	195
WATDE0159	159
WATDE0160	311
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
