IID	TN_Shenzhen_20220308_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	112.5
WATDE0010	NA
WATDE0339	NA
WATDE0459	138.5
WATDE0476	185.5
WATDE0526	NA
WATDE0532	194.5
WATDE0576	71.5
WATDE0612	167
WATDE0061	NA
WATDE0668	107
WATDE0714	82.5
WATDE0762	NA
WATDE0801	141
WATDE0868	105
WATDE0100	198.5
WATDE1030	206.5
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	69.5
WATDE0002	NA
WATDE0004	137
WATDE0005	NA
WATDE0006	139.5
WATDE0007	NA
WATDE0008	166
WATDE0009	228
WATDE0011	38
WATDE0012	165
WATDE0013	102
WATDE0014	NA
WATDE0015	NA
WATDE0016	151
WATDE0017	NA
WATDE0018	156
WATDE0019	NA
WATDE0020	74
WATDE0021	150.5
WATDE0022	NA
WATDE0023	NA
WATDE0024	NA
WATDE0025	NA
WATDE0026	119.5
WATDE0027	130
WATDE0028	128.5
WATDE0029	NA
WATDE0030	NA
WATDE0031	98.5
WATDE0032	137
WATDE0033	91.5
WATDE0034	201.5
WATDE0035	NA
WATDE0036	NA
WATDE0037	101.5
WATDE0038	NA
WATDE0040	NA
WATDE0041	NA
WATDE0042	177.5
WATDE0043	164
WATDE0044	NA
WATDE0045	126
WATDE0046	300.5
WATDE0047	101
WATDE0048	NA
WATDE0049	162.5
WATDE0050	NA
WATDE0051	197
WATDE0052	NA
WATDE0053	NA
WATDE0054	128.5
WATDE0055	113
WATDE0056	191
WATDE0057	NA
WATDE0058	103.5
WATDE0059	NA
WATDE0060	106.5
WATDE0062	102.5
WATDE0063	156.5
WATDE0064	125.5
WATDE0065	69
WATDE0066	115
WATDE0067	NA
WATDE0068	177
WATDE0069	247.5
WATDE0070	229
WATDE0071	NA
WATDE0072	100
WATDE0073	277.5
WATDE0074	91
WATDE0075	NA
WATDE0076	105.5
WATDE0077	NA
WATDE0078	237.5
WATDE0079	219
WATDE0080	130.5
WATDE0081	NA
WATDE0082	148
WATDE0083	108
WATDE0084	165.5
WATDE0085	118
WATDE0086	138.5
WATDE0087	110
WATDE0088	99.5
WATDE0089	NA
WATDE0090	NA
WATDE0091	NA
WATDE0092	108.5
WATDE0093	109.5
WATDE0094	107.5
WATDE0095	139
WATDE0096	150.5
WATDE0097	66.5
WATDE0098	140.5
WATDE0099	88.5
WATDE0101	NA
WATDE0102	62
WATDE0103	160.5
WATDE0104	NA
WATDE0105	115.5
WATDE0106	176
WATDE0107	132.5
WATDE0108	128.5
WATDE0109	125.5
WATDE0110	149
WATDE0111	110.5
WATDE0112	NA
WATDE0113	100
WATDE0114	204
WATDE0115	NA
WATDE0116	NA
WATDE0117	55
WATDE0118	68.5
WATDE0119	99.5
WATDE0120	NA
WATDE0121	NA
WATDE0122	189.5
WATDE0123	NA
WATDE0124	NA
WATDE0126	NA
WATDE0127	149
WATDE0129	NA
WATDE0131	100
WATDE0133	78.5
WATDE0134	NA
WATDE0136	142
WATDE0138	NA
WATDE0140	162.5
WATDE0141	NA
WATDE0143	NA
WATDE0144	226
WATDE0145	162
WATDE0146	62.5
WATDE0148	NA
WATDE0149	NA
