Abbreviation used in plots,Trait.name,Variable.name,Method.name,Scale.name,Variable.ID,Trait.ID,Method.ID,Scale.ID,Context.of.use,Growth.stage,Variable.status,Variable.Xref,Trait.class,Method.class,Scale.class,Trait.description,Method.description,Entity
AGBMNitr,Above ground biomass nitrogen content,AGBMNitr_M_pct,BM NIRS Computation,%,CO_321:0001702,CO_321:0001662,CO_321:0001682,CO_321:0000410,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,Nitrogen content of the above ground biomass.,Calculated as sum of straw Nitrogen content and grain Nitrogen content according to the biomass partition into straw and grain.,Plant
Ant,Anthesis time,Ant_dto_day,Ant DS65 DT Computation,day,CO_321:0001048,CO_321:0000121,CO_321:0000336,CO_321:0000434,Trial evaluation,Flowering half complete (DS65),,BMS_22674,Phenological traits,Computation,Duration,Anthesis or flowering time is the period during which a flower is fully open and functional. pollination and fertilization occur during this period.,"Number of days required from sowing to when 50% of spikes have flowered (DS65). However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.",Plant
ANTHCOL,Anther colour,ANTHCOL_E_1to3,ANTHCol Estimation,1-3 ANTHCOL scale,,,,,Descriptor,DS61-DS75,,,Morphological traits,Estimation,Nominal,colour observation on the anthers.,Standard method for anther colour.,Anther
AwnCol,Awn colour,AwnCol_E_1to6,AwnCol Estimation,1-6 colour scale,CO_321:0001453,CO_321:0000960,CO_321:0000983,CO_321:0001012,Nursery/Trial evaluation,,,,Morphological traits,Estimation,Nominal,Awn colour.,Standard method for awn colour.,Awn
AwnLng,Awn length,AwnLng_M_cm,AwnLng  Measurement,cm,CO_321:0001052,CO_321:0000026,CO_321:0000247,CO_321:0000411,Trial evaluation,DS75-DS89,,BMS_29018,Morphological traits,Measurement,Numerical,Awn length.,Standard method for awn length.,Awn
Awns,Spike awnedness,Awns_E_0to1,Awns Presence,0-1 absent-present,CO_321:0001708,CO_321:0000027,CO_321:0001676,CO_321:0000599,Descriptor,DS65-DS89,,,Morphological traits,Estimation,Nominal,Observation of awn type whether awnless/awnletted (short awns)/awned (conspicious awns).,Standard method for awn presence estimation.,Spike
BaWtGr,Barium weight per grain,BaWtGr_CalcIcpTgw_uggrain,BaWtGr Computation,uggrain,,,,,Research-intensive characterization,After harvest,,,Mineral content,Computation,,Barium weight per grain,,Grain
BM,Aboveground biomass at maturity,BM_Calc_gm2,BM Computation,g/m2,CO_321:0001034,CO_321:0000005,CO_321:0001027,CO_321:0000805,Trial evaluation,After physiological maturity (DS87),,BMS_29020,Biomass partitioning,Computation,Numerical,All above-ground biomass at maturity.,"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",Plant
BMNUE,Above ground biomass nitrogen efficiency,BMNUE_Calc_kgkgN,BMNUE Computation,kg/kg N,CO_321:0001720,CO_321:0001671,CO_321:0001691,CO_321:0001699,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,The above ground biomass production per total Nitrogen available  to a plant.,Calculated as the above ground biomass divided by the total soil Nitrogen.,Plant
BMNUP,Above ground biomass nitrogen uptake,BMNUP_Calc_kgha,BMNUp Computation,kg/ha,CO_321:0001711,CO_321:0001664,CO_321:0001684,CO_321:0000804,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,Uptake of Nitrogen in the above ground biomass at maturity.,Calculated as total amount of Nitrogen in the above-ground biomass at harvest.,Plant
BMNUtE,Biomass Nitrogen utilization efficiency,BMNUtE_Calc_kgkgN,BMNUtE Computation,kg/kg N,CO_321:0001718,CO_321:0001669,CO_321:0001689,CO_321:0001699,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,Biomass Nitrogen Utilization Efficiency as the biomass in relation to the total amount of N in above-ground plant at harvest.,Calculated as biomass per unit of Nitrogen taken up.,Plant
Boot,Booting time,Boot_dto_day,Boot DS45 DT Computation,day,CO_321:0001076,CO_321:0000191,CO_321:0000376,CO_321:0000434,Research-intensive characterization,Boot swollen (DS45),,BMS_29037,Phenological traits,Computation,Duration,"Booting time is just prior to spike emergence, when the flag leaf sheath encloses the growing spike.","Number of days from sowing to booting stage (DS45). However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.",Plant
BrownFootRot,Brown foot rot incidence.,BrownFootRot_E_0to9pct,BrownFootRot Estimation,0-9 percentage scale,,,,,Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease.,,,Biotic stress traits,Estimation,,Brown foot rot incidence in the plants.,Standard method for common root rot incidence.,Plant
CaWtGr,Calcium weight per grain,CaWtGr_CalcIcpTgw_uggrain,CaWtGr Computation,uggrain,ROTH_VARIABLE:000351,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Calcium weight per grain,Calcium weight per grain calculated from grain offtake and grains per unit area,Grain
CI,Red-edge ChlorophyII Index,CI_M_Idx,CI Measurement,index,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,,Closely related to leaf area index,,Leaf
CirDe,Circular Degree,CirDe_M_Idx,CirDe Measurement,index,,,,,Research-intensive characterization,,,,Morphological traits,Measurement,,,,Grain
