IID	AWNLG_Shenzhen-NN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	1.69
WATDE0010	NA
WATDE0339	NA
WATDE0459	NA
WATDE0476	6.08
WATDE0526	NA
WATDE0532	NA
WATDE0576	NA
WATDE0612	6.96
WATDE0061	7.63
WATDE0668	8.31
WATDE0714	3.10
WATDE0762	8.18
WATDE0801	8.35
WATDE0868	7.43
WATDE0100	NA
WATDE1030	3.91
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	NA
WATDE0002	0.77
WATDE0004	2.27
WATDE0005	NA
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	NA
WATDE0012	2.96
WATDE0013	1.14
WATDE0014	2.76
WATDE0015	NA
WATDE0016	1.31
WATDE0017	NA
WATDE0018	1.77
WATDE0019	NA
WATDE0020	0.79
WATDE0021	NA
WATDE0022	NA
WATDE0023	NA
WATDE0024	NA
WATDE0025	10.78
WATDE0026	10.35
WATDE0027	6.64
WATDE0028	7.71
WATDE0029	NA
WATDE0030	NA
WATDE0031	7.93
WATDE0032	8.59
WATDE0033	7.52
WATDE0034	6.73
WATDE0035	NA
WATDE0036	9.77
WATDE0037	8.15
WATDE0038	NA
WATDE0040	NA
WATDE0041	4.78
WATDE0042	4.36
WATDE0043	8.34
WATDE0044	3.55
WATDE0045	NA
WATDE0046	NA
WATDE0047	NA
WATDE0048	NA
WATDE0049	NA
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	11.84
WATDE0054	7.81
WATDE0055	6.53
WATDE0056	5.93
WATDE0057	8.03
WATDE0058	7.75
WATDE0059	4.96
WATDE0060	8.77
WATDE0062	6.62
WATDE0063	4.95
WATDE0064	5.37
WATDE0065	7.80
WATDE0066	NA
WATDE0067	9.95
WATDE0068	6.32
WATDE0069	8.20
WATDE0070	NA
WATDE0071	9.14
WATDE0072	7.03
WATDE0073	NA
WATDE0074	8.54
WATDE0075	5.67
WATDE0076	5.33
WATDE0077	6.43
WATDE0078	4.60
WATDE0079	7.42
WATDE0080	NA
WATDE0081	NA
WATDE0082	NA
WATDE0083	8.78
WATDE0084	4.64
WATDE0085	5.95
WATDE0086	NA
WATDE0087	7.97
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	10.01
WATDE0092	6.75
WATDE0093	NA
WATDE0094	NA
WATDE0095	NA
WATDE0096	2.50
WATDE0097	NA
WATDE0098	NA
WATDE0099	NA
WATDE0101	0.65
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	7.36
WATDE0106	8.01
WATDE0107	6.26
WATDE0108	NA
WATDE0109	NA
WATDE0110	6.56
WATDE0111	2.73
WATDE0112	4.83
WATDE0113	9.02
WATDE0114	5.89
WATDE0115	0.96
WATDE0116	0.65
WATDE0117	NA
WATDE0118	0.50
WATDE0119	3.57
WATDE0120	NA
WATDE0121	NA
WATDE0122	NA
WATDE0123	0.80
WATDE0124	1.06
WATDE0126	0.89
WATDE0127	3.25
WATDE0129	2.82
WATDE0131	NA
WATDE0133	2.10
WATDE0134	NA
WATDE0136	NA
WATDE0138	NA
