IID	BM_Shenzhen_2022_Natural_spike-flowering
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	NA
WATDE0459	1.7
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	NA
WATDE0612	1.41
WATDE0061	2.04
WATDE0668	2.24
WATDE0714	4.99
WATDE0762	4.51
WATDE0801	2.89
WATDE0868	1.28
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	2.87
WATDE0002	2.51
WATDE0004	2.71
WATDE0005	NA
WATDE0006	NA
WATDE0007	NA
WATDE0008	2.25
WATDE0009	2.24
WATDE0011	2.18
WATDE0012	NA
WATDE0013	3.28
WATDE0014	NA
WATDE0015	2.29
WATDE0016	1.29
WATDE0017	NA
WATDE0018	2.45
WATDE0019	NA
WATDE0020	1.8
WATDE0021	NA
WATDE0022	NA
WATDE0023	2.32
WATDE0024	NA
WATDE0025	3.29
WATDE0026	3.88
WATDE0027	NA
WATDE0028	2.19
WATDE0029	NA
WATDE0030	NA
WATDE0031	3.58
WATDE0032	2.03
WATDE0033	NA
WATDE0034	3.16
WATDE0035	NA
WATDE0036	5.15
WATDE0037	3.03
WATDE0038	NA
WATDE0040	NA
WATDE0041	NA
WATDE0042	NA
WATDE0043	2.27
WATDE0044	NA
WATDE0045	NA
WATDE0046	NA
WATDE0047	1.58
WATDE0048	NA
WATDE0049	NA
WATDE0050	NA
WATDE0051	2.69
WATDE0052	NA
WATDE0053	3.6
WATDE0054	2.15
WATDE0055	NA
WATDE0056	1.26
WATDE0057	NA
WATDE0058	2.82
WATDE0059	NA
WATDE0060	2
WATDE0062	1.95
WATDE0063	NA
WATDE0064	NA
WATDE0065	NA
WATDE0066	2.79
WATDE0067	4.14
WATDE0068	3.88
WATDE0069	NA
WATDE0070	NA
WATDE0071	3.02
WATDE0072	5.09
WATDE0073	NA
WATDE0074	6.52
WATDE0075	NA
WATDE0076	NA
WATDE0077	5.37
WATDE0078	NA
WATDE0079	NA
WATDE0080	1.19
WATDE0081	NA
WATDE0082	NA
WATDE0083	2.48
WATDE0084	NA
WATDE0085	NA
WATDE0086	3.84
WATDE0087	2.51
WATDE0088	NA
WATDE0089	NA
WATDE0090	3.5
WATDE0091	5.2
WATDE0092	2.22
WATDE0093	2.1
WATDE0094	0.76
WATDE0095	1.5
WATDE0096	1.58
WATDE0097	2.05
WATDE0098	NA
WATDE0099	2.14
WATDE0101	2.18
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	1.26
WATDE0106	NA
WATDE0107	1.3
WATDE0108	NA
WATDE0109	NA
WATDE0110	2.76
WATDE0111	2.96
WATDE0112	2.82
WATDE0113	1.84
WATDE0114	NA
WATDE0115	1.54
WATDE0116	2.53
WATDE0117	2.17
WATDE0118	1.58
WATDE0119	NA
WATDE0120	NA
WATDE0121	7.82
WATDE0122	1.88
WATDE0123	2.79
WATDE0124	2.25
WATDE0126	NA
WATDE0127	NA
WATDE0129	NA
WATDE0131	2.71
WATDE0133	4.88
WATDE0134	NA
WATDE0136	0.95
WATDE0138	NA
WATDE0140	1.37
