IID	CC_Shenzhen-LN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	NA
WATDE0459	43.98
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	NA
WATDE0612	NA
WATDE0061	37.19
WATDE0668	NA
WATDE0714	32.41
WATDE0762	NA
WATDE0801	34.45
WATDE0868	NA
WATDE0100	19.62
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	40.83
WATDE0002	NA
WATDE0004	35.22
WATDE0005	NA
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	NA
WATDE0012	NA
WATDE0013	36.73
WATDE0014	NA
WATDE0015	32.54
WATDE0016	NA
WATDE0017	NA
WATDE0018	44.55
WATDE0019	NA
WATDE0020	44.51
WATDE0021	NA
WATDE0022	NA
WATDE0023	24.27
WATDE0024	NA
WATDE0025	32.07
WATDE0026	33.87
WATDE0027	NA
WATDE0028	35.31
WATDE0029	NA
WATDE0030	NA
WATDE0031	36.11
WATDE0032	41.29
WATDE0033	NA
WATDE0034	37.58
WATDE0035	NA
WATDE0036	30.29
WATDE0037	34.11
WATDE0038	NA
WATDE0040	NA
WATDE0041	29.46
WATDE0042	29.15
WATDE0043	NA
WATDE0044	NA
WATDE0045	NA
WATDE0046	NA
WATDE0047	33.74
WATDE0048	NA
WATDE0049	NA
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	36.65
WATDE0054	NA
WATDE0055	NA
WATDE0056	37.65
WATDE0057	48.97
WATDE0058	41.38
WATDE0059	NA
WATDE0060	34.19
WATDE0062	36.79
WATDE0063	47.55
WATDE0064	NA
WATDE0065	NA
WATDE0066	35.59
WATDE0067	NA
WATDE0068	42.05
WATDE0069	36.90
WATDE0070	NA
WATDE0071	32.10
WATDE0072	38.34
WATDE0073	NA
WATDE0074	38.21
WATDE0075	33.91
WATDE0076	31.79
WATDE0077	35.78
WATDE0078	NA
WATDE0079	NA
WATDE0080	NA
WATDE0081	NA
WATDE0082	NA
WATDE0083	38.32
WATDE0084	NA
WATDE0085	NA
WATDE0086	NA
WATDE0087	NA
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	27.56
WATDE0092	36.92
WATDE0093	29.63
WATDE0094	NA
WATDE0095	49.19
WATDE0096	NA
WATDE0097	37.31
WATDE0098	49.41
WATDE0099	NA
WATDE0101	21.24
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	NA
WATDE0106	NA
WATDE0107	NA
WATDE0108	NA
WATDE0109	NA
WATDE0110	43.24
WATDE0111	39.61
WATDE0112	39.61
WATDE0113	NA
WATDE0114	NA
WATDE0115	28.46
WATDE0116	35.21
WATDE0117	NA
WATDE0118	47.55
WATDE0119	NA
WATDE0120	NA
WATDE0121	36.39
WATDE0122	NA
WATDE0123	30.95
WATDE0124	38.97
WATDE0126	35.86
WATDE0127	NA
WATDE0129	32.58
WATDE0131	34.70
WATDE0133	NA
WATDE0134	NA
WATDE0136	NA
WATDE0138	NA
WATDE0140	NA
WATDE0141	NA
