IID	CC_Shenzhen_2022_Natural_0208-0213
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	39.80
WATDE0010	NA
WATDE0339	NA
WATDE0459	34.40
WATDE0476	31.20
WATDE0526	NA
WATDE0532	44.10
WATDE0576	35.50
WATDE0612	40.50
WATDE0061	47.40
WATDE0668	44.20
WATDE0714	34.60
WATDE0762	41.00
WATDE0801	43.00
WATDE0868	NA
WATDE0100	35.30
WATDE1030	37.30
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	44.80
WATDE0002	43.30
WATDE0004	30.10
WATDE0005	48.50
WATDE0006	28.20
WATDE0007	NA
WATDE0008	42.20
WATDE0009	35.20
WATDE0011	37.00
WATDE0012	29.80
WATDE0013	37.10
WATDE0014	NA
WATDE0015	43.60
WATDE0016	32.20
WATDE0017	NA
WATDE0018	44.40
WATDE0019	NA
WATDE0020	27.20
WATDE0021	36.60
WATDE0022	NA
WATDE0023	48.80
WATDE0024	NA
WATDE0025	38.70
WATDE0026	38.90
WATDE0027	34.20
WATDE0028	38.90
WATDE0029	NA
WATDE0030	NA
WATDE0031	36.00
WATDE0032	42.40
WATDE0033	43.80
WATDE0034	45.70
WATDE0035	NA
WATDE0036	34.00
WATDE0037	37.90
WATDE0038	NA
WATDE0040	NA
WATDE0041	49.50
WATDE0042	29.10
WATDE0043	31.70
WATDE0044	NA
WATDE0045	36.00
WATDE0046	42.40
WATDE0047	35.00
WATDE0048	NA
WATDE0049	32.20
WATDE0050	NA
WATDE0051	38.00
WATDE0052	NA
WATDE0053	43.20
WATDE0054	38.10
WATDE0055	44.30
WATDE0056	35.10
WATDE0057	40.70
WATDE0058	40.00
WATDE0059	NA
WATDE0060	38.40
WATDE0062	31.50
WATDE0063	38.80
WATDE0064	34.50
WATDE0065	39.90
WATDE0066	37.90
WATDE0067	41.30
WATDE0068	42.40
WATDE0069	49.60
WATDE0070	33.20
WATDE0071	42.30
WATDE0072	42.90
WATDE0073	39.10
WATDE0074	40.60
WATDE0075	39.20
WATDE0076	37.50
WATDE0077	50.30
WATDE0078	41.30
WATDE0079	31.40
WATDE0080	29.10
WATDE0081	NA
WATDE0082	34.30
WATDE0083	41.50
WATDE0084	32.30
WATDE0085	40.80
WATDE0086	48.70
WATDE0087	37.90
WATDE0088	40.80
WATDE0089	NA
WATDE0090	37.40
WATDE0091	35.10
WATDE0092	35.30
WATDE0093	31.90
WATDE0094	33.90
WATDE0095	37.20
WATDE0096	34.60
WATDE0097	39.70
WATDE0098	27.80
WATDE0099	42.30
WATDE0101	45.90
WATDE0102	31.00
WATDE0103	37.40
WATDE0104	NA
WATDE0105	32.80
WATDE0106	33.50
WATDE0107	36.40
WATDE0108	41.90
WATDE0109	42.60
WATDE0110	45.60
WATDE0111	36.30
WATDE0112	49.10
WATDE0113	28.70
WATDE0114	26.10
WATDE0115	41.40
WATDE0116	41.50
WATDE0117	44.20
WATDE0118	36.50
WATDE0119	33.80
WATDE0120	NA
WATDE0121	35.50
WATDE0122	40.00
WATDE0123	50.60
WATDE0124	47.40
WATDE0126	40.60
WATDE0127	37.70
WATDE0129	42.30
WATDE0131	43.30
