IID	EmerNo_Quzhou_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	75.50
WATDE0010	NA
WATDE0339	NA
WATDE0459	63.50
WATDE0476	69.00
WATDE0526	NA
WATDE0532	50.00
WATDE0576	84.00
WATDE0612	55.00
WATDE0061	43.50
WATDE0668	57.00
WATDE0714	62.50
WATDE0762	58.50
WATDE0801	73.50
WATDE0868	NA
WATDE0100	52.50
WATDE1030	52.00
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	55.50
WATDE0002	68.00
WATDE0004	67.50
WATDE0005	86.00
WATDE0006	115.00
WATDE0007	NA
WATDE0008	55.50
WATDE0009	45.00
WATDE0011	54.00
WATDE0012	86.50
WATDE0013	81.00
WATDE0014	NA
WATDE0015	67.50
WATDE0016	55.00
WATDE0017	NA
WATDE0018	60.00
WATDE0019	NA
WATDE0020	81.00
WATDE0021	54.50
WATDE0022	NA
WATDE0023	109.50
WATDE0024	NA
WATDE0025	46.00
WATDE0026	67.00
WATDE0027	40.00
WATDE0028	68.50
WATDE0029	NA
WATDE0030	NA
WATDE0031	72.00
WATDE0032	29.50
WATDE0033	41.50
WATDE0034	51.00
WATDE0035	NA
WATDE0036	68.00
WATDE0037	69.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	66.50
WATDE0042	51.00
WATDE0043	74.50
WATDE0044	NA
WATDE0045	40.00
WATDE0046	62.00
WATDE0047	33.50
WATDE0048	NA
WATDE0049	54.50
WATDE0050	NA
WATDE0051	55.00
WATDE0052	NA
WATDE0053	54.50
WATDE0054	41.00
WATDE0055	43.50
WATDE0056	67.50
WATDE0057	54.50
WATDE0058	53.00
WATDE0059	NA
WATDE0060	47.00
WATDE0062	57.50
WATDE0063	41.00
WATDE0064	85.00
WATDE0065	94.00
WATDE0066	47.00
WATDE0067	69.00
WATDE0068	69.50
WATDE0069	65.50
WATDE0070	67.50
WATDE0071	67.50
WATDE0072	89.00
WATDE0073	82.50
WATDE0074	39.00
WATDE0075	76.50
WATDE0076	20.50
WATDE0077	49.00
WATDE0078	45.00
WATDE0079	61.00
WATDE0080	58.00
WATDE0081	NA
WATDE0082	48.50
WATDE0083	49.00
WATDE0084	73.00
WATDE0085	105.50
WATDE0086	28.00
WATDE0087	53.00
WATDE0088	40.50
WATDE0089	NA
WATDE0090	63.00
WATDE0091	77.50
WATDE0092	66.00
WATDE0093	63.00
WATDE0094	60.50
WATDE0095	43.00
WATDE0096	48.00
WATDE0097	33.00
WATDE0098	57.00
WATDE0099	70.00
WATDE0101	58.00
WATDE0102	40.50
WATDE0103	54.00
WATDE0104	NA
WATDE0105	45.00
WATDE0106	60.50
WATDE0107	64.50
WATDE0108	50.50
WATDE0109	53.00
WATDE0110	50.00
WATDE0111	51.00
WATDE0112	66.50
WATDE0113	64.00
WATDE0114	58.50
WATDE0115	60.50
WATDE0116	72.00
WATDE0117	29.00
WATDE0118	48.00
WATDE0119	81.00
WATDE0120	NA
WATDE0121	45.50
WATDE0122	28.00
WATDE0123	73.00
WATDE0124	85.00
WATDE0126	82.50
WATDE0127	55.50
WATDE0129	80.50
WATDE0131	76.00
WATDE0133	53.00
