IID	FT_Shenzhen-LN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	NA
WATDE0459	NA
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	156
WATDE0612	NA
WATDE0061	93
WATDE0668	NA
WATDE0714	112
WATDE0762	NA
WATDE0801	NA
WATDE0868	145
WATDE0100	115
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	122.5
WATDE0002	133
WATDE0004	133
WATDE0005	83
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	NA
WATDE0012	NA
WATDE0013	133
WATDE0014	NA
WATDE0015	NA
WATDE0016	145
WATDE0017	NA
WATDE0018	NA
WATDE0019	NA
WATDE0020	NA
WATDE0021	NA
WATDE0022	NA
WATDE0023	NA
WATDE0024	NA
WATDE0025	112
WATDE0026	115.5
WATDE0027	145
WATDE0028	133
WATDE0029	NA
WATDE0030	NA
WATDE0031	NA
WATDE0032	NA
WATDE0033	133
WATDE0034	133
WATDE0035	NA
WATDE0036	120.5
WATDE0037	NA
WATDE0038	NA
WATDE0040	NA
WATDE0041	93
WATDE0042	145
WATDE0043	104
WATDE0044	128
WATDE0045	NA
WATDE0046	NA
WATDE0047	NA
WATDE0048	NA
WATDE0049	NA
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	133
WATDE0054	133
WATDE0055	145
WATDE0056	145
WATDE0057	NA
WATDE0058	133
WATDE0059	NA
WATDE0060	133
WATDE0062	145
WATDE0063	NA
WATDE0064	145
WATDE0065	NA
WATDE0066	139
WATDE0067	145
WATDE0068	133
WATDE0069	133
WATDE0070	NA
WATDE0071	108
WATDE0072	133
WATDE0073	NA
WATDE0074	NA
WATDE0075	139
WATDE0076	145
WATDE0077	133
WATDE0078	NA
WATDE0079	NA
WATDE0080	145
WATDE0081	NA
WATDE0082	NA
WATDE0083	145
WATDE0084	NA
WATDE0085	116
WATDE0086	NA
WATDE0087	NA
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	NA
WATDE0092	115
WATDE0093	133
WATDE0094	133
WATDE0095	NA
WATDE0096	NA
WATDE0097	112
WATDE0098	113.5
WATDE0099	145
WATDE0101	83
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	139
WATDE0106	NA
WATDE0107	145
WATDE0108	NA
WATDE0109	NA
WATDE0110	115
WATDE0111	133
WATDE0112	93
WATDE0113	145
WATDE0114	NA
WATDE0115	NA
WATDE0116	133
WATDE0117	NA
WATDE0118	115
WATDE0119	NA
WATDE0120	NA
WATDE0121	NA
WATDE0122	139
WATDE0123	NA
WATDE0124	151
WATDE0126	NA
WATDE0127	NA
WATDE0129	108
WATDE0131	NA
WATDE0133	NA
WATDE0134	NA
WATDE0136	NA
WATDE0138	NA
WATDE0140	NA
WATDE0141	NA
WATDE0143	NA
WATDE0144	NA
WATDE0145	133
WATDE0146	139
WATDE0148	NA
WATDE0149	93
WATDE0150	NA
WATDE0151	NA
WATDE0152	NA
WATDE0153	NA
WATDE0154	NA
WATDE0156	113.5
