IID	GRDIA_Quzhou_2022_Natural
Agron	4.915
Alba	NA
Albatross	4.742
Alcedo	NA
Alert	NA
Almus	4.335
Altria	4.832
ArinaLrFor	NA
Arminda	4.71
Aronde	NA
Avalon	NA
Aztec	4.698
WATDE0003	4.01
WATDE0010	NA
WATDE0339	4.59
WATDE0459	4.71
WATDE0476	4.62
WATDE0526	4.69
WATDE0532	4.52
WATDE0576	4.15
WATDE0612	4.32
WATDE0061	4.74
WATDE0668	4.66
WATDE0714	4.38
WATDE0762	4.84
WATDE0801	4.73
WATDE0868	4.47
WATDE0100	4.20
WATDE1030	4.39
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	4.872
Capo	4.615
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	5.028
Charger	4.488
Chinese_Spring	NA
Cimcog26	4.576
Cimcog3	NA
Cimcog47	4.943
Cimcog56	5.149
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	4.82
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	4.234
Equinox	4.581
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	4.5
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	4.552
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	4.684
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	4.427
Iena	4.696
Ikarus	4.405
Jagger	NA
Joss_Cambier	4.861
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	4.576
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	4.782
Mahndorfer	NA
Marco	NA
Maris_Dove	4.275
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	5.126
Muck	NA
Multiweiss	NA
Nautica	4.593
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	4.718
Opata	4.687
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	4.671
Pepital	NA
Peragis	4.881
Perlo	NA
Pfau	4.843
Pomerelle	4.599
Pony	4.81
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	4.497
Recital	4.466
Record	NA
Red_Fife	NA
Reedling	4.968
Regent	4.537
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	4.606
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	4.974
Shamrock	4.187
Shango	NA
Sicco	4.227
Slejpner	NA
Soissons	4.695
Soleil	4.694
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	4.875
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	4.563
Tanker	NA
Taras	4.658
Thatcher	NA
Thor	NA
Titus	4.882
Top	NA
Torfrida	4.761
Trafalgar	NA
Treasure	4.732
Tremie	NA
Triumph_NDL	NA
Tschermaks	4.671
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	4.54
WATDE0002	4.61
WATDE0004	4.35
WATDE0005	NA
WATDE0006	4.69
WATDE0007	NA
WATDE0008	4.58
WATDE0009	4.70
WATDE0011	4.03
WATDE0012	4.44
WATDE0013	4.89
WATDE0014	4.69
WATDE0015	4.47
WATDE0016	4.25
WATDE0017	4.75
WATDE0018	4.70
WATDE0019	4.71
WATDE0020	4.03
WATDE0021	4.82
WATDE0022	4.46
WATDE0023	4.37
WATDE0024	4.77
WATDE0025	4.59
WATDE0026	4.68
WATDE0027	4.62
WATDE0028	4.32
WATDE0029	NA
WATDE0030	NA
WATDE0031	4.37
WATDE0032	4.24
WATDE0033	4.11
WATDE0034	4.67
WATDE0035	NA
WATDE0036	4.71
WATDE0037	4.67
WATDE0038	NA
WATDE0040	NA
WATDE0041	4.48
WATDE0042	4.38
WATDE0043	4.74
WATDE0044	4.74
WATDE0045	3.89
WATDE0046	4.38
WATDE0047	3.93
WATDE0048	4.45
WATDE0049	4.70
WATDE0050	4.63
WATDE0051	4.13
WATDE0052	5.16
WATDE0053	4.76
WATDE0054	4.59
WATDE0055	4.85
WATDE0056	4.49
WATDE0057	4.44
WATDE0058	4.04
WATDE0059	4.46
WATDE0060	4.47
WATDE0062	4.84
WATDE0063	4.75
WATDE0064	4.60
WATDE0065	4.46
WATDE0066	4.47
WATDE0067	4.38
WATDE0068	4.55
WATDE0069	4.82
WATDE0070	4.88
