IID	GY_Shenzhen-NN_2021_Natural_1plot
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	233.00
WATDE0010	NA
WATDE0339	NA
WATDE0459	164.50
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	104.50
WATDE0612	85.00
WATDE0061	198.00
WATDE0668	96.00
WATDE0714	197.50
WATDE0762	NA
WATDE0801	227.50
WATDE0868	NA
WATDE0100	256.00
WATDE1030	41.00
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	226.00
WATDE0002	252.00
WATDE0004	187.00
WATDE0005	153.00
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	81.00
WATDE0012	NA
WATDE0013	235.00
WATDE0014	NA
WATDE0015	NA
WATDE0016	105.00
WATDE0017	NA
WATDE0018	203.00
WATDE0019	NA
WATDE0020	48.00
WATDE0021	NA
WATDE0022	NA
WATDE0023	294.50
WATDE0024	NA
WATDE0025	182.00
WATDE0026	205.00
WATDE0027	119.00
WATDE0028	168.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	294.00
WATDE0032	139.50
WATDE0033	198.50
WATDE0034	125.00
WATDE0035	NA
WATDE0036	189.50
WATDE0037	214.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	NA
WATDE0042	150.50
WATDE0043	181.50
WATDE0044	NA
WATDE0045	NA
WATDE0046	NA
WATDE0047	63.50
WATDE0048	NA
WATDE0049	NA
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	204.00
WATDE0054	98.00
WATDE0055	94.00
WATDE0056	124.00
WATDE0057	294.00
WATDE0058	96.00
WATDE0059	NA
WATDE0060	69.50
WATDE0062	133.00
WATDE0063	111.50
WATDE0064	130.00
WATDE0065	NA
WATDE0066	111.50
WATDE0067	197.00
WATDE0068	156.00
WATDE0069	214.00
WATDE0070	NA
WATDE0071	267.00
WATDE0072	188.00
WATDE0073	NA
WATDE0074	NA
WATDE0075	132.50
WATDE0076	41.00
WATDE0077	194.50
WATDE0078	NA
WATDE0079	NA
WATDE0080	84.00
WATDE0081	NA
WATDE0082	NA
WATDE0083	313.00
WATDE0084	NA
WATDE0085	NA
WATDE0086	NA
WATDE0087	140.00
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	236.50
WATDE0092	192.00
WATDE0093	50.50
WATDE0094	59.50
WATDE0095	96.50
WATDE0096	84.50
WATDE0097	190.50
WATDE0098	106.50
WATDE0099	NA
WATDE0101	257.00
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	156.00
WATDE0106	NA
WATDE0107	76.00
WATDE0108	NA
WATDE0109	NA
WATDE0110	202.00
WATDE0111	201.00
WATDE0112	259.00
WATDE0113	171.00
WATDE0114	71.00
WATDE0115	242.00
WATDE0116	205.50
WATDE0117	NA
WATDE0118	222.50
WATDE0119	NA
WATDE0120	NA
WATDE0121	203.00
WATDE0122	94.00
WATDE0123	325.00
WATDE0124	560.00
WATDE0126	140.50
WATDE0127	127.00
WATDE0129	168.50
WATDE0131	156.50
WATDE0133	88.00
WATDE0134	NA
WATDE0136	NA
WATDE0138	NA
