IID	GrnSpk_Kaifeng-GH_2020_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	36.00
WATDE0010	NA
WATDE0339	NA
WATDE0459	37.11
WATDE0476	24.33
WATDE0526	5.00
WATDE0532	NA
WATDE0576	64.00
WATDE0612	28.00
WATDE0061	36.00
WATDE0668	18.00
WATDE0714	52.89
WATDE0762	18.00
WATDE0801	18.00
WATDE0868	29.50
WATDE0100	24.00
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	19.00
WATDE0002	33.00
WATDE0004	40.17
WATDE0005	38.00
WATDE0006	40.67
WATDE0007	NA
WATDE0008	NA
WATDE0009	5.00
WATDE0011	26.00
WATDE0012	42.80
WATDE0013	1.00
WATDE0014	14.80
WATDE0015	47.00
WATDE0016	27.22
WATDE0017	4.00
WATDE0018	25.00
WATDE0019	NA
WATDE0020	6.00
WATDE0021	NA
WATDE0022	NA
WATDE0023	36.00
WATDE0024	NA
WATDE0025	22.00
WATDE0026	32.00
WATDE0027	25.11
WATDE0028	37.11
WATDE0029	NA
WATDE0030	NA
WATDE0031	NA
WATDE0032	18.00
WATDE0033	37.11
WATDE0034	31.00
WATDE0035	NA
WATDE0036	34.00
WATDE0037	10.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	43.00
WATDE0042	27.00
WATDE0043	46.50
WATDE0044	42.67
WATDE0045	NA
WATDE0046	NA
WATDE0047	24.00
WATDE0048	NA
WATDE0049	23.50
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	28.00
WATDE0054	15.00
WATDE0055	15.50
WATDE0056	31.00
WATDE0057	29.67
WATDE0058	46.67
WATDE0059	53.67
WATDE0060	10.00
WATDE0062	21.00
WATDE0063	27.38
WATDE0064	34.67
WATDE0065	40.00
WATDE0066	17.00
WATDE0067	13.00
WATDE0068	22.00
WATDE0069	24.00
WATDE0070	NA
WATDE0071	27.00
WATDE0072	25.00
WATDE0073	NA
WATDE0074	40.44
WATDE0075	53.00
WATDE0076	NA
WATDE0077	36.56
WATDE0078	31.33
WATDE0079	36.33
WATDE0080	28.89
WATDE0081	NA
WATDE0082	NA
WATDE0083	11.00
WATDE0084	41.67
WATDE0085	49.20
WATDE0086	NA
WATDE0087	2.00
WATDE0088	NA
WATDE0089	NA
WATDE0090	5.00
WATDE0091	20.00
WATDE0092	24.00
WATDE0093	44.00
WATDE0094	NA
WATDE0095	57.40
WATDE0096	NA
WATDE0097	28.00
WATDE0098	28.56
WATDE0099	11.00
WATDE0101	37.00
WATDE0102	NA
WATDE0103	20.67
WATDE0104	27.00
WATDE0105	55.67
WATDE0106	27.50
WATDE0107	42.00
WATDE0108	NA
WATDE0109	21.33
WATDE0110	42.44
WATDE0111	43.50
WATDE0112	13.57
WATDE0113	47.40
WATDE0114	34.33
WATDE0115	31.22
WATDE0116	29.00
WATDE0117	30.00
WATDE0118	70.33
WATDE0119	41.00
WATDE0120	7.00
WATDE0121	33.00
WATDE0122	14.00
WATDE0123	NA
WATDE0124	51.00
WATDE0126	9.00
WATDE0127	18.00
WATDE0129	20.00
WATDE0131	10.00
WATDE0133	12.00
