IID	Hd_Shenzhen_2022_Natural_50percent
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	122
WATDE0010	NA
WATDE0339	155
WATDE0459	126
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	143
WATDE0612	128
WATDE0061	79
WATDE0668	129
WATDE0714	118
WATDE0762	117
WATDE0801	126
WATDE0868	132
WATDE0100	NA
WATDE1030	169
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	119
WATDE0002	86
WATDE0004	129
WATDE0005	60
WATDE0006	NA
WATDE0007	NA
WATDE0008	153
WATDE0009	152
WATDE0011	132
WATDE0012	160
WATDE0013	125
WATDE0014	NA
WATDE0015	92
WATDE0016	133
WATDE0017	142
WATDE0018	123
WATDE0019	NA
WATDE0020	132
WATDE0021	157
WATDE0022	167
WATDE0023	77
WATDE0024	NA
WATDE0025	117
WATDE0026	126
WATDE0027	144
WATDE0028	130
WATDE0029	NA
WATDE0030	NA
WATDE0031	152
WATDE0032	134
WATDE0033	127
WATDE0034	129
WATDE0035	NA
WATDE0036	108
WATDE0037	124
WATDE0038	NA
WATDE0040	NA
WATDE0041	94
WATDE0042	NA
WATDE0043	151
WATDE0044	NA
WATDE0045	158
WATDE0046	172
WATDE0047	143
WATDE0048	150
WATDE0049	NA
WATDE0050	NA
WATDE0051	155
WATDE0052	NA
WATDE0053	113
WATDE0054	112
WATDE0055	140
WATDE0056	128
WATDE0057	107
WATDE0058	133
WATDE0059	171
WATDE0060	128
WATDE0062	128
WATDE0063	117
WATDE0064	142
WATDE0065	149
WATDE0066	127
WATDE0067	89
WATDE0068	128
WATDE0069	157
WATDE0070	147
WATDE0071	115
WATDE0072	119
WATDE0073	158
WATDE0074	121
WATDE0075	130
WATDE0076	175
WATDE0077	108
WATDE0078	160
WATDE0079	169
WATDE0080	132
WATDE0081	NA
WATDE0082	168
WATDE0083	125
WATDE0084	NA
WATDE0085	166
WATDE0086	NA
WATDE0087	127
WATDE0088	162
WATDE0089	NA
WATDE0090	120
WATDE0091	108
WATDE0092	123
WATDE0093	125
WATDE0094	139
WATDE0095	129
WATDE0096	141
WATDE0097	120
WATDE0098	125
WATDE0099	134
WATDE0101	80
WATDE0102	164
WATDE0103	NA
WATDE0104	NA
WATDE0105	131
WATDE0106	164
WATDE0107	131
WATDE0108	NA
WATDE0109	NA
WATDE0110	126
WATDE0111	129
WATDE0112	81
WATDE0113	131
WATDE0114	149
WATDE0115	82
WATDE0116	117
WATDE0117	122
WATDE0118	125
WATDE0119	171
WATDE0120	114
WATDE0121	118
WATDE0122	130
WATDE0123	86
WATDE0124	84
WATDE0126	120
WATDE0127	139
WATDE0129	95
WATDE0131	120
WATDE0133	121
WATDE0134	135
WATDE0136	132
WATDE0138	NA
WATDE0140	154
WATDE0141	162
WATDE0143	NA
WATDE0144	133
WATDE0145	133
WATDE0146	132
WATDE0148	115
WATDE0149	78
WATDE0150	86
WATDE0151	120
WATDE0152	130
WATDE0153	102
WATDE0154	89
WATDE0156	115
WATDE0157	123
WATDE0158	106
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	168
WATDE0165	168
