IID	SplN_Quzhou_2022_Natural_Sterility-All
Agron	NA
Alba	1.67
Albatross	1.00
Alcedo	1.33
Alert	0.00
Almus	NA
Altria	1.00
ArinaLrFor	NA
Arminda	1.00
Aronde	0.33
Avalon	1.33
Aztec	1.33
WATDE0003	1.33
WATDE0010	NA
WATDE0339	2.33
WATDE0459	2.67
WATDE0476	NA
WATDE0526	NA
WATDE0532	2.67
WATDE0576	5.33
WATDE0612	2.33
WATDE0061	3.00
WATDE0668	NA
WATDE0714	2.00
WATDE0762	3.00
WATDE0801	3.00
WATDE0868	4.00
WATDE0100	3.00
WATDE1030	3.33
Banco	0.00
Bandit	0.67
Banner	NA
Beauchamp	NA
Beaver	0.33
Becard_Kachu	NA
Bersee	1.33
Boreonos	NA
Bounty	1.67
Boxer	0.67
Buster	0.00
Calif	NA
Camp_Remy	0.67
Capitiane	2.33
Capo	NA
Cappelle_Desprez	2.67
Catamaran	1.00
Cezanne	0.67
Charger	2.00
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	0.33
Courtot	1.67
Crest	0.00
Crusoe	1.00
Diablo	0.00
Diplomat	1.67
Disponent	0.67
Dorby	1.00
Drake	1.00
Drauhofener_Kolben	1.67
Druid	1.67
Encore	0.33
Equinox	1.33
Erla-Kolben	1.00
Erland	NA
Eros	0.00
Expert	NA
Extrem	NA
Fanal	0.33
Felix	3.00
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	0.00
Florida	2.33
Gabo	0.67
Galahad	1.67
Garcia	NA
Gawain	1.67
Glasgow	0.67
Grafton	NA
Granada	1.67
Haven	2.00
Heine7	1.00
Hereward	3.33
Highbury	1.67
Hobbit	0.33
Holdfast	0.67
Hybrid46	2.33
Ibis	NA
Iena	NA
Ikarus	1.00
Jagger	NA
Joss_Cambier	3.33
Julius	NA
KWS_Santiago	1.33
Karat	NA
Koga1	NA
Kontrast	1.33
Kosack	2.00
Kranich	0.67
Lancelot	2.33
Leda	2.33
Legend	0.33
Longbow	0.67
Lutin	2.33
MISR1	NA
Mahndorfer	3.00
Marco	0.33
Maris_Dove	2.67
Maris_Widgeon	0.00
MarisHuntsman	3.00
Maris_ranger	3.33
Minister	2.33
Mironovska	2.00
Moisson	NA
Muck	NA
Multiweiss	2.33
Nautica	1.67
Newhaven	0.00
Norda	1.67
Norin	NA
Obelisk	1.00
Odeon	1.00
Odin	1.67
Oenus	1.33
Opata	1.67
Orlando	1.67
Palur	0.67
Pamyat	1.67
