IID	TN_Kaifeng-GH_2020_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	7.00
WATDE0010	NA
WATDE0339	NA
WATDE0459	26.00
WATDE0476	13.33
WATDE0526	2.00
WATDE0532	NA
WATDE0576	21.00
WATDE0612	10.00
WATDE0061	6.00
WATDE0668	9.00
WATDE0714	18.67
WATDE0762	9.00
WATDE0801	7.00
WATDE0868	11.00
WATDE0100	9.00
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	33.00
WATDE0002	7.00
WATDE0004	28.00
WATDE0005	9.00
WATDE0006	7.00
WATDE0007	NA
WATDE0008	NA
WATDE0009	4.00
WATDE0011	7.00
WATDE0012	15.00
WATDE0013	7.00
WATDE0014	5.80
WATDE0015	5.00
WATDE0016	28.67
WATDE0017	5.00
WATDE0018	6.00
WATDE0019	NA
WATDE0020	4.00
WATDE0021	NA
WATDE0022	NA
WATDE0023	7.00
WATDE0024	NA
WATDE0025	13.00
WATDE0026	15.50
WATDE0027	28.00
WATDE0028	23.33
WATDE0029	NA
WATDE0030	NA
WATDE0031	NA
WATDE0032	14.00
WATDE0033	30.00
WATDE0034	9.00
WATDE0035	NA
WATDE0036	6.00
WATDE0037	9.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	8.00
WATDE0042	8.00
WATDE0043	8.25
WATDE0044	9.00
WATDE0045	NA
WATDE0046	NA
WATDE0047	13.00
WATDE0048	NA
WATDE0049	19.50
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	8.00
WATDE0054	16.50
WATDE0055	6.75
WATDE0056	13.00
WATDE0057	20.67
WATDE0058	25.00
WATDE0059	10.00
WATDE0060	5.00
WATDE0062	8.00
WATDE0063	15.33
WATDE0064	28.67
WATDE0065	9.50
WATDE0066	19.00
WATDE0067	9.00
WATDE0068	7.00
WATDE0069	15.00
WATDE0070	NA
WATDE0071	9.00
WATDE0072	6.00
WATDE0073	NA
WATDE0074	29.67
WATDE0075	9.00
WATDE0076	NA
WATDE0077	13.33
WATDE0078	19.33
WATDE0079	8.00
WATDE0080	21.00
WATDE0081	NA
WATDE0082	NA
WATDE0083	6.00
WATDE0084	12.00
WATDE0085	12.67
WATDE0086	NA
WATDE0087	14.00
WATDE0088	NA
WATDE0089	NA
WATDE0090	3.00
WATDE0091	7.00
WATDE0092	6.00
WATDE0093	15.00
WATDE0094	NA
WATDE0095	22.00
WATDE0096	NA
WATDE0097	9.00
WATDE0098	39.67
WATDE0099	9.00
WATDE0101	6.00
WATDE0102	NA
WATDE0103	18.67
WATDE0104	7.00
WATDE0105	17.33
WATDE0106	10.00
WATDE0107	26.33
WATDE0108	NA
WATDE0109	9.33
WATDE0110	36.33
WATDE0111	14.00
WATDE0112	18.00
WATDE0113	20.67
WATDE0114	16.00
WATDE0115	36.00
WATDE0116	5.00
WATDE0117	6.00
WATDE0118	17.33
WATDE0119	15.33
WATDE0120	15.00
WATDE0121	12.00
WATDE0122	11.00
WATDE0123	NA
WATDE0124	8.00
WATDE0126	6.00
WATDE0127	9.00
WATDE0129	11.00
WATDE0131	5.00
WATDE0133	8.00
WATDE0134	NA
