IID	TN_Shenzhen_20220412_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	NA
WATDE0459	138
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	67
WATDE0612	138
WATDE0061	NA
WATDE0668	NA
WATDE0714	NA
WATDE0762	NA
WATDE0801	NA
WATDE0868	86
WATDE0100	214
WATDE1030	206.5
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	NA
WATDE0002	NA
WATDE0004	NA
WATDE0005	NA
WATDE0006	159
WATDE0007	NA
WATDE0008	NA
WATDE0009	156
WATDE0011	NA
WATDE0012	146
WATDE0013	NA
WATDE0014	NA
WATDE0015	NA
WATDE0016	NA
WATDE0017	NA
WATDE0018	NA
WATDE0019	NA
WATDE0020	44.5
WATDE0021	68
WATDE0022	NA
WATDE0023	NA
WATDE0024	NA
WATDE0025	NA
WATDE0026	NA
WATDE0027	NA
WATDE0028	NA
WATDE0029	NA
WATDE0030	NA
WATDE0031	133.5
WATDE0032	NA
WATDE0033	107
WATDE0034	118
WATDE0035	NA
WATDE0036	NA
WATDE0037	NA
WATDE0038	NA
WATDE0040	NA
WATDE0041	NA
WATDE0042	107
WATDE0043	154
WATDE0044	NA
WATDE0045	83
WATDE0046	211.5
WATDE0047	113.5
WATDE0048	NA
WATDE0049	88.5
WATDE0050	NA
WATDE0051	113.5
WATDE0052	NA
WATDE0053	NA
WATDE0054	63.5
WATDE0055	NA
WATDE0056	NA
WATDE0057	NA
WATDE0058	NA
WATDE0059	NA
WATDE0060	NA
WATDE0062	177
WATDE0063	NA
WATDE0064	167
WATDE0065	98.5
WATDE0066	NA
WATDE0067	NA
WATDE0068	NA
WATDE0069	168.5
WATDE0070	140
WATDE0071	NA
WATDE0072	NA
WATDE0073	172.5
WATDE0074	69
WATDE0075	130
WATDE0076	119.5
WATDE0077	NA
WATDE0078	126.5
WATDE0079	146
WATDE0080	98
WATDE0081	NA
WATDE0082	138
WATDE0083	NA
WATDE0084	145
WATDE0085	155.5
WATDE0086	NA
WATDE0087	NA
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	NA
WATDE0092	NA
WATDE0093	52
WATDE0094	126
WATDE0095	119.5
WATDE0096	71
WATDE0097	40
WATDE0098	NA
WATDE0099	NA
WATDE0101	NA
WATDE0102	100
WATDE0103	NA
WATDE0104	NA
WATDE0105	155
WATDE0106	NA
WATDE0107	NA
WATDE0108	NA
WATDE0109	145
WATDE0110	NA
WATDE0111	NA
WATDE0112	NA
WATDE0113	NA
WATDE0114	80
WATDE0115	NA
WATDE0116	NA
WATDE0117	54.5
WATDE0118	121
WATDE0119	155
WATDE0120	NA
WATDE0121	NA
WATDE0122	163
WATDE0123	NA
WATDE0124	NA
WATDE0126	NA
WATDE0127	NA
WATDE0129	NA
WATDE0131	NA
WATDE0133	NA
WATDE0134	NA
WATDE0136	NA
WATDE0138	NA
WATDE0140	111
WATDE0141	NA
WATDE0143	NA
WATDE0144	NA
WATDE0145	NA
WATDE0146	NA
WATDE0148	NA
WATDE0149	NA
WATDE0150	NA
WATDE0151	NA
WATDE0152	140
