IID	WAXY_Quzhou_2022_Natural
Agron	3
Alba	3
Albatross	2
Alcedo	2
Alert	NA
Almus	2
Altria	NA
ArinaLrFor	NA
Arminda	1
Aronde	2
Avalon	3
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	1.00
WATDE0459	NA
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	2.00
WATDE0612	NA
WATDE0061	NA
WATDE0668	NA
WATDE0714	1.00
WATDE0762	NA
WATDE0801	2.00
WATDE0868	2.00
WATDE0100	NA
WATDE1030	3.00
Banco	3
Bandit	NA
Banner	3
Beauchamp	NA
Beaver	3
Becard_Kachu	NA
Bersee	2
Boreonos	3
Bounty	3
Boxer	3
Buster	NA
Calif	3
Camp_Remy	2
Capitiane	2
Capo	1
Cappelle_Desprez	3
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	3
Crest	NA
Crusoe	0
Diablo	NA
Diplomat	2
Disponent	3
Dorby	NA
Drake	3
Drauhofener_Kolben	1
Druid	2
Encore	NA
Equinox	3
Erla-Kolben	3
Erland	3
Eros	2
Expert	1
Extrem	2
Fanal	3
Felix	2
Fiorello	NA
Flair	3
Flame	3
Flamingo	3
Florida	3
Gabo	NA
Galahad	3
Garcia	NA
Gawain	2
Glasgow	3
Grafton	NA
Granada	3
Haven	3
Heine7	3
Hereward	NA
Highbury	1
Hobbit	2
Holdfast	2
Hybrid46	3
Ibis	3
Iena	1
Ikarus	3
Jagger	NA
Joss_Cambier	3
Julius	NA
KWS_Santiago	3
Karat	3
Koga1	NA
Kontrast	3
Kosack	3
Kranich	3
Lancelot	NA
Leda	3
Legend	NA
Longbow	3
Lutin	3
MISR1	NA
Mahndorfer	3
Marco	2
Maris_Dove	0
Maris_Widgeon	3
MarisHuntsman	2
Maris_ranger	3
Minister	3
Mironovska	3
Moisson	3
Muck	3
Multiweiss	3
Nautica	3
Newhaven	NA
Norda	3
Norin	NA
Obelisk	2
Odeon	3
Odin	3
Oenus	3
Opata	NA
Orlando	0
Palur	3
Pamyat	2
Pastiche	1
Pavon76	NA
Pepital	3
Peragis	3
