       count    mean_size       size    percent
DHH    18372   493.080013    9058866   1.524800
DTA     2138   348.612254     745333   0.125455
DTC    61483  1081.920775   66519735  11.196685
DTH     9646   451.622538    4356351   0.733266
DTM     9774   405.497340    3963331   0.667113
DTT    19993   286.002601    5718050   0.962469
DTX      465   269.580645     125355   0.021100
DXX      271   244.350554      66219   0.011146
NULL     118   185.228814      21857   0.003679
RIJ       32   104.593750       3347   0.000563
RIL       16   198.750000       3180   0.000535
RIR        6   316.333333       1898   0.000319
RIX     4289   818.033108    3508544   0.590563
RLC    36167  3086.558493  111631561  18.789964
RLG   113314  2701.385248  306104768  51.523937
RLX    16143  1529.984142   24698534   4.157288
RSX     1780   339.428652     604183   0.101697
XXX    26044   385.615842   10042979   1.690447
