         count    mean_size       size    percent
DHH      15095   480.241736    7249249   1.463155
DTA       1781   347.124088     618228   0.124780
DTC      76868  1097.551855   84366616  17.028171
DTH      11069   405.193694    4485089   0.905250
DTM      10664   411.552326    4388794   0.885814
DTT      22220   261.068362    5800939   1.170835
DTX        271   244.605166      66288   0.013379
DXX        308   253.133117      77965   0.015736
NULL        26   216.615385       5632   0.001137
RIJ         15   114.600000       1719   0.000347
RIL         12   197.333333       2368   0.000478
RIR          4   172.000000        688   0.000139
RIX       3761   816.237171    3069868   0.619608
RLC      32573  2694.333865   87762537  17.713588
RLG      85292  2413.154223  205822750  41.542320
RLX      20164  1473.530054   29712260   5.996986
RSX       2123   336.829958     715090   0.144330
TIR/Tc1     10   184.900000       1849   0.000373
XXX      34389   429.279217   14762483   2.979592
