IID	BM_Quzhou_2022_Natural_Spike-Mature
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	12.1
WATDE0010	NA
WATDE0339	NA
WATDE0459	5.46
WATDE0476	10.32
WATDE0526	NA
WATDE0532	9.7
WATDE0576	7.1
WATDE0612	7.28
WATDE0061	6.69
WATDE0668	5.9
WATDE0714	9.85
WATDE0762	4.7
WATDE0801	9.03
WATDE0868	5.58
WATDE0100	7.69
WATDE1030	5.23
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	8.56
WATDE0002	5.53
WATDE0004	7.71
WATDE0005	7.27
WATDE0006	7.72
WATDE0007	NA
WATDE0008	6.24
WATDE0009	4.81
WATDE0011	9.44
WATDE0012	11.54
WATDE0013	9.58
WATDE0014	NA
WATDE0015	12.14
WATDE0016	5.41
WATDE0017	NA
WATDE0018	10.07
WATDE0019	NA
WATDE0020	14.15
WATDE0021	8.94
WATDE0022	NA
WATDE0023	8.21
WATDE0024	NA
WATDE0025	4.59
WATDE0026	4.94
WATDE0027	6.55
WATDE0028	5.6
WATDE0029	NA
WATDE0030	NA
WATDE0031	11.47
WATDE0032	9.5
WATDE0033	6.47
WATDE0034	7.97
WATDE0035	NA
WATDE0036	7.02
WATDE0037	13.23
WATDE0038	NA
WATDE0040	NA
WATDE0041	7.22
WATDE0042	9.59
WATDE0043	7.05
WATDE0044	NA
WATDE0045	11.21
WATDE0046	6.2
WATDE0047	8.75
WATDE0048	NA
WATDE0049	8.95
WATDE0050	NA
WATDE0051	9.9
WATDE0052	NA
WATDE0053	6.01
WATDE0054	7.95
WATDE0055	8.73
WATDE0056	6.1
WATDE0057	9.66
WATDE0058	9.41
WATDE0059	NA
WATDE0060	8.06
WATDE0062	12.92
WATDE0063	6.28
WATDE0064	9.19
WATDE0065	9.77
WATDE0066	4.01
WATDE0067	8.45
WATDE0068	10.64
WATDE0069	9.28
WATDE0070	7.83
WATDE0071	6.13
WATDE0072	10.39
WATDE0073	7.51
WATDE0074	11.66
WATDE0075	12.02
WATDE0076	8.93
WATDE0077	4.22
WATDE0078	6.54
WATDE0079	5.96
WATDE0080	7.47
WATDE0081	NA
WATDE0082	11.39
WATDE0083	5.94
WATDE0084	7.79
WATDE0085	7.22
WATDE0086	0
WATDE0087	8.68
WATDE0088	9.11
WATDE0089	NA
WATDE0090	9.05
WATDE0091	10.48
WATDE0092	4.61
WATDE0093	9.94
WATDE0094	8.5
WATDE0095	11.6
WATDE0096	7.52
WATDE0097	11.2
WATDE0098	12.01
WATDE0099	6.41
WATDE0101	8.41
WATDE0102	9.48
WATDE0103	6.89
WATDE0104	NA
WATDE0105	8.7
WATDE0106	9.21
WATDE0107	11.17
WATDE0108	10.42
WATDE0109	8.9
WATDE0110	7.03
WATDE0111	8.45
WATDE0112	13.6
WATDE0113	8.58
WATDE0114	9.93
WATDE0115	7.7
WATDE0116	8.16
WATDE0117	6.06
WATDE0118	6.6
WATDE0119	5.9
WATDE0120	NA
WATDE0121	6.44
WATDE0122	4.91
WATDE0123	6.26
WATDE0124	12.24
WATDE0126	6.59
WATDE0127	6.09
WATDE0129	6.61
WATDE0131	4.55
