IID	CC_Shenzhen_2022_Natural_220107
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	21.70
WATDE0010	NA
WATDE0339	NA
WATDE0459	30.50
WATDE0476	35.20
WATDE0526	NA
WATDE0532	44.30
WATDE0576	35.20
WATDE0612	29.30
WATDE0061	31.20
WATDE0668	35.80
WATDE0714	32.40
WATDE0762	32.90
WATDE0801	39.80
WATDE0868	NA
WATDE0100	33.20
WATDE1030	29.50
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	32.80
WATDE0002	34.80
WATDE0004	33.50
WATDE0005	36.50
WATDE0006	27.90
WATDE0007	NA
WATDE0008	35.90
WATDE0009	33.60
WATDE0011	41.10
WATDE0012	23.80
WATDE0013	30.60
WATDE0014	NA
WATDE0015	31.00
WATDE0016	30.40
WATDE0017	NA
WATDE0018	26.30
WATDE0019	NA
WATDE0020	32.20
WATDE0021	42.50
WATDE0022	NA
WATDE0023	32.90
WATDE0024	NA
WATDE0025	38.80
WATDE0026	30.70
WATDE0027	30.20
WATDE0028	33.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	29.40
WATDE0032	37.80
WATDE0033	32.60
WATDE0034	36.10
WATDE0035	NA
WATDE0036	32.80
WATDE0037	29.80
WATDE0038	NA
WATDE0040	NA
WATDE0041	40.20
WATDE0042	35.80
WATDE0043	27.50
WATDE0044	NA
WATDE0045	33.50
WATDE0046	40.10
WATDE0047	34.00
WATDE0048	NA
WATDE0049	36.70
WATDE0050	NA
WATDE0051	33.90
WATDE0052	NA
WATDE0053	36.50
WATDE0054	33.90
WATDE0055	30.90
WATDE0056	28.40
WATDE0057	31.90
WATDE0058	33.20
WATDE0059	NA
WATDE0060	42.10
WATDE0062	26.30
WATDE0063	32.60
WATDE0064	24.10
WATDE0065	37.30
WATDE0066	39.60
WATDE0067	39.40
WATDE0068	42.80
WATDE0069	23.40
WATDE0070	29.80
WATDE0071	31.90
WATDE0072	35.80
WATDE0073	32.40
WATDE0074	35.60
WATDE0075	43.70
WATDE0076	30.10
WATDE0077	42.70
WATDE0078	40.60
WATDE0079	31.80
WATDE0080	29.70
WATDE0081	NA
WATDE0082	35.30
WATDE0083	41.70
WATDE0084	37.10
WATDE0085	38.40
WATDE0086	44.90
WATDE0087	44.30
WATDE0088	40.80
WATDE0089	NA
WATDE0090	31.20
WATDE0091	33.30
WATDE0092	30.80
WATDE0093	32.80
WATDE0094	38.20
WATDE0095	33.50
WATDE0096	28.10
WATDE0097	32.80
WATDE0098	34.90
WATDE0099	37.80
WATDE0101	36.20
WATDE0102	33.60
WATDE0103	31.10
WATDE0104	NA
WATDE0105	29.40
WATDE0106	36.20
WATDE0107	36.00
WATDE0108	35.80
WATDE0109	40.50
WATDE0110	40.80
WATDE0111	44.10
WATDE0112	35.60
WATDE0113	35.40
WATDE0114	32.20
WATDE0115	33.40
WATDE0116	27.30
WATDE0117	30.20
WATDE0118	35.80
WATDE0119	47.70
WATDE0120	NA
WATDE0121	30.30
WATDE0122	37.20
WATDE0123	37.80
WATDE0124	37.20
WATDE0126	33.00
WATDE0127	32.30
WATDE0129	28.90
WATDE0131	34.40
WATDE0133	40.20
