IID	FT_Kaifeng-GH_2020_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	134.00
WATDE0010	NA
WATDE0339	NA
WATDE0459	74.00
WATDE0476	138.00
WATDE0526	166.00
WATDE0532	NA
WATDE0576	77.33
WATDE0612	146.00
WATDE0061	118.00
WATDE0668	136.00
WATDE0714	83.33
WATDE0762	141.00
WATDE0801	129.00
WATDE0868	143.67
WATDE0100	125.00
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	71.33
WATDE0002	125.00
WATDE0004	84.00
WATDE0005	115.00
WATDE0006	126.67
WATDE0007	NA
WATDE0008	NA
WATDE0009	157.00
WATDE0011	121.00
WATDE0012	119.20
WATDE0013	142.00
WATDE0014	134.20
WATDE0015	119.00
WATDE0016	87.67
WATDE0017	143.00
WATDE0018	132.00
WATDE0019	149.00
WATDE0020	143.00
WATDE0021	NA
WATDE0022	NA
WATDE0023	121.00
WATDE0024	NA
WATDE0025	132.00
WATDE0026	73.50
WATDE0027	80.33
WATDE0028	71.67
WATDE0029	NA
WATDE0030	NA
WATDE0031	167.00
WATDE0032	142.00
WATDE0033	74.00
WATDE0034	136.00
WATDE0035	NA
WATDE0036	128.00
WATDE0037	136.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	119.00
WATDE0042	155.00
WATDE0043	118.25
WATDE0044	130.50
WATDE0045	NA
WATDE0046	NA
WATDE0047	144.00
WATDE0048	NA
WATDE0049	132.67
WATDE0050	NA
WATDE0051	NA
WATDE0052	172.00
WATDE0053	125.00
WATDE0054	142.50
WATDE0055	138.00
WATDE0056	128.00
WATDE0057	70.33
WATDE0058	81.00
WATDE0059	120.67
WATDE0060	144.00
WATDE0062	135.00
WATDE0063	61.00
WATDE0064	73.33
WATDE0065	130.50
WATDE0066	128.00
WATDE0067	134.00
WATDE0068	143.00
WATDE0069	136.00
WATDE0070	167.00
WATDE0071	129.00
WATDE0072	129.00
WATDE0073	169.00
WATDE0074	72.50
WATDE0075	139.00
WATDE0076	159.00
WATDE0077	74.33
WATDE0078	132.67
WATDE0079	131.00
WATDE0080	83.00
WATDE0081	NA
WATDE0082	NA
WATDE0083	130.00
WATDE0084	125.00
WATDE0085	122.00
WATDE0086	NA
WATDE0087	139.00
WATDE0088	NA
WATDE0089	NA
WATDE0090	168.00
WATDE0091	136.00
WATDE0092	134.00
WATDE0093	139.67
WATDE0094	167.00
WATDE0095	99.33
WATDE0096	160.50
WATDE0097	157.00
WATDE0098	88.00
WATDE0099	128.00
WATDE0101	137.00
WATDE0102	NA
WATDE0103	136.00
WATDE0104	125.00
WATDE0105	103.00
WATDE0106	142.00
WATDE0107	67.33
WATDE0108	174.00
WATDE0109	139.50
WATDE0110	65.50
WATDE0111	70.00
WATDE0112	85.33
WATDE0113	106.00
WATDE0114	135.00
WATDE0115	75.33
WATDE0116	130.00
WATDE0117	158.00
WATDE0118	126.33
WATDE0119	115.33
WATDE0120	134.00
WATDE0121	121.00
WATDE0122	141.00
WATDE0123	125.00
WATDE0124	128.00
WATDE0126	139.00
WATDE0127	143.00
WATDE0129	129.00
WATDE0131	125.00
WATDE0133	134.00
