IID	GW_Quzhou_2022_Natural_1000Xu
Agron	49.38
Alba	NA
Albatross	37.73
Alcedo	NA
Alert	NA
Almus	33.26
Altria	45.90
ArinaLrFor	NA
Arminda	45.40
Aronde	NA
Avalon	NA
Aztec	38.95
WATDE0003	37.29
WATDE0010	NA
WATDE0339	40.89
WATDE0459	46.89
WATDE0476	44.81
WATDE0526	42.05
WATDE0532	39.95
WATDE0576	31.05
WATDE0612	37.61
WATDE0061	48.25
WATDE0668	41.58
WATDE0714	37.39
WATDE0762	45.15
WATDE0801	46.83
WATDE0868	38.30
WATDE0100	32.68
WATDE1030	37.38
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	49.44
Capo	40.83
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	49.05
Charger	36.61
Chinese_Spring	NA
Cimcog26	41.41
Cimcog3	NA
Cimcog47	50.61
Cimcog56	57.27
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	41.66
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	29.45
Equinox	35.09
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	38.42
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	39.79
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	40.06
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	35.59
Iena	44.75
Ikarus	32.44
Jagger	NA
Joss_Cambier	43.79
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	36.47
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	46.55
Mahndorfer	NA
Marco	NA
Maris_Dove	34.95
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	48.43
Muck	NA
Multiweiss	NA
Nautica	41.44
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	41.01
Opata	40.74
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	45.98
Pepital	NA
Peragis	29.71
Perlo	NA
Pfau	52.43
Pomerelle	39.23
Pony	44.41
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	34.29
Recital	39.25
Record	NA
Red_Fife	NA
Reedling	51.73
Regent	38.57
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	35.53
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	45.84
Shamrock	32.24
Shango	NA
Sicco	43.36
Slejpner	NA
Soissons	43.04
Soleil	40.17
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	50.20
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	37.16
Tanker	NA
Taras	40.77
Thatcher	NA
Thor	NA
Titus	43.48
Top	NA
Torfrida	36.71
Trafalgar	NA
Treasure	14.37
Tremie	NA
Triumph_NDL	NA
Tschermaks	41.32
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	40.61
WATDE0002	42.58
WATDE0004	35.64
WATDE0005	44.05
WATDE0006	40.07
WATDE0007	NA
WATDE0008	39.59
WATDE0009	37.71
WATDE0011	32.29
WATDE0012	35.37
WATDE0013	48.18
WATDE0014	40.61
WATDE0015	42.67
WATDE0016	34.16
WATDE0017	47.75
WATDE0018	48.67
WATDE0019	36.98
WATDE0020	29.99
WATDE0021	44.97
WATDE0022	34.66
WATDE0023	38.71
WATDE0024	44.13
WATDE0025	41.47
WATDE0026	44.61
WATDE0027	42.89
WATDE0028	36.59
WATDE0029	NA
WATDE0030	NA
WATDE0031	38.59
WATDE0032	43.99
WATDE0033	34.92
WATDE0034	44.73
WATDE0035	NA
WATDE0036	42.59
WATDE0037	42.03
WATDE0038	NA
