IID	GY_Quzhou_2022_Natural_1plot
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	115.00
WATDE0010	NA
WATDE0339	69.00
WATDE0459	148.00
WATDE0476	119.00
WATDE0526	4.00
WATDE0532	119.00
WATDE0576	75.00
WATDE0612	115.00
WATDE0061	90.00
WATDE0668	118.00
WATDE0714	105.00
WATDE0762	114.00
WATDE0801	121.00
WATDE0868	77.00
WATDE0100	88.00
WATDE1030	421.00
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	112.00
WATDE0002	118.00
WATDE0004	132.00
WATDE0005	137.00
WATDE0006	117.00
WATDE0007	NA
WATDE0008	111.00
WATDE0009	87.00
WATDE0011	114.00
WATDE0012	150.00
WATDE0013	125.00
WATDE0014	19.00
WATDE0015	119.00
WATDE0016	101.00
WATDE0017	65.00
WATDE0018	118.00
WATDE0019	NA
WATDE0020	105.00
WATDE0021	95.00
WATDE0022	53.00
WATDE0023	131.00
WATDE0024	30.00
WATDE0025	88.00
WATDE0026	99.00
WATDE0027	129.00
WATDE0028	94.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	133.00
WATDE0032	127.00
WATDE0033	0.50
WATDE0034	125.00
WATDE0035	NA
WATDE0036	90.00
WATDE0037	109.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	133.00
WATDE0042	104.00
WATDE0043	116.00
WATDE0044	NA
WATDE0045	83.00
WATDE0046	125.00
WATDE0047	64.00
WATDE0048	45.00
WATDE0049	117.00
WATDE0050	48.00
WATDE0051	99.00
WATDE0052	33.00
WATDE0053	121.00
WATDE0054	155.00
WATDE0055	150.00
WATDE0056	127.00
WATDE0057	0.82
WATDE0058	125.00
WATDE0059	129.00
WATDE0060	76.00
WATDE0062	109.00
WATDE0063	123.00
WATDE0064	96.00
WATDE0065	129.00
WATDE0066	115.00
WATDE0067	125.00
WATDE0068	140.00
WATDE0069	143.00
WATDE0070	153.00
WATDE0071	132.00
WATDE0072	112.00
WATDE0073	76.00
WATDE0074	1.02
WATDE0075	101.00
WATDE0076	127.00
WATDE0077	103.00
WATDE0078	129.00
WATDE0079	108.00
WATDE0080	138.00
WATDE0081	NA
WATDE0082	109.00
WATDE0083	139.00
WATDE0084	72.00
WATDE0085	143.00
WATDE0086	31.00
WATDE0087	139.00
WATDE0088	109.00
WATDE0089	26.00
WATDE0090	120.00
WATDE0091	116.00
WATDE0092	108.00
WATDE0093	93.00
WATDE0094	1.41
WATDE0095	0.93
WATDE0096	90.00
WATDE0097	0.86
WATDE0098	141.00
WATDE0099	108.00
WATDE0101	74.00
WATDE0102	97.00
WATDE0103	92.00
WATDE0104	35.00
WATDE0105	137.00
WATDE0106	91.00
WATDE0107	77.00
WATDE0108	97.00
WATDE0109	127.00
WATDE0110	92.00
WATDE0111	67.00
WATDE0112	1.48
WATDE0113	102.00
WATDE0114	86.00
WATDE0115	0.86
WATDE0116	143.00
WATDE0117	0.31
WATDE0118	0.92
WATDE0119	83.00
WATDE0120	86.00
WATDE0121	112.00
WATDE0122	122.00
WATDE0123	111.00
WATDE0124	119.00
WATDE0126	90.00
WATDE0127	108.00
WATDE0129	139.00
