IID	GrwHabit_Shenzhen-NN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	47.62
WATDE0010	NA
WATDE0339	NA
WATDE0459	54.20
WATDE0476	15.62
WATDE0526	NA
WATDE0532	NA
WATDE0576	41.45
WATDE0612	68.29
WATDE0061	37.98
WATDE0668	64.87
WATDE0714	84.15
WATDE0762	53.08
WATDE0801	28.25
WATDE0868	40.87
WATDE0100	74.96
WATDE1030	44.81
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	64.15
WATDE0002	67.17
WATDE0004	45.16
WATDE0005	64.60
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	30.28
WATDE0012	NA
WATDE0013	44.09
WATDE0014	NA
WATDE0015	59.68
WATDE0016	20.73
WATDE0017	NA
WATDE0018	60.60
WATDE0019	NA
WATDE0020	65.85
WATDE0021	NA
WATDE0022	NA
WATDE0023	65.49
WATDE0024	NA
WATDE0025	65.23
WATDE0026	61.10
WATDE0027	51.59
WATDE0028	48.23
WATDE0029	NA
WATDE0030	NA
WATDE0031	51.54
WATDE0032	60.90
WATDE0033	49.28
WATDE0034	32.32
WATDE0035	NA
WATDE0036	59.73
WATDE0037	64.04
WATDE0038	NA
WATDE0040	NA
WATDE0041	64.27
WATDE0042	31.81
WATDE0043	NA
WATDE0044	NA
WATDE0045	14.42
WATDE0046	NA
WATDE0047	47.24
WATDE0048	NA
WATDE0049	39.71
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	49.54
WATDE0054	61.56
WATDE0055	29.65
WATDE0056	44.65
WATDE0057	55.68
WATDE0058	56.99
WATDE0059	NA
WATDE0060	35.24
WATDE0062	60.31
WATDE0063	28.31
WATDE0064	52.85
WATDE0065	NA
WATDE0066	26.30
WATDE0067	34.90
WATDE0068	37.88
WATDE0069	66.61
WATDE0070	NA
WATDE0071	59.76
WATDE0072	62.65
WATDE0073	NA
WATDE0074	71.17
WATDE0075	43.38
WATDE0076	42.65
WATDE0077	46.95
WATDE0078	22.69
WATDE0079	NA
WATDE0080	38.88
WATDE0081	NA
WATDE0082	NA
WATDE0083	39.32
WATDE0084	NA
WATDE0085	NA
WATDE0086	NA
WATDE0087	22.50
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	62.29
WATDE0092	74.86
WATDE0093	54.73
WATDE0094	19.05
WATDE0095	40.00
WATDE0096	56.48
WATDE0097	48.20
WATDE0098	53.29
WATDE0099	49.61
WATDE0101	65.56
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	29.08
WATDE0106	49.30
WATDE0107	29.56
WATDE0108	NA
WATDE0109	NA
WATDE0110	21.94
WATDE0111	26.34
WATDE0112	71.50
WATDE0113	16.38
WATDE0114	12.21
WATDE0115	48.89
WATDE0116	61.54
WATDE0117	NA
WATDE0118	52.31
WATDE0119	NA
WATDE0120	NA
WATDE0121	64.36
WATDE0122	44.56
WATDE0123	66.94
WATDE0124	67.34
WATDE0126	51.20
WATDE0127	59.44
WATDE0129	49.70
WATDE0131	55.11
WATDE0133	56.62
WATDE0134	NA
WATDE0136	NA
