IID	Hd_Quzhou_2022_Natural
Agron	176
Alba	194
Albatross	177
Alcedo	174
Alert	NA
Almus	191
Altria	171
ArinaLrFor	NA
Arminda	181
Aronde	NA
Avalon	191
Aztec	176
WATDE0003	177
WATDE0010	NA
WATDE0339	NA
WATDE0459	176
WATDE0476	187
WATDE0526	188
WATDE0532	189
WATDE0576	186
WATDE0612	174
WATDE0061	169
WATDE0668	177
WATDE0714	171
WATDE0762	176
WATDE0801	177
WATDE0868	178
WATDE0100	191
WATDE1030	190
Banco	191
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	194
Becard_Kachu	NA
Bersee	190
Boreonos	191
Bounty	191
Boxer	NA
Buster	NA
Calif	191
Camp_Remy	191
Capitiane	176
Capo	NA
Cappelle_Desprez	191
Catamaran	NA
Cezanne	175
Charger	187
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	170
Cimcog56	169
Claire	NA
Consort	NA
Courtot	191
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	190
Disponent	191
Dorby	NA
Drake	NA
Drauhofener_Kolben	191
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	188
Erland	NA
Eros	191
Expert	188
Extrem	188
Fanal	194
Felix	190
Fiorello	NA
Flair	192
Flame	191
Flamingo	NA
Florida	191
Gabo	NA
Galahad	185
Garcia	NA
Gawain	192
Glasgow	NA
Grafton	NA
Granada	192
Haven	194
Heine7	194
Hereward	190
Highbury	NA
Hobbit	172
Holdfast	NA
Hybrid46	192
Ibis	191
Iena	182
Ikarus	192
Jagger	NA
Joss_Cambier	191
Julius	NA
KWS_Santiago	NA
Karat	188
Koga1	NA
Kontrast	192
Kosack	NA
Kranich	190
Lancelot	NA
Leda	190
Legend	NA
Longbow	192
Lutin	191
MISR1	169
Mahndorfer	NA
Marco	194
Maris_Dove	NA
Maris_Widgeon	193
MarisHuntsman	188
Maris_ranger	188
Minister	191
Mironovska	183
Moisson	177
Muck	192
Multiweiss	181
Nautica	176
Newhaven	NA
Norda	191
Norin	NA
Obelisk	NA
Odeon	185
Odin	194
Oenus	188
Opata	169
Orlando	175
Palur	191
Pamyat	NA
Pastiche	191
Pavon76	170
Pepital	192
Peragis	NA
Perlo	174
Pfau	169
Pomerelle	NA
Pony	184
Prof_Marshall	191
Prophet	NA
Rabe	195
Rebel	NA
Recital	170
Record	190
Red_Fife	NA
Reedling	169
Regent	191
Renan	192
Rendezvous	169
Revelation	NA
Riband	NA
Rimpaus_Bastard2	193
RitzlhoferNeu	194
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	176
Shamrock	192
Shango	NA
Sicco	NA
Slejpner	192
Soissons	174
Soleil	NA
Spark	185
Sperber	190
Spitfire	NA
Sportsman	193
