IID	LODG_Quzhou_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	0.00
WATDE0010	NA
WATDE0339	0.00
WATDE0459	3.00
WATDE0476	3.00
WATDE0526	NA
WATDE0532	3.00
WATDE0576	NA
WATDE0612	NA
WATDE0061	NA
WATDE0668	2.00
WATDE0714	3.00
WATDE0762	3.00
WATDE0801	3.00
WATDE0868	NA
WATDE0100	1.00
WATDE1030	1.00
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	3.00
WATDE0002	2.00
WATDE0004	3.00
WATDE0005	NA
WATDE0006	0.00
WATDE0007	NA
WATDE0008	3.00
WATDE0009	3.00
WATDE0011	1.00
WATDE0012	3.00
WATDE0013	2.00
WATDE0014	0.00
WATDE0015	2.00
WATDE0016	3.00
WATDE0017	1.00
WATDE0018	2.00
WATDE0019	NA
WATDE0020	NA
WATDE0021	1.00
WATDE0022	0.00
WATDE0023	NA
WATDE0024	0.00
WATDE0025	3.00
WATDE0026	3.00
WATDE0027	2.00
WATDE0028	3.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	NA
WATDE0032	1.00
WATDE0033	NA
WATDE0034	2.00
WATDE0035	NA
WATDE0036	3.00
WATDE0037	3.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	2.00
WATDE0042	NA
WATDE0043	3.00
WATDE0044	2.00
WATDE0045	NA
WATDE0046	3.00
WATDE0047	1.00
WATDE0048	2.00
WATDE0049	3.00
WATDE0050	2.00
WATDE0051	1.00
WATDE0052	NA
WATDE0053	3.00
WATDE0054	NA
WATDE0055	1.00
WATDE0056	3.00
WATDE0057	NA
WATDE0058	3.00
WATDE0059	2.00
WATDE0060	3.00
WATDE0062	3.00
WATDE0063	NA
WATDE0064	3.00
WATDE0065	3.00
WATDE0066	3.00
WATDE0067	3.00
WATDE0068	2.00
WATDE0069	2.00
WATDE0070	2.00
WATDE0071	3.00
WATDE0072	2.00
WATDE0073	3.00
WATDE0074	NA
WATDE0075	2.00
WATDE0076	NA
WATDE0077	3.00
WATDE0078	3.00
WATDE0079	3.00
WATDE0080	3.00
WATDE0081	NA
WATDE0082	3.00
WATDE0083	3.00
WATDE0084	3.00
WATDE0085	NA
WATDE0086	3.00
WATDE0087	1.00
WATDE0088	NA
WATDE0089	1.00
WATDE0090	2.00
WATDE0091	3.00
WATDE0092	3.00
WATDE0093	NA
WATDE0094	NA
WATDE0095	NA
WATDE0096	NA
WATDE0097	NA
WATDE0098	3.00
WATDE0099	1.00
WATDE0101	NA
WATDE0102	NA
WATDE0103	2.00
WATDE0104	2.00
WATDE0105	NA
WATDE0106	2.00
WATDE0107	1.00
WATDE0108	1.00
WATDE0109	2.00
WATDE0110	2.00
WATDE0111	3.00
WATDE0112	0.00
WATDE0113	3.00
WATDE0114	2.00
WATDE0115	3.00
WATDE0116	3.00
WATDE0117	NA
WATDE0118	NA
WATDE0119	3.00
WATDE0120	3.00
WATDE0121	3.00
WATDE0122	NA
WATDE0123	3.00
WATDE0124	3.00
WATDE0126	3.00
WATDE0127	3.00
WATDE0129	3.00
WATDE0131	NA
WATDE0133	1.00
WATDE0134	0.00
