IID	LeafWid_Quzhou_2022_Flag_Natural
Agron	1.43
Alba	1.27
Albatross	1.47
Alcedo	1.50
Alert	1.20
Almus	1.37
Altria	1.33
ArinaLrFor	NA
Arminda	1.60
Aronde	1.43
Avalon	1.80
Aztec	1.67
WATDE0003	1.43
WATDE0010	NA
WATDE0339	1.73
WATDE0459	1.43
WATDE0476	1.23
WATDE0526	1.50
WATDE0532	1.27
WATDE0576	1.13
WATDE0612	1.33
WATDE0061	1.33
WATDE0668	1.33
WATDE0714	1.33
WATDE0762	1.40
WATDE0801	1.53
WATDE0868	1.50
WATDE0100	1.27
WATDE1030	1.50
Banco	1.70
Bandit	1.30
Banner	1.40
Beauchamp	NA
Beaver	1.77
Becard_Kachu	NA
Bersee	1.23
Boreonos	1.80
Bounty	1.80
Boxer	1.63
Buster	1.67
Calif	1.30
Camp_Remy	1.53
Capitiane	1.37
Capo	1.40
Cappelle_Desprez	1.53
Catamaran	1.03
Cezanne	1.80
Charger	1.43
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	1.30
Cimcog56	1.90
Claire	NA
Consort	1.37
Courtot	1.50
Crest	1.47
Crusoe	1.63
Diablo	1.33
Diplomat	1.73
Disponent	1.40
Dorby	1.20
Drake	NA
Drauhofener_Kolben	1.63
Druid	1.83
Encore	1.60
Equinox	1.60
Erla-Kolben	1.17
Erland	1.43
Eros	1.37
Expert	1.23
Extrem	1.23
Fanal	1.73
Felix	1.87
Fiorello	NA
Flair	1.37
Flame	1.23
Flamingo	1.60
Florida	1.93
Gabo	1.57
Galahad	1.93
Garcia	NA
Gawain	1.83
Glasgow	1.53
Grafton	NA
Granada	2.10
Haven	1.73
Heine7	1.43
Hereward	1.13
Highbury	1.67
Hobbit	1.33
Holdfast	1.50
Hybrid46	1.47
Ibis	1.87
Iena	1.47
Ikarus	1.37
Jagger	NA
Joss_Cambier	1.60
Julius	NA
KWS_Santiago	1.60
Karat	1.13
Koga1	NA
Kontrast	1.23
Kosack	1.67
Kranich	1.43
Lancelot	1.30
Leda	1.47
Legend	1.27
Longbow	1.93
Lutin	1.50
MISR1	1.43
Mahndorfer	1.90
Marco	1.57
Maris_Dove	1.47
Maris_Widgeon	1.60
MarisHuntsman	1.63
Maris_ranger	1.77
Minister	1.67
Mironovska	1.80
Moisson	1.80
Muck	1.45
Multiweiss	1.43
Nautica	1.70
Newhaven	1.50
Norda	1.77
Norin	NA
Obelisk	1.47
Odeon	1.63
Odin	1.90
Oenus	1.23
Opata	1.00
Orlando	1.67
Palur	1.50
Pamyat	1.50
Pastiche	1.63
Pavon76	1.50
Pepital	1.20
Peragis	1.23
Perlo	1.57
Pfau	1.73
Pomerelle	1.30
Pony	1.73
Prof_Marshall	1.07
Prophet	1.57
Rabe	1.93
Rebel	1.60
Recital	1.57
Record	1.30
Red_Fife	1.30
Reedling	1.50
Regent	1.60
Renan	1.47
Rendezvous	1.77
Revelation	NA
Riband	NA
Rimpaus_Bastard2	1.30
RitzlhoferNeu	1.30
SYMattis	NA
Savannah	NA
Schweigers_Taca	1.47
Scipion	1.70
Shamrock	1.80
Shango	1.63
Sicco	1.40
Slejpner	1.93
Soissons	1.30
Soleil	1.83
Spark	1.10
Sperber	1.13
Spitfire	1.23
Sportsman	2.13
Stamm101	1.07
Starke2	1.97
Stava	1.67
Stella	1.63
Super152	1.53
Svale	1.67
Tadorna	1.87
Talent	1.50
Tambor	1.27
Tandem	1.67
Tanker	2.03
Taras	1.40
Thatcher	1.67
Thor	1.47
Titus	1.37
Top	1.57
Torfrida	1.70
Trafalgar	NA
Treasure	1.23
Tremie	1.50
Triumph_NDL	1.47
Tschermaks	1.60
Turpin	1.37
Urban	1.53
Vaguedepis	1.80
Vilmorin53	1.70
Vilmorin27	1.63
Virgo	1.67
Vocal	1.83
Voyage	1.60
WATDE0001	1.43
WATDE0002	1.27
WATDE0004	1.73
WATDE0005	1.27
WATDE0006	1.77
WATDE0007	NA
WATDE0008	1.37
WATDE0009	1.57
WATDE0011	1.33
WATDE0012	1.27
WATDE0013	2.00
WATDE0014	1.60
WATDE0015	1.20
WATDE0016	1.20
WATDE0017	1.33
WATDE0018	1.47
WATDE0019	1.23
WATDE0020	1.73
WATDE0021	1.27
WATDE0022	1.50
WATDE0023	1.40
WATDE0024	1.40
WATDE0025	1.20
WATDE0026	1.30
WATDE0027	1.20
WATDE0028	1.43
WATDE0029	NA
WATDE0030	NA
WATDE0031	1.40
WATDE0032	1.33
WATDE0033	1.10
WATDE0034	1.47
WATDE0035	NA
WATDE0036	1.37
WATDE0037	1.47
WATDE0038	NA
WATDE0040	NA
WATDE0041	1.43
WATDE0042	1.33
WATDE0043	1.40
WATDE0044	1.10
WATDE0045	1.80
WATDE0046	0.93
WATDE0047	1.27
WATDE0048	1.67
WATDE0049	1.23
WATDE0050	1.40
WATDE0051	1.43
WATDE0052	1.33
WATDE0053	1.30
WATDE0054	1.43
WATDE0055	1.23
WATDE0056	1.27
WATDE0057	1.10
WATDE0058	1.47
WATDE0059	1.00
WATDE0060	1.57
WATDE0062	1.33
WATDE0063	1.37
WATDE0064	1.20
WATDE0065	1.43
WATDE0066	1.17
WATDE0067	1.47
WATDE0068	1.47
WATDE0069	1.43
WATDE0070	1.67
WATDE0071	1.57
WATDE0072	1.57
WATDE0073	1.07
WATDE0074	1.57
WATDE0075	1.17
WATDE0076	1.47
WATDE0077	1.33
WATDE0078	1.27
WATDE0079	1.20
WATDE0080	1.27
WATDE0081	NA
WATDE0082	1.43
WATDE0083	1.40
WATDE0084	1.37
WATDE0085	1.60
WATDE0086	1.27
WATDE0087	1.50
WATDE0088	1.33
WATDE0089	1.80
WATDE0090	1.13
WATDE0091	1.43
WATDE0092	1.80
WATDE0093	1.30
WATDE0094	1.37
WATDE0095	1.17
WATDE0096	1.23
WATDE0097	1.50
WATDE0098	1.10
WATDE0099	1.60
WATDE0101	1.60
WATDE0102	1.23
WATDE0103	1.17
WATDE0104	1.47
WATDE0105	1.33
WATDE0106	1.40
WATDE0107	1.10
WATDE0108	1.33
WATDE0109	1.37
WATDE0110	1.23
WATDE0111	1.33
WATDE0112	1.63
WATDE0113	1.27
WATDE0114	1.43
WATDE0115	1.40
WATDE0116	1.50
WATDE0117	1.13
WATDE0118	1.27
WATDE0119	1.17
WATDE0120	1.40
WATDE0121	1.50
WATDE0122	1.40
WATDE0123	1.53
WATDE0124	1.40
WATDE0126	1.37
WATDE0127	1.43
WATDE0129	1.27
WATDE0131	1.13
WATDE0133	1.17
WATDE0134	1.37
WATDE0136	NA
WATDE0138	1.20
WATDE0140	1.40
WATDE0141	1.47
WATDE0143	NA
WATDE0144	1.33
WATDE0145	1.20
WATDE0146	1.20
WATDE0148	1.67
WATDE0149	1.60
WATDE0150	1.50
WATDE0151	1.13
WATDE0152	1.20
WATDE0153	1.47
WATDE0154	1.47
WATDE0156	1.40
WATDE0157	1.40
WATDE0158	1.50
WATDE0159	1.33
WATDE0160	1.53
WATDE0162	1.37
WATDE0164	1.43
WATDE0165	1.43
WATDE0168	1.80
WATDE0169	1.43
WATDE0171	NA
WATDE0173	1.30
WATDE0174	1.30
WATDE0175	1.50
WATDE0176	1.07
WATDE0177	1.37
WATDE0178	1.67
WATDE0180	1.27
WATDE0181	1.43
WATDE0182	1.97
WATDE0183	1.23
WATDE0184	1.90
WATDE0185	1.47
WATDE0187	NA
WATDE0188	1.37
WATDE0190	1.67
WATDE0191	1.70
WATDE0192	1.53
WATDE0194	1.60
WATDE0195	1.47
WATDE0196	1.17
WATDE0198	1.40
WATDE0199	1.33
WATDE0200	1.27
WATDE0202	1.43
WATDE0203	1.17
WATDE0204	1.27
WATDE0205	1.30
WATDE0206	1.60
WATDE0207	1.93
WATDE0209	1.83
WATDE0211	1.67
WATDE0212	1.43
WATDE0214	1.70
WATDE0215	1.63
WATDE0216	1.67
WATDE0217	1.53
WATDE0219	1.20
WATDE0220	1.40
WATDE0221	1.20
WATDE0222	1.40
WATDE0223	1.57
WATDE0224	1.13
WATDE0225	1.73
WATDE0227	1.17
WATDE0228	1.47
WATDE0229	1.47
WATDE0230	1.60
WATDE0232	1.70
WATDE0233	1.43
WATDE0234	1.30
WATDE0235	1.57
WATDE0236	1.77
WATDE0237	1.73
WATDE0238	1.37
WATDE0239	1.57
WATDE0241	NA
WATDE0242	1.93
WATDE0243	NA
WATDE0244	1.57
WATDE0246	1.57
WATDE0247	1.40
WATDE0248	1.23
WATDE0249	1.30
WATDE0250	1.40
WATDE0252	1.33
WATDE0253	1.47
WATDE0254	1.60
WATDE0255	1.37
WATDE0257	1.30
WATDE0258	1.40
WATDE0259	1.40
WATDE0260	1.43
WATDE0262	1.77
WATDE0263	1.27
WATDE0264	1.30
WATDE0266	1.70
WATDE0268	1.43
WATDE0270	1.40
WATDE0271	1.43
WATDE0272	1.43
WATDE0273	1.60
WATDE0275	1.50
WATDE0276	1.60
WATDE0277	1.60
WATDE0278	1.60
WATDE0280	1.73
WATDE0281	1.50
WATDE0282	1.20
WATDE0284	1.47
WATDE0285	1.60
WATDE0286	1.43
WATDE0287	1.57
WATDE0288	1.73
WATDE0290	1.33
WATDE0291	1.67
WATDE0292	1.33
WATDE0293	1.17
WATDE0294	1.43
WATDE0296	1.27
WATDE0298	1.30
WATDE0299	1.70
WATDE0301	1.27
WATDE0302	1.40
WATDE0303	NA
WATDE0304	1.20
WATDE0305	1.57
WATDE0306	1.43
WATDE0308	1.37
WATDE0310	1.27
WATDE0312	1.57
WATDE0313	1.47
WATDE0315	1.30
WATDE0316	1.37
WATDE0317	1.57
WATDE0318	1.43
WATDE0319	1.20
WATDE0321	1.43
WATDE0323	NA
WATDE0324	1.60
WATDE0325	1.17
WATDE0328	1.60
WATDE0329	1.30
WATDE0331	1.53
WATDE0332	1.53
WATDE0333	1.40
WATDE0334	1.33
WATDE0335	1.17
WATDE0336	1.37
WATDE0337	2.17
WATDE0340	1.67
WATDE0342	1.63
WATDE0343	1.80
WATDE0344	1.37
WATDE0345	1.40
WATDE0346	1.13
WATDE0347	1.67
WATDE0348	1.50
WATDE0350	1.40
WATDE0352	1.53
WATDE0353	1.77
WATDE0354	1.67
WATDE0355	1.60
WATDE0356	1.40
WATDE0358	1.37
WATDE0359	1.33
WATDE0361	1.60
WATDE0363	1.57
WATDE0365	1.70
WATDE0366	1.50
WATDE0368	1.30
WATDE0369	1.57
WATDE0370	0.77
WATDE0371	1.23
WATDE0372	1.23
WATDE0373	1.40
WATDE0374	1.33
WATDE0375	1.23
WATDE0377	NA
WATDE0378	1.07
WATDE0379	1.57
WATDE0381	1.47
WATDE0382	1.30
WATDE0383	1.23
WATDE0385	1.33
WATDE0386	NA
WATDE0387	1.37
WATDE0389	1.23
WATDE0391	1.23
WATDE0392	1.20
WATDE0394	1.33
WATDE0396	1.33
WATDE0397	1.53
WATDE0399	1.93
WATDE0401	1.30
WATDE0403	1.23
WATDE0404	1.50
WATDE0405	NA
WATDE0407	1.30
WATDE0408	1.13
WATDE0409	1.47
WATDE0410	1.00
WATDE0411	1.50
WATDE0412	1.47
WATDE0413	2.00
WATDE0415	1.43
WATDE0417	1.43
WATDE0419	1.30
WATDE0420	1.20
WATDE0421	1.27
WATDE0422	1.33
WATDE0423	1.57
WATDE0424	1.50
WATDE0425	1.40
WATDE0426	1.37
WATDE0427	1.57
WATDE0428	1.60
WATDE0429	1.30
WATDE0430	1.73
WATDE0431	1.57
WATDE0432	1.23
WATDE0433	1.37
WATDE0434	1.40
WATDE0435	1.13
WATDE0436	1.23
WATDE0438	NA
WATDE0439	1.53
WATDE0440	1.50
WATDE0441	1.37
WATDE0442	1.43
WATDE0443	1.60
WATDE0444	1.70
WATDE0445	1.60
WATDE0446	1.47
WATDE0448	1.43
WATDE0449	1.30
WATDE0450	1.37
WATDE0451	1.33
WATDE0452	1.20
WATDE0453	1.30
WATDE0454	1.70
WATDE0455	1.37
WATDE0456	1.37
