IID	Mat_Shenzhen_2022_Natural_50percentXin
Agron	171
Alba	NA
Albatross	171
Alcedo	NA
Alert	NA
Almus	NA
Altria	165
ArinaLrFor	NA
Arminda	NA
Aronde	160
Avalon	NA
Aztec	NA
WATDE0003	168
WATDE0010	NA
WATDE0339	NA
WATDE0459	159
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	174
WATDE0612	164
WATDE0061	124
WATDE0668	168
WATDE0714	151
WATDE0762	151
WATDE0801	157
WATDE0868	173
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	164
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	174
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	164
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	154
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	174
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	182
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	165
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	184
Ikarus	NA
Jagger	NA
Joss_Cambier	182
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	171
Leda	NA
Legend	NA
Longbow	NA
Lutin	174
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	155
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	151
Minister	NA
Mironovska	NA
Moisson	NA
Muck	164
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	167
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	174
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	182
Prophet	NA
Rabe	NA
Rebel	NA
Recital	164
Record	NA
Red_Fife	169
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	164
Shamrock	NA
Shango	NA
Sicco	165
Slejpner	NA
Soissons	173
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	173
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	156
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	178
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	182
Vilmorin53	182
Vilmorin27	182
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	160
WATDE0002	130
WATDE0004	159
WATDE0005	121
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	159
WATDE0012	NA
WATDE0013	162
WATDE0014	NA
WATDE0015	131
