IID	PH_Kaifeng-GH_2020_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	100.00
WATDE0010	NA
WATDE0339	NA
WATDE0459	146.67
WATDE0476	154.33
WATDE0526	NA
WATDE0532	NA
WATDE0576	157.67
WATDE0612	80.00
WATDE0061	91.00
WATDE0668	93.00
WATDE0714	163.00
WATDE0762	116.00
WATDE0801	105.00
WATDE0868	165.00
WATDE0100	61.00
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	132.00
WATDE0002	100.00
WATDE0004	143.00
WATDE0005	89.00
WATDE0006	113.33
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	89.00
WATDE0012	132.20
WATDE0013	93.00
WATDE0014	109.80
WATDE0015	89.00
WATDE0016	134.67
WATDE0017	89.00
WATDE0018	100.00
WATDE0019	NA
WATDE0020	83.00
WATDE0021	NA
WATDE0022	NA
WATDE0023	80.00
WATDE0024	NA
WATDE0025	94.00
WATDE0026	145.50
WATDE0027	141.00
WATDE0028	145.33
WATDE0029	NA
WATDE0030	NA
WATDE0031	NA
WATDE0032	80.00
WATDE0033	164.33
WATDE0034	89.00
WATDE0035	NA
WATDE0036	98.00
WATDE0037	107.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	100.00
WATDE0042	NA
WATDE0043	144.50
WATDE0044	102.33
WATDE0045	NA
WATDE0046	NA
WATDE0047	112.00
WATDE0048	NA
WATDE0049	144.50
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	97.00
WATDE0054	140.50
WATDE0055	104.33
WATDE0056	86.00
WATDE0057	147.00
WATDE0058	165.00
WATDE0059	128.00
WATDE0060	74.00
WATDE0062	106.00
WATDE0063	121.33
WATDE0064	125.00
WATDE0065	138.00
WATDE0066	122.00
WATDE0067	80.00
WATDE0068	102.00
WATDE0069	96.00
WATDE0070	NA
WATDE0071	101.00
WATDE0072	117.00
WATDE0073	NA
WATDE0074	143.67
WATDE0075	112.00
WATDE0076	NA
WATDE0077	153.00
WATDE0078	162.00
WATDE0079	117.00
WATDE0080	139.00
WATDE0081	NA
WATDE0082	NA
WATDE0083	82.00
WATDE0084	138.67
WATDE0085	143.00
WATDE0086	NA
WATDE0087	89.00
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	79.00
WATDE0092	91.00
WATDE0093	172.00
WATDE0094	NA
WATDE0095	175.67
WATDE0096	NA
WATDE0097	NA
WATDE0098	146.33
WATDE0099	76.00
WATDE0101	81.00
WATDE0102	NA
WATDE0103	116.67
WATDE0104	122.00
WATDE0105	150.33
WATDE0106	185.50
WATDE0107	152.33
WATDE0108	NA
WATDE0109	127.00
WATDE0110	139.33
WATDE0111	137.50
WATDE0112	111.33
WATDE0113	187.67
WATDE0114	159.33
WATDE0115	139.33
WATDE0116	83.00
WATDE0117	NA
WATDE0118	157.67
WATDE0119	121.67
WATDE0120	80.00
WATDE0121	112.00
WATDE0122	90.00
WATDE0123	NA
WATDE0124	108.00
WATDE0126	86.00
WATDE0127	100.00
WATDE0129	86.00
WATDE0131	73.00
WATDE0133	94.00
WATDE0134	NA
