IID	PH_Shenzhen-LN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	105.46
WATDE0459	98.10
WATDE0476	69.00
WATDE0526	NA
WATDE0532	NA
WATDE0576	84.80
WATDE0612	NA
WATDE0061	119.31
WATDE0668	NA
WATDE0714	128.13
WATDE0762	112.31
WATDE0801	121.71
WATDE0868	137.90
WATDE0100	97.65
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	138.45
WATDE0002	83.76
WATDE0004	103.97
WATDE0005	100.59
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	80.74
WATDE0012	67.11
WATDE0013	124.02
WATDE0014	71.90
WATDE0015	101.98
WATDE0016	96.77
WATDE0017	NA
WATDE0018	120.97
WATDE0019	NA
WATDE0020	87.30
WATDE0021	NA
WATDE0022	NA
WATDE0023	96.16
WATDE0024	NA
WATDE0025	116.95
WATDE0026	128.29
WATDE0027	104.98
WATDE0028	110.82
WATDE0029	NA
WATDE0030	NA
WATDE0031	119.12
WATDE0032	109.15
WATDE0033	127.24
WATDE0034	116.59
WATDE0035	NA
WATDE0036	128.66
WATDE0037	109.32
WATDE0038	NA
WATDE0040	NA
WATDE0041	126.76
WATDE0042	123.64
WATDE0043	113.77
WATDE0044	71.21
WATDE0045	NA
WATDE0046	NA
WATDE0047	121.89
WATDE0048	NA
WATDE0049	73.57
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	109.75
WATDE0054	117.31
WATDE0055	96.79
WATDE0056	111.80
WATDE0057	109.37
WATDE0058	126.94
WATDE0059	80.16
WATDE0060	125.85
WATDE0062	99.31
WATDE0063	122.62
WATDE0064	91.96
WATDE0065	81.11
WATDE0066	121.21
WATDE0067	98.31
WATDE0068	107.80
WATDE0069	128.10
WATDE0070	NA
WATDE0071	120.08
WATDE0072	110.50
WATDE0073	NA
WATDE0074	124.94
WATDE0075	96.61
WATDE0076	124.48
WATDE0077	125.47
WATDE0078	78.13
WATDE0079	58.97
WATDE0080	87.46
WATDE0081	NA
WATDE0082	NA
WATDE0083	96.97
WATDE0084	53.61
WATDE0085	94.60
WATDE0086	NA
WATDE0087	102.31
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	115.94
WATDE0092	122.62
WATDE0093	109.33
WATDE0094	120.39
WATDE0095	110.41
WATDE0096	100.81
WATDE0097	132.89
WATDE0098	102.46
WATDE0099	88.97
WATDE0101	127.59
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	115.13
WATDE0106	NA
WATDE0107	100.42
WATDE0108	NA
WATDE0109	NA
WATDE0110	128.48
WATDE0111	115.66
WATDE0112	112.92
WATDE0113	123.57
WATDE0114	65.92
WATDE0115	111.76
WATDE0116	130.64
WATDE0117	NA
WATDE0118	132.74
WATDE0119	78.29
WATDE0120	NA
WATDE0121	120.08
WATDE0122	114.94
WATDE0123	128.67
WATDE0124	69.82
WATDE0126	120.99
WATDE0127	140.31
WATDE0129	129.40
WATDE0131	114.06
WATDE0133	114.65
WATDE0134	NA
WATDE0136	NA
