IID	TN_Shenzhen_20220208_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	121
WATDE0010	NA
WATDE0339	NA
WATDE0459	197
WATDE0476	188.5
WATDE0526	NA
WATDE0532	215
WATDE0576	112
WATDE0612	194
WATDE0061	105.5
WATDE0668	129.5
WATDE0714	136
WATDE0762	148
WATDE0801	152.5
WATDE0868	NA
WATDE0100	225.5
WATDE1030	290
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	102
WATDE0002	113
WATDE0004	192
WATDE0005	115.5
WATDE0006	163
WATDE0007	NA
WATDE0008	265.5
WATDE0009	310.5
WATDE0011	99.5
WATDE0012	218.5
WATDE0013	88.5
WATDE0014	NA
WATDE0015	82.5
WATDE0016	270
WATDE0017	NA
WATDE0018	168
WATDE0019	NA
WATDE0020	88
WATDE0021	199.5
WATDE0022	NA
WATDE0023	119
WATDE0024	NA
WATDE0025	135
WATDE0026	147.5
WATDE0027	242.5
WATDE0028	153.5
WATDE0029	NA
WATDE0030	NA
WATDE0031	219.5
WATDE0032	202
WATDE0033	222.5
WATDE0034	170
WATDE0035	NA
WATDE0036	100
WATDE0037	166.5
WATDE0038	NA
WATDE0040	NA
WATDE0041	134
WATDE0042	218.5
WATDE0043	264
WATDE0044	NA
WATDE0045	209
WATDE0046	221.5
WATDE0047	136.5
WATDE0048	NA
WATDE0049	175
WATDE0050	NA
WATDE0051	199.5
WATDE0052	NA
WATDE0053	133.5
WATDE0054	199.5
WATDE0055	190.5
WATDE0056	257
WATDE0057	92
WATDE0058	126
WATDE0059	NA
WATDE0060	178.5
WATDE0062	141.5
WATDE0063	165.5
WATDE0064	142
WATDE0065	137.5
WATDE0066	149
WATDE0067	171.5
WATDE0068	128.5
WATDE0069	237.5
WATDE0070	229
WATDE0071	159.5
WATDE0072	117.5
WATDE0073	313.5
WATDE0074	118
WATDE0075	125
WATDE0076	205.5
WATDE0077	138
WATDE0078	278
WATDE0079	349
WATDE0080	180.5
WATDE0081	NA
WATDE0082	332.5
WATDE0083	119.5
WATDE0084	188.5
WATDE0085	243
WATDE0086	265.5
WATDE0087	159.5
WATDE0088	267.5
WATDE0089	NA
WATDE0090	184.5
WATDE0091	125
WATDE0092	113
WATDE0093	212.5
WATDE0094	150.5
WATDE0095	142.5
WATDE0096	172.5
WATDE0097	95
WATDE0098	194.5
WATDE0099	154.5
WATDE0101	135.5
WATDE0102	186.5
WATDE0103	185
WATDE0104	NA
WATDE0105	205.5
WATDE0106	207
WATDE0107	135.5
WATDE0108	208
WATDE0109	176.5
WATDE0110	150
WATDE0111	140
WATDE0112	86
WATDE0113	171
WATDE0114	318
WATDE0115	134
WATDE0116	74
WATDE0117	148.5
WATDE0118	161.5
WATDE0119	233
WATDE0120	NA
WATDE0121	115.5
WATDE0122	157
WATDE0123	78
WATDE0124	84
WATDE0126	127.5
WATDE0127	137
WATDE0129	147
WATDE0131	176.5
WATDE0133	104.5
WATDE0134	NA
WATDE0136	198
WATDE0138	NA
WATDE0140	195.5
WATDE0141	NA
WATDE0143	NA
WATDE0144	237.5
WATDE0145	201
WATDE0146	211.5
WATDE0148	138.5
WATDE0149	125
