IID	AWNLG_Kaifeng-GH_2020_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	2.10
WATDE0010	NA
WATDE0339	NA
WATDE0459	9.32
WATDE0476	6.77
WATDE0526	7.60
WATDE0532	NA
WATDE0576	7.34
WATDE0612	5.80
WATDE0061	7.30
WATDE0668	10.15
WATDE0714	7.58
WATDE0762	8.40
WATDE0801	5.80
WATDE0868	4.15
WATDE0100	3.30
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	0.00
WATDE0002	0.40
WATDE0004	2.22
WATDE0005	0.00
WATDE0006	0.70
WATDE0007	NA
WATDE0008	NA
WATDE0009	0.80
WATDE0011	1.20
WATDE0012	2.54
WATDE0013	0.20
WATDE0014	1.26
WATDE0015	0.00
WATDE0016	5.50
WATDE0017	0.30
WATDE0018	1.20
WATDE0019	NA
WATDE0020	0.00
WATDE0021	NA
WATDE0022	NA
WATDE0023	0.00
WATDE0024	NA
WATDE0025	8.90
WATDE0026	7.92
WATDE0027	9.87
WATDE0028	5.70
WATDE0029	NA
WATDE0030	NA
WATDE0031	NA
WATDE0032	8.00
WATDE0033	8.36
WATDE0034	1.90
WATDE0035	NA
WATDE0036	8.50
WATDE0037	7.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	5.50
WATDE0042	5.40
WATDE0043	8.38
WATDE0044	6.03
WATDE0045	NA
WATDE0046	NA
WATDE0047	7.40
WATDE0048	NA
WATDE0049	6.80
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	1.00
WATDE0054	3.40
WATDE0055	5.30
WATDE0056	7.50
WATDE0057	6.83
WATDE0058	7.83
WATDE0059	9.60
WATDE0060	9.50
WATDE0062	8.20
WATDE0063	6.56
WATDE0064	8.18
WATDE0065	9.05
WATDE0066	5.00
WATDE0067	7.30
WATDE0068	7.60
WATDE0069	8.30
WATDE0070	NA
WATDE0071	7.30
WATDE0072	6.20
WATDE0073	NA
WATDE0074	9.06
WATDE0075	5.80
WATDE0076	NA
WATDE0077	4.06
WATDE0078	5.00
WATDE0079	12.93
WATDE0080	10.06
WATDE0081	NA
WATDE0082	NA
WATDE0083	7.50
WATDE0084	9.73
WATDE0085	8.34
WATDE0086	NA
WATDE0087	6.50
WATDE0088	NA
WATDE0089	NA
WATDE0090	6.70
WATDE0091	7.80
WATDE0092	6.30
WATDE0093	4.10
WATDE0094	NA
WATDE0095	0.23
WATDE0096	NA
WATDE0097	4.90
WATDE0098	4.20
WATDE0099	0.20
WATDE0101	0.60
WATDE0102	NA
WATDE0103	0.90
WATDE0104	5.70
WATDE0105	5.87
WATDE0106	7.00
WATDE0107	8.41
WATDE0108	NA
WATDE0109	5.77
WATDE0110	9.89
WATDE0111	8.05
WATDE0112	5.77
WATDE0113	6.78
WATDE0114	3.50
WATDE0115	0.00
WATDE0116	2.10
WATDE0117	1.30
WATDE0118	1.13
WATDE0119	10.12
WATDE0120	0.00
WATDE0121	0.00
WATDE0122	1.00
WATDE0123	NA
WATDE0124	0.10
WATDE0126	0.00
WATDE0127	0.40
WATDE0129	2.20
WATDE0131	0.20
WATDE0133	0.60
