IID	AWNLG_Shenzhen-LN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	NA
WATDE0459	7.08
WATDE0476	6.26
WATDE0526	NA
WATDE0532	NA
WATDE0576	3.65
WATDE0612	NA
WATDE0061	4.94
WATDE0668	NA
WATDE0714	7.76
WATDE0762	9.36
WATDE0801	8.24
WATDE0868	7.96
WATDE0100	2.58
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	NA
WATDE0002	0.46
WATDE0004	2.59
WATDE0005	NA
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	NA
WATDE0012	2.87
WATDE0013	4.00
WATDE0014	3.54
WATDE0015	NA
WATDE0016	2.80
WATDE0017	NA
WATDE0018	1.43
WATDE0019	NA
WATDE0020	1.01
WATDE0021	NA
WATDE0022	NA
WATDE0023	0.55
WATDE0024	NA
WATDE0025	10.63
WATDE0026	10.88
WATDE0027	6.98
WATDE0028	6.91
WATDE0029	NA
WATDE0030	NA
WATDE0031	9.95
WATDE0032	7.36
WATDE0033	7.79
WATDE0034	8.16
WATDE0035	NA
WATDE0036	9.60
WATDE0037	9.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	6.69
WATDE0042	5.89
WATDE0043	8.29
WATDE0044	3.65
WATDE0045	NA
WATDE0046	NA
WATDE0047	5.15
WATDE0048	NA
WATDE0049	6.56
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	8.52
WATDE0054	7.45
WATDE0055	6.98
WATDE0056	5.11
WATDE0057	7.97
WATDE0058	7.24
WATDE0059	4.69
WATDE0060	7.08
WATDE0062	6.72
WATDE0063	4.99
WATDE0064	4.90
WATDE0065	6.13
WATDE0066	7.64
WATDE0067	6.84
WATDE0068	6.40
WATDE0069	8.60
WATDE0070	NA
WATDE0071	9.86
WATDE0072	7.56
WATDE0073	NA
WATDE0074	6.10
WATDE0075	3.74
WATDE0076	5.36
WATDE0077	5.17
WATDE0078	6.51
WATDE0079	5.84
WATDE0080	6.19
WATDE0081	NA
WATDE0082	NA
WATDE0083	8.09
WATDE0084	5.80
WATDE0085	4.20
WATDE0086	NA
WATDE0087	5.56
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	9.08
WATDE0092	8.73
WATDE0093	8.27
WATDE0094	3.26
WATDE0095	1.01
WATDE0096	3.06
WATDE0097	6.05
WATDE0098	5.66
WATDE0099	NA
WATDE0101	2.03
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	8.01
WATDE0106	NA
WATDE0107	5.51
WATDE0108	NA
WATDE0109	NA
WATDE0110	5.54
WATDE0111	4.80
WATDE0112	5.06
WATDE0113	7.02
WATDE0114	4.83
WATDE0115	0.66
WATDE0116	1.36
WATDE0117	NA
WATDE0118	0.60
WATDE0119	6.88
WATDE0120	NA
WATDE0121	NA
WATDE0122	0.75
WATDE0123	2.16
WATDE0124	2.06
WATDE0126	1.48
WATDE0127	2.10
WATDE0129	2.51
WATDE0131	0.56
WATDE0133	2.77
WATDE0134	NA
WATDE0136	NA
