IID	Ant_Quzhou_2022_Natural
Agron	181
Alba	196
Albatross	181
Alcedo	178
Alert	NA
Almus	194
Altria	177
ArinaLrFor	NA
Arminda	185
Aronde	NA
Avalon	194
Aztec	180
WATDE0003	180
WATDE0010	NA
WATDE0339	NA
WATDE0459	180
WATDE0476	190
WATDE0526	190
WATDE0532	191
WATDE0576	188
WATDE0612	178
WATDE0061	174
WATDE0668	180
WATDE0714	180
WATDE0762	180
WATDE0801	180
WATDE0868	181
WATDE0100	194
WATDE1030	192
Banco	194
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	196
Becard_Kachu	NA
Bersee	192
Boreonos	194
Bounty	194
Boxer	NA
Buster	NA
Calif	194
Camp_Remy	194
Capitiane	181
Capo	NA
Cappelle_Desprez	194
Catamaran	NA
Cezanne	179
Charger	190
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	177
Cimcog56	175
Claire	NA
Consort	NA
Courtot	194
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	192
Disponent	194
Dorby	NA
Drake	NA
Drauhofener_Kolben	194
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	193
Erland	NA
Eros	194
Expert	193
Extrem	193
Fanal	196
Felix	192
Fiorello	NA
Flair	194
Flame	194
Flamingo	NA
Florida	194
Gabo	171
Galahad	188
Garcia	NA
Gawain	195
Glasgow	NA
Grafton	NA
Granada	195
Haven	196
Heine7	196
Hereward	192
Highbury	NA
Hobbit	179
Holdfast	NA
Hybrid46	195
Ibis	194
Iena	187
Ikarus	194
Jagger	NA
Joss_Cambier	194
Julius	NA
KWS_Santiago	NA
Karat	191
Koga1	NA
Kontrast	194
Kosack	NA
Kranich	192
Lancelot	NA
Leda	192
Legend	NA
Longbow	195
Lutin	194
MISR1	174
Mahndorfer	NA
Marco	196
Maris_Dove	NA
Maris_Widgeon	196
MarisHuntsman	190
Maris_ranger	190
Minister	194
Mironovska	185
Moisson	181
Muck	194
Multiweiss	190
Nautica	179
Newhaven	NA
Norda	194
Norin	NA
Obelisk	NA
Odeon	178
Odin	196
Oenus	191
Opata	145
Orlando	179
Palur	194
Pamyat	NA
Pastiche	194
Pavon76	173
Pepital	194
Peragis	NA
Perlo	178
Pfau	176
Pomerelle	NA
Pony	188
Prof_Marshall	194
Prophet	NA
Rabe	197
Rebel	NA
Recital	177
Record	194
Red_Fife	NA
Reedling	175
Regent	194
Renan	194
Rendezvous	174
Revelation	NA
Riband	NA
Rimpaus_Bastard2	196
RitzlhoferNeu	196
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
