IID	Ant_Shenzhen_2022_Natural_50percent
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	124
WATDE0010	NA
WATDE0339	157
WATDE0459	131
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	146
WATDE0612	130
WATDE0061	82
WATDE0668	132
WATDE0714	121
WATDE0762	119
WATDE0801	129
WATDE0868	135
WATDE0100	NA
WATDE1030	171
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	121
WATDE0002	90
WATDE0004	131
WATDE0005	63
WATDE0006	NA
WATDE0007	NA
WATDE0008	157
WATDE0009	155
WATDE0011	134
WATDE0012	162
WATDE0013	128
WATDE0014	NA
WATDE0015	97
WATDE0016	136
WATDE0017	144
WATDE0018	127
WATDE0019	NA
WATDE0020	134
WATDE0021	160
WATDE0022	169
WATDE0023	88
WATDE0024	NA
WATDE0025	120
WATDE0026	128
WATDE0027	146
WATDE0028	133
WATDE0029	NA
WATDE0030	NA
WATDE0031	155
WATDE0032	137
WATDE0033	130
WATDE0034	133
WATDE0035	NA
WATDE0036	112
WATDE0037	126
WATDE0038	NA
WATDE0040	NA
WATDE0041	97
WATDE0042	NA
WATDE0043	155
WATDE0044	NA
WATDE0045	161
WATDE0046	174
WATDE0047	146
WATDE0048	153
WATDE0049	NA
WATDE0050	NA
WATDE0051	159
WATDE0052	NA
WATDE0053	116
WATDE0054	115
WATDE0055	143
WATDE0056	131
WATDE0057	112
WATDE0058	135
WATDE0059	174
WATDE0060	130
WATDE0062	130
WATDE0063	119
WATDE0064	145
WATDE0065	152
WATDE0066	129
WATDE0067	120
WATDE0068	130
WATDE0069	160
WATDE0070	149
WATDE0071	117
WATDE0072	121
WATDE0073	161
WATDE0074	124
WATDE0075	132
WATDE0076	177
WATDE0077	113
WATDE0078	163
WATDE0079	172
WATDE0080	135
WATDE0081	NA
WATDE0082	171
WATDE0083	129
WATDE0084	NA
WATDE0085	170
WATDE0086	NA
WATDE0087	129
WATDE0088	166
WATDE0089	NA
WATDE0090	124
WATDE0091	113
WATDE0092	126
WATDE0093	127
WATDE0094	142
WATDE0095	133
WATDE0096	144
WATDE0097	123
WATDE0098	127
WATDE0099	136
WATDE0101	83
WATDE0102	167
WATDE0103	NA
WATDE0104	NA
WATDE0105	133
WATDE0106	168
WATDE0107	133
WATDE0108	NA
WATDE0109	NA
WATDE0110	128
WATDE0111	132
WATDE0112	86
WATDE0113	134
WATDE0114	151
WATDE0115	87
WATDE0116	119
WATDE0117	125
WATDE0118	128
WATDE0119	174
WATDE0120	119
WATDE0121	120
WATDE0122	133
WATDE0123	87
WATDE0124	88
WATDE0126	123
WATDE0127	141
WATDE0129	103
WATDE0131	122
WATDE0133	123
WATDE0134	138
WATDE0136	135
WATDE0138	NA
WATDE0140	157
WATDE0141	165
WATDE0143	NA
WATDE0144	135
WATDE0145	135
WATDE0146	134
WATDE0148	118
WATDE0149	82
WATDE0150	90
WATDE0151	122
WATDE0152	132
WATDE0153	108
WATDE0154	92
WATDE0156	117
WATDE0157	126
WATDE0158	110
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	170
WATDE0165	171
