IID	Boot_Shenzhen_2022_Natural_1st
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	107
WATDE0010	NA
WATDE0339	144
WATDE0459	118
WATDE0476	171
WATDE0526	NA
WATDE0532	NA
WATDE0576	127
WATDE0612	107
WATDE0061	63
WATDE0668	106
WATDE0714	81
WATDE0762	103
WATDE0801	115
WATDE0868	116
WATDE0100	NA
WATDE1030	151
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	109
WATDE0002	65
WATDE0004	111
WATDE0005	50
WATDE0006	71
WATDE0007	NA
WATDE0008	122
WATDE0009	138
WATDE0011	118
WATDE0012	147
WATDE0013	115
WATDE0014	NA
WATDE0015	79
WATDE0016	119
WATDE0017	126
WATDE0018	102
WATDE0019	NA
WATDE0020	119
WATDE0021	118
WATDE0022	157
WATDE0023	62
WATDE0024	NA
WATDE0025	99
WATDE0026	110
WATDE0027	136
WATDE0028	100
WATDE0029	NA
WATDE0030	NA
WATDE0031	135
WATDE0032	120
WATDE0033	116
WATDE0034	113
WATDE0035	NA
WATDE0036	88
WATDE0037	115
WATDE0038	NA
WATDE0040	NA
WATDE0041	76
WATDE0042	170
WATDE0043	137
WATDE0044	NA
WATDE0045	117
WATDE0046	163
WATDE0047	122
WATDE0048	140
WATDE0049	124
WATDE0050	NA
WATDE0051	115
WATDE0052	NA
WATDE0053	92
WATDE0054	83
WATDE0055	130
WATDE0056	117
WATDE0057	89
WATDE0058	116
WATDE0059	147
WATDE0060	70
WATDE0062	108
WATDE0063	95
WATDE0064	121
WATDE0065	135
WATDE0066	112
WATDE0067	94
WATDE0068	114
WATDE0069	112
WATDE0070	135
WATDE0071	95
WATDE0072	104
WATDE0073	97
WATDE0074	104
WATDE0075	116
WATDE0076	162
WATDE0077	90
WATDE0078	137
WATDE0079	158
WATDE0080	117
WATDE0081	NA
WATDE0082	157
WATDE0083	107
WATDE0084	137
WATDE0085	153
WATDE0086	115
WATDE0087	113
WATDE0088	128
WATDE0089	NA
WATDE0090	102
WATDE0091	91
WATDE0092	112
WATDE0093	107
WATDE0094	127
WATDE0095	113
WATDE0096	121
WATDE0097	104
WATDE0098	91
WATDE0099	120
WATDE0101	65
WATDE0102	147
WATDE0103	NA
WATDE0104	NA
WATDE0105	115
WATDE0106	157
WATDE0107	118
WATDE0108	153
WATDE0109	NA
WATDE0110	108
WATDE0111	109
WATDE0112	63
WATDE0113	110
WATDE0114	134
WATDE0115	67
WATDE0116	102
WATDE0117	103
WATDE0118	110
WATDE0119	161
WATDE0120	99
WATDE0121	106
WATDE0122	116
WATDE0123	66
WATDE0124	66
WATDE0126	100
WATDE0127	126
WATDE0129	80
WATDE0131	102
WATDE0133	95
WATDE0134	120
WATDE0136	70
WATDE0138	NA
WATDE0140	117
WATDE0141	153
WATDE0143	NA
WATDE0144	120
WATDE0145	120
WATDE0146	120
WATDE0148	94
WATDE0149	63
WATDE0150	69
WATDE0151	109
WATDE0152	118
WATDE0153	79
WATDE0154	73
WATDE0156	99
WATDE0157	106
WATDE0158	91
WATDE0159	87
WATDE0160	91
WATDE0162	NA
WATDE0164	157
WATDE0165	154
WATDE0168	158
