IID	Boot_Shenzhen_2022_Natural_50percent
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	117
WATDE0010	NA
WATDE0339	150
WATDE0459	120
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	135
WATDE0612	122
WATDE0061	70
WATDE0668	122
WATDE0714	113
WATDE0762	111
WATDE0801	120
WATDE0868	123
WATDE0100	NA
WATDE1030	163
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	116
WATDE0002	73
WATDE0004	121
WATDE0005	55
WATDE0006	NA
WATDE0007	NA
WATDE0008	147
WATDE0009	146
WATDE0011	124
WATDE0012	155
WATDE0013	121
WATDE0014	NA
WATDE0015	88
WATDE0016	126
WATDE0017	134
WATDE0018	116
WATDE0019	NA
WATDE0020	127
WATDE0021	151
WATDE0022	163
WATDE0023	69
WATDE0024	NA
WATDE0025	79
WATDE0026	118
WATDE0027	139
WATDE0028	121
WATDE0029	NA
WATDE0030	NA
WATDE0031	148
WATDE0032	126
WATDE0033	121
WATDE0034	121
WATDE0035	NA
WATDE0036	97
WATDE0037	122
WATDE0038	NA
WATDE0040	NA
WATDE0041	84
WATDE0042	NA
WATDE0043	145
WATDE0044	NA
WATDE0045	154
WATDE0046	168
WATDE0047	134
WATDE0048	146
WATDE0049	NA
WATDE0050	NA
WATDE0051	149
WATDE0052	NA
WATDE0053	99
WATDE0054	104
WATDE0055	133
WATDE0056	123
WATDE0057	95
WATDE0058	125
WATDE0059	164
WATDE0060	120
WATDE0062	120
WATDE0063	110
WATDE0064	135
WATDE0065	143
WATDE0066	120
WATDE0067	104
WATDE0068	122
WATDE0069	151
WATDE0070	142
WATDE0071	108
WATDE0072	114
WATDE0073	152
WATDE0074	112
WATDE0075	124
WATDE0076	171
WATDE0077	102
WATDE0078	157
WATDE0079	163
WATDE0080	125
WATDE0081	NA
WATDE0082	162
WATDE0083	116
WATDE0084	NA
WATDE0085	160
WATDE0086	NA
WATDE0087	118
WATDE0088	155
WATDE0089	NA
WATDE0090	112
WATDE0091	100
WATDE0092	118
WATDE0093	118
WATDE0094	131
WATDE0095	119
WATDE0096	134
WATDE0097	113
WATDE0098	118
WATDE0099	126
WATDE0101	72
WATDE0102	159
WATDE0103	NA
WATDE0104	NA
WATDE0105	122
WATDE0106	160
WATDE0107	124
WATDE0108	NA
WATDE0109	NA
WATDE0110	120
WATDE0111	122
WATDE0112	73
WATDE0113	121
WATDE0114	152
WATDE0115	73
WATDE0116	110
WATDE0117	114
WATDE0118	119
WATDE0119	165
WATDE0120	104
WATDE0121	113
WATDE0122	124
WATDE0123	74
WATDE0124	74
WATDE0126	113
WATDE0127	133
WATDE0129	86
WATDE0131	113
WATDE0133	110
WATDE0134	126
WATDE0136	126
WATDE0138	NA
WATDE0140	147
WATDE0141	157
WATDE0143	NA
WATDE0144	128
WATDE0145	128
WATDE0146	126
WATDE0148	106
WATDE0149	71
WATDE0150	76
WATDE0151	116
WATDE0152	125
WATDE0153	94
WATDE0154	84
WATDE0156	108
WATDE0157	117
WATDE0158	97
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	165
WATDE0165	164
