IID	CC_Shenzhen-NN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	49.84
WATDE0010	NA
WATDE0339	NA
WATDE0459	38.83
WATDE0476	49.33
WATDE0526	NA
WATDE0532	NA
WATDE0576	43.92
WATDE0612	51.38
WATDE0061	30.86
WATDE0668	43.79
WATDE0714	39.48
WATDE0762	51.32
WATDE0801	42.75
WATDE0868	47.48
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	45.13
WATDE0002	47.10
WATDE0004	42.90
WATDE0005	38.19
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	40.14
WATDE0012	NA
WATDE0013	44.09
WATDE0014	NA
WATDE0015	44.77
WATDE0016	49.00
WATDE0017	NA
WATDE0018	48.74
WATDE0019	NA
WATDE0020	46.66
WATDE0021	NA
WATDE0022	NA
WATDE0023	51.53
WATDE0024	NA
WATDE0025	41.22
WATDE0026	40.49
WATDE0027	39.52
WATDE0028	44.35
WATDE0029	NA
WATDE0030	NA
WATDE0031	51.17
WATDE0032	48.31
WATDE0033	45.66
WATDE0034	42.10
WATDE0035	NA
WATDE0036	40.95
WATDE0037	34.87
WATDE0038	NA
WATDE0040	NA
WATDE0041	41.52
WATDE0042	43.43
WATDE0043	40.93
WATDE0044	38.72
WATDE0045	NA
WATDE0046	NA
WATDE0047	42.66
WATDE0048	NA
WATDE0049	49.32
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	41.71
WATDE0054	43.71
WATDE0055	39.57
WATDE0056	44.60
WATDE0057	45.77
WATDE0058	46.85
WATDE0059	46.51
WATDE0060	40.10
WATDE0062	41.81
WATDE0063	36.80
WATDE0064	46.05
WATDE0065	43.54
WATDE0066	41.00
WATDE0067	35.57
WATDE0068	46.63
WATDE0069	44.43
WATDE0070	NA
WATDE0071	35.19
WATDE0072	47.47
WATDE0073	NA
WATDE0074	45.13
WATDE0075	40.92
WATDE0076	44.76
WATDE0077	43.28
WATDE0078	38.88
WATDE0079	46.43
WATDE0080	41.40
WATDE0081	NA
WATDE0082	NA
WATDE0083	44.51
WATDE0084	40.11
WATDE0085	41.39
WATDE0086	NA
WATDE0087	46.38
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	40.29
WATDE0092	46.54
WATDE0093	40.49
WATDE0094	42.26
WATDE0095	43.93
WATDE0096	53.44
WATDE0097	49.40
WATDE0098	50.02
WATDE0099	47.61
WATDE0101	54.74
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	45.37
WATDE0106	48.96
WATDE0107	38.79
WATDE0108	NA
WATDE0109	NA
WATDE0110	41.18
WATDE0111	45.54
WATDE0112	46.74
WATDE0113	48.31
WATDE0114	37.41
WATDE0115	37.06
WATDE0116	44.57
WATDE0117	NA
WATDE0118	38.66
WATDE0119	47.25
WATDE0120	NA
WATDE0121	43.97
WATDE0122	48.26
WATDE0123	41.22
WATDE0124	51.81
WATDE0126	43.69
WATDE0127	41.01
WATDE0129	44.44
WATDE0131	48.04
WATDE0133	62.01
WATDE0134	NA
WATDE0136	NA
