IID	CHL_Shenzhen-NN_2020_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	NA
WATDE0459	12.57726043
WATDE0476	11.37693571
WATDE0526	NA
WATDE0532	NA
WATDE0576	17.49065006
WATDE0612	NA
WATDE0061	6.939731613
WATDE0668	NA
WATDE0714	17.70531807
WATDE0762	NA
WATDE0801	NA
WATDE0868	15.35825996
WATDE0100	9.981633363
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	9.131290427
WATDE0002	NA
WATDE0004	12.82677095
WATDE0005	6.717037609
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	NA
WATDE0012	NA
WATDE0013	NA
WATDE0014	NA
WATDE0015	6.679066679
WATDE0016	14.65071043
WATDE0017	NA
WATDE0018	12.80966209
WATDE0019	NA
WATDE0020	13.17591819
WATDE0021	NA
WATDE0022	NA
WATDE0023	NA
WATDE0024	NA
WATDE0025	NA
WATDE0026	NA
WATDE0027	NA
WATDE0028	17.64901437
WATDE0029	NA
WATDE0030	NA
WATDE0031	14.13664008
WATDE0032	NA
WATDE0033	11.87810177
WATDE0034	NA
WATDE0035	NA
WATDE0036	11.14602227
WATDE0037	NA
WATDE0038	NA
WATDE0040	NA
WATDE0041	28.19556066
WATDE0042	13.64164499
WATDE0043	NA
WATDE0044	NA
WATDE0045	NA
WATDE0046	NA
WATDE0047	13.29798557
WATDE0048	NA
WATDE0049	10.04477789
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	NA
WATDE0054	13.67895758
WATDE0055	10.83161439
WATDE0056	7.304776536
WATDE0057	12.03793485
WATDE0058	14.75797939
WATDE0059	NA
WATDE0060	8.162828736
WATDE0062	9.980946652
WATDE0063	16.01637201
WATDE0064	20.86242819
WATDE0065	NA
WATDE0066	NA
WATDE0067	NA
WATDE0068	11.42215226
WATDE0069	NA
WATDE0070	NA
WATDE0071	21.82724362
WATDE0072	14.39266127
WATDE0073	NA
WATDE0074	8.160456328
WATDE0075	17.33382103
WATDE0076	9.637628379
WATDE0077	15.8531936
WATDE0078	14.30495153
WATDE0079	NA
WATDE0080	16.94947894
WATDE0081	NA
WATDE0082	NA
WATDE0083	NA
WATDE0084	NA
WATDE0085	NA
WATDE0086	NA
WATDE0087	NA
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	NA
WATDE0092	NA
WATDE0093	8.38959524
WATDE0094	NA
WATDE0095	10.36080902
WATDE0096	12.9382986
WATDE0097	NA
WATDE0098	7.852543686
WATDE0099	14.81066077
WATDE0101	8.432305707
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	15.43979933
WATDE0106	NA
WATDE0107	14.57876938
WATDE0108	NA
WATDE0109	NA
WATDE0110	10.28434256
WATDE0111	6.067371026
WATDE0112	7.286229304
WATDE0113	17.61178366
WATDE0114	17.25250048
WATDE0115	4.921379935
WATDE0116	12.27619006
WATDE0117	NA
WATDE0118	7.81247261
WATDE0119	NA
WATDE0120	NA
WATDE0121	14.96595877
WATDE0122	NA
WATDE0123	10.32224149
