IID	CirDe_Quzhou_2022_Natural
Agron	0.484
Alba	NA
Albatross	0.471
Alcedo	NA
Alert	NA
Almus	0.455
Altria	0.53
ArinaLrFor	NA
Arminda	0.451
Aronde	NA
Avalon	NA
Aztec	0.534
WATDE0003	0.49
WATDE0010	NA
WATDE0339	0.48
WATDE0459	0.45
WATDE0476	0.48
WATDE0526	0.42
WATDE0532	0.44
WATDE0576	0.45
WATDE0612	0.51
WATDE0061	0.45
WATDE0668	0.44
WATDE0714	0.45
WATDE0762	0.42
WATDE0801	0.44
WATDE0868	0.49
WATDE0100	0.44
WATDE1030	0.45
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	0.514
Capo	0.465
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	0.5
Charger	0.468
Chinese_Spring	NA
Cimcog26	0.548
Cimcog3	NA
Cimcog47	0.487
Cimcog56	0.486
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	0.482
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	0.493
Equinox	0.429
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	0.502
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	0.545
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	0.502
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	0.473
Iena	0.454
Ikarus	0.465
Jagger	NA
Joss_Cambier	0.494
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	0.496
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	0.494
Mahndorfer	NA
Marco	NA
Maris_Dove	0.506
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	0.547
Muck	NA
Multiweiss	NA
Nautica	0.472
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	0.473
Opata	0.481
Orlando	NA
Palur	NA
