IID	EARLG_Quzhou_2022_Natural
Agron	NA
Alba	12.20
Albatross	10.10
Alcedo	9.17
Alert	10.53
Almus	NA
Altria	10.17
ArinaLrFor	NA
Arminda	10.83
Aronde	11.13
Avalon	11.67
Aztec	9.10
WATDE0003	9.63
WATDE0010	NA
WATDE0339	8.40
WATDE0459	10.17
WATDE0476	NA
WATDE0526	NA
WATDE0532	9.47
WATDE0576	8.67
WATDE0612	8.80
WATDE0061	9.17
WATDE0668	NA
WATDE0714	7.97
WATDE0762	10.07
WATDE0801	10.67
WATDE0868	10.17
WATDE0100	14.23
WATDE1030	11.33
Banco	10.67
Bandit	11.07
Banner	NA
Beauchamp	NA
Beaver	11.17
Becard_Kachu	NA
Bersee	11.50
Boreonos	NA
Bounty	12.40
Boxer	9.60
Buster	8.13
Calif	NA
Camp_Remy	8.27
Capitiane	8.00
Capo	NA
Cappelle_Desprez	9.80
Catamaran	7.20
Cezanne	8.17
Charger	9.23
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	10.83
Courtot	10.37
Crest	9.83
Crusoe	10.77
Diablo	8.77
Diplomat	10.50
Disponent	8.13
Dorby	9.73
Drake	9.00
Drauhofener_Kolben	10.70
Druid	9.17
Encore	11.17
Equinox	9.87
Erla-Kolben	9.83
Erland	NA
Eros	6.93
Expert	NA
Extrem	NA
Fanal	13.00
Felix	8.63
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	13.33
Florida	12.83
Gabo	9.30
Galahad	11.30
Garcia	NA
Gawain	9.50
Glasgow	8.83
Grafton	NA
Granada	12.47
Haven	9.83
Heine7	7.70
Hereward	10.17
Highbury	10.67
Hobbit	8.90
Holdfast	11.00
Hybrid46	10.30
Ibis	NA
Iena	NA
Ikarus	10.17
Jagger	NA
Joss_Cambier	9.07
Julius	NA
KWS_Santiago	9.23
Karat	NA
Koga1	NA
Kontrast	8.50
Kosack	10.23
Kranich	7.00
Lancelot	7.33
Leda	12.93
Legend	11.17
Longbow	11.67
Lutin	9.97
MISR1	NA
Mahndorfer	10.00
Marco	11.23
Maris_Dove	10.87
Maris_Widgeon	13.00
MarisHuntsman	9.00
Maris_ranger	10.17
Minister	13.00
Mironovska	9.83
Moisson	NA
Muck	NA
Multiweiss	7.97
Nautica	9.33
Newhaven	8.10
Norda	11.80
Norin	NA
Obelisk	7.67
Odeon	11.73
Odin	13.67
Oenus	10.10
Opata	10.10
Orlando	9.07
Palur	11.20
Pamyat	9.00
Pastiche	12.20
Pavon76	10.27
Pepital	NA
Peragis	9.80
Perlo	10.90
Pfau	NA
Pomerelle	7.63
Pony	8.37
Prof_Marshall	7.50
Prophet	NA
Rabe	10.33
Rebel	11.40
Recital	7.63
Record	12.30
Red_Fife	13.17
Reedling	NA
Regent	9.30
Renan	NA
Rendezvous	13.75
Revelation	NA
Riband	NA
Rimpaus_Bastard2	9.33
RitzlhoferNeu	11.50
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	8.43
Shamrock	9.90
Shango	NA
Sicco	11.53
Slejpner	8.33
Soissons	NA
Soleil	10.27
Spark	7.33
Sperber	7.57
Spitfire	11.03
Sportsman	9.23
Stamm101	8.80
Starke2	11.27
Stava	9.73
Stella	11.40
Super152	NA
Svale	10.77
Tadorna	11.60
Talent	10.10
Tambor	9.40
Tandem	10.40
Tanker	11.00
Taras	10.97
Thatcher	11.63
Thor	10.10
Titus	9.30
Top	12.23
Torfrida	8.00
Trafalgar	NA
Treasure	7.87
Tremie	7.17
Triumph_NDL	NA
Tschermaks	NA
Turpin	8.10
Urban	11.17
Vaguedepis	10.83
Vilmorin53	10.87
Vilmorin27	8.70
Virgo	NA
Vocal	9.90
Voyage	10.50
WATDE0001	10.60
WATDE0002	11.13
WATDE0004	9.73
WATDE0005	10.87
WATDE0006	8.07
WATDE0007	NA
WATDE0008	11.53
WATDE0009	NA
WATDE0011	10.57
WATDE0012	10.27
WATDE0013	NA
WATDE0014	9.37
WATDE0015	9.87
WATDE0016	10.25
WATDE0017	11.87
WATDE0018	NA
WATDE0019	11.97
WATDE0020	6.27
WATDE0021	12.77
WATDE0022	NA
WATDE0023	6.80
WATDE0024	10.00
WATDE0025	10.07
WATDE0026	9.70
WATDE0027	8.43
WATDE0028	8.33
WATDE0029	NA
WATDE0030	NA
WATDE0031	12.00
WATDE0032	NA
WATDE0033	10.20
WATDE0034	12.27
WATDE0035	NA
WATDE0036	10.47
WATDE0037	10.23
WATDE0038	NA
WATDE0040	NA
WATDE0041	8.87
WATDE0042	11.67
WATDE0043	11.87
WATDE0044	9.87
WATDE0045	13.00
WATDE0046	10.17
WATDE0047	12.07
