IID	FHB_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	0.91
WATDE0010	NA
WATDE0339	NA
WATDE0459	0.69
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	NA
WATDE0612	0.76
WATDE0061	0.74
WATDE0668	NA
WATDE0714	0.75
WATDE0762	NA
WATDE0801	NA
WATDE0868	NA
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	0.97
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	0.46
WATDE0002	0.33
WATDE0004	1.00
WATDE0005	0.83
WATDE0006	NA
WATDE0007	NA
WATDE0008	0.60
WATDE0009	NA
WATDE0011	0.66
WATDE0012	NA
WATDE0013	0.63
WATDE0014	NA
WATDE0015	NA
WATDE0016	0.45
WATDE0017	NA
WATDE0018	0.84
WATDE0019	NA
WATDE0020	1.00
WATDE0021	NA
WATDE0022	NA
WATDE0023	1.00
WATDE0024	NA
WATDE0025	NA
WATDE0026	0.87
WATDE0027	0.74
WATDE0028	NA
WATDE0029	NA
WATDE0030	NA
WATDE0031	0.80
WATDE0032	0.47
WATDE0033	0.35
WATDE0034	0.55
WATDE0035	NA
WATDE0036	0.67
WATDE0037	0.93
WATDE0038	NA
WATDE0040	NA
WATDE0041	0.47
WATDE0042	NA
WATDE0043	0.84
WATDE0044	NA
WATDE0045	NA
WATDE0046	NA
WATDE0047	0.89
WATDE0048	NA
WATDE0049	NA
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	0.34
WATDE0054	0.91
WATDE0055	0.46
WATDE0056	0.83
WATDE0057	0.71
WATDE0058	0.79
WATDE0059	NA
WATDE0060	0.67
WATDE0062	0.87
WATDE0063	0.81
WATDE0064	0.64
WATDE0065	NA
WATDE0066	0.36
WATDE0067	0.24
WATDE0068	0.75
WATDE0069	0.47
WATDE0070	0.57
WATDE0071	0.24
WATDE0072	0.54
WATDE0073	NA
WATDE0074	0.32
WATDE0075	0.33
WATDE0076	NA
WATDE0077	0.23
WATDE0078	NA
WATDE0079	NA
WATDE0080	0.99
WATDE0081	NA
WATDE0082	NA
WATDE0083	0.78
WATDE0084	NA
WATDE0085	NA
WATDE0086	NA
WATDE0087	NA
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	0.46
WATDE0092	0.48
WATDE0093	NA
WATDE0094	NA
WATDE0095	0.79
WATDE0096	0.90
WATDE0097	NA
WATDE0098	NA
WATDE0099	0.68
WATDE0101	0.75
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	0.45
WATDE0106	NA
WATDE0107	0.93
WATDE0108	NA
WATDE0109	NA
WATDE0110	0.91
WATDE0111	0.97
WATDE0112	0.69
WATDE0113	0.64
WATDE0114	0.94
WATDE0115	0.85
WATDE0116	0.98
WATDE0117	0.82
WATDE0118	0.85
WATDE0119	NA
WATDE0120	NA
WATDE0121	0.17
WATDE0122	NA
WATDE0123	NA
WATDE0124	0.77
WATDE0126	0.66
WATDE0127	NA
WATDE0129	0.75
WATDE0131	NA
WATDE0133	0.66
WATDE0134	NA
WATDE0136	NA
WATDE0138	NA
WATDE0140	NA
