IID	FT_Shenzhen-NN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	NA
WATDE0459	133
WATDE0476	177
WATDE0526	NA
WATDE0532	NA
WATDE0576	147
WATDE0612	130
WATDE0061	NA
WATDE0668	130
WATDE0714	NA
WATDE0762	NA
WATDE0801	NA
WATDE0868	133
WATDE0100	93
WATDE1030	158
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	111
WATDE0002	NA
WATDE0004	133
WATDE0005	NA
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	133
WATDE0012	118
WATDE0013	NA
WATDE0014	NA
WATDE0015	NA
WATDE0016	133
WATDE0017	NA
WATDE0018	NA
WATDE0019	NA
WATDE0020	NA
WATDE0021	NA
WATDE0022	NA
WATDE0023	NA
WATDE0024	NA
WATDE0025	NA
WATDE0026	NA
WATDE0027	133
WATDE0028	133
WATDE0029	NA
WATDE0030	NA
WATDE0031	111
WATDE0032	133
WATDE0033	NA
WATDE0034	133
WATDE0035	NA
WATDE0036	106
WATDE0037	120
WATDE0038	NA
WATDE0040	NA
WATDE0041	107
WATDE0042	133
WATDE0043	NA
WATDE0044	NA
WATDE0045	NA
WATDE0046	NA
WATDE0047	NA
WATDE0048	NA
WATDE0049	158
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	122
WATDE0054	133
WATDE0055	133
WATDE0056	133
WATDE0057	106.5
WATDE0058	133
WATDE0059	120
WATDE0060	133
WATDE0062	NA
WATDE0063	111
WATDE0064	133
WATDE0065	136
WATDE0066	133
WATDE0067	NA
WATDE0068	133
WATDE0069	133
WATDE0070	NA
WATDE0071	NA
WATDE0072	NA
WATDE0073	NA
WATDE0074	NA
WATDE0075	133
WATDE0076	NA
WATDE0077	108.5
WATDE0078	160
WATDE0079	NA
WATDE0080	133
WATDE0081	NA
WATDE0082	NA
WATDE0083	NA
WATDE0084	NA
WATDE0085	120
WATDE0086	NA
WATDE0087	130
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	107
WATDE0092	NA
WATDE0093	133
WATDE0094	133
WATDE0095	NA
WATDE0096	NA
WATDE0097	NA
WATDE0098	111
WATDE0099	NA
WATDE0101	NA
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	133
WATDE0106	161
WATDE0107	133
WATDE0108	NA
WATDE0109	NA
WATDE0110	122
WATDE0111	120
WATDE0112	NA
WATDE0113	133
WATDE0114	159
WATDE0115	NA
WATDE0116	117
WATDE0117	NA
WATDE0118	NA
WATDE0119	136
WATDE0120	NA
WATDE0121	111
WATDE0122	NA
WATDE0123	93
WATDE0124	NA
WATDE0126	115
WATDE0127	130
WATDE0129	115
WATDE0131	115
WATDE0133	NA
WATDE0134	NA
WATDE0136	120
WATDE0138	NA
WATDE0140	NA
WATDE0141	NA
WATDE0143	NA
WATDE0144	130
WATDE0145	133
WATDE0146	133
WATDE0148	NA
WATDE0149	NA
WATDE0150	NA
WATDE0151	NA
WATDE0152	NA
WATDE0153	NA
WATDE0154	NA
WATDE0156	111
WATDE0157	130
