IID	GLng_Quzhou_2022_Natural
Agron	7.062
Alba	NA
Albatross	7.099
Alcedo	NA
Alert	NA
Almus	6.555
Altria	6.71
ArinaLrFor	NA
Arminda	7.041
Aronde	NA
Avalon	NA
Aztec	6.472
WATDE0003	5.80
WATDE0010	NA
WATDE0339	6.72
WATDE0459	7.04
WATDE0476	6.65
WATDE0526	7.25
WATDE0532	6.91
WATDE0576	6.34
WATDE0612	6.12
WATDE0061	7.15
WATDE0668	7.12
WATDE0714	6.56
WATDE0762	7.59
WATDE0801	7.27
WATDE0868	6.47
WATDE0100	6.31
WATDE1030	6.61
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	6.923
Capo	6.907
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	7.223
Charger	6.614
Chinese_Spring	NA
Cimcog26	6.21
Cimcog3	NA
Cimcog47	7.063
Cimcog56	7.33
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	7.105
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	6.049
Equinox	7.154
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	6.451
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	6.185
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	6.676
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	6.459
Iena	7.009
Ikarus	6.499
Jagger	NA
Joss_Cambier	6.94
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	6.533
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	6.779
Mahndorfer	NA
Marco	NA
Maris_Dove	6.012
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	7.048
Muck	NA
Multiweiss	NA
Nautica	6.82
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	6.936
Opata	6.787
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	6.735
Pepital	NA
Peragis	7.189
Perlo	NA
Pfau	6.69
Pomerelle	6.619
Pony	6.655
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	6.742
Recital	5.995
Record	NA
Red_Fife	NA
Reedling	7.008
Regent	6.74
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	7.06
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	7.197
Shamrock	6.372
Shango	NA
Sicco	5.926
Slejpner	NA
Soissons	6.626
Soleil	7.005
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
