IID	GW_Quzhou_2022_Natural_1000Xin
Agron	39.437
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	35.294
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	44.487
WATDE0003	43.28
WATDE0010	NA
WATDE0339	42.96
WATDE0459	44.61
WATDE0476	36.79
WATDE0526	38.24
WATDE0532	38.77
WATDE0576	27.23
WATDE0612	37.14
WATDE0061	47.43
WATDE0668	37.63
WATDE0714	37.76
WATDE0762	47.66
WATDE0801	38.64
WATDE0868	36.83
WATDE0100	31.89
WATDE1030	35.35
Banco	43.21
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	44.828
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	46.591
Charger	47.887
Chinese_Spring	NA
Cimcog26	50
Cimcog3	38.494
Cimcog47	47.059
Cimcog56	45.113
Claire	NA
Consort	28.763
Courtot	38.326
Crest	NA
Crusoe	39.024
Diablo	NA
Diplomat	NA
Disponent	41.358
Dorby	37.58
Drake	NA
Drauhofener_Kolben	NA
Druid	35.119
Encore	27.273
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	36.82
Extrem	NA
Fanal	NA
Felix	40.191
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	39.227
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	38.532
Highbury	31.609
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	38.318
Ikarus	NA
Jagger	NA
Joss_Cambier	44.538
Julius	NA
KWS_Santiago	32.11
Karat	39.429
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	48.387
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	42.177
Minister	NA
Mironovska	NA
Moisson	39.904
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	47.664
Norin	NA
Obelisk	NA
Odeon	37.952
Odin	NA
Oenus	36.574
Opata	NA
Orlando	NA
Palur	36.416
Pamyat	50.376
Pastiche	NA
Pavon76	38.049
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	47.333
Pomerelle	41.667
Pony	44.828
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	38.191
Recital	NA
Record	NA
Red_Fife	NA
Reedling	50.962
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	41.912
RitzlhoferNeu	30.814
SYMattis	NA
Savannah	28.934
Schweigers_Taca	42.4
Scipion	37.736
Shamrock	38.365
Shango	NA
Sicco	40
Slejpner	33.007
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	44.444
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	43.103
Thor	NA
Titus	NA
Top	NA
Torfrida	48.634
Trafalgar	NA
Treasure	NA
Tremie	41.558
Triumph_NDL	41.981
Tschermaks	32.632
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	35.65
WATDE0002	35.91
WATDE0004	35.85
WATDE0005	NA
WATDE0006	40.54
WATDE0007	NA
WATDE0008	44.26
WATDE0009	39.54
WATDE0011	28.56
WATDE0012	34.97
WATDE0013	36.84
WATDE0014	37.25
WATDE0015	39.84
WATDE0016	29.75
WATDE0017	36.48
WATDE0018	45.46
WATDE0019	57.54
WATDE0020	27.71
WATDE0021	46.85
WATDE0022	38.15
WATDE0023	37.88
WATDE0024	40.67
WATDE0025	37.98
WATDE0026	45.13
WATDE0027	41.46
WATDE0028	38.81
WATDE0029	NA
WATDE0030	NA
WATDE0031	36.95
WATDE0032	43.26
WATDE0033	30.77
WATDE0034	33.23
WATDE0035	NA
WATDE0036	28.17
WATDE0037	44.15
WATDE0038	NA
WATDE0040	NA
WATDE0041	44.44
WATDE0042	35.80
WATDE0043	48.70
WATDE0044	47.24
WATDE0045	31.02
WATDE0046	38.62
WATDE0047	25.24
WATDE0048	40.19
WATDE0049	38.84
WATDE0050	51.33
WATDE0051	46.38
WATDE0052	44.58
WATDE0053	40.48
WATDE0054	42.17
WATDE0055	37.59
WATDE0056	38.59
WATDE0057	36.60
WATDE0058	41.67
WATDE0059	37.92
WATDE0060	33.93
WATDE0062	43.67
WATDE0063	44.25
WATDE0064	38.87
WATDE0065	33.53
WATDE0066	36.91
WATDE0067	40.64
WATDE0068	NA
WATDE0069	37.04
WATDE0070	44.17
WATDE0071	40.16
WATDE0072	43.35
WATDE0073	45.81
WATDE0074	50.00
WATDE0075	26.44
WATDE0076	37.01
WATDE0077	38.03
WATDE0078	43.41
WATDE0079	40.35
WATDE0080	51.09
WATDE0081	NA
WATDE0082	19.18
WATDE0083	47.71
WATDE0084	25.60
WATDE0085	41.21
WATDE0086	29.43
WATDE0087	35.84
WATDE0088	40.00
WATDE0089	32.12
WATDE0090	36.11
WATDE0091	43.00
WATDE0092	35.37
WATDE0093	NA
WATDE0094	29.23
WATDE0095	31.69
WATDE0096	37.20
WATDE0097	35.44
WATDE0098	51.12
WATDE0099	34.25
WATDE0101	25.43
WATDE0102	42.01
WATDE0103	39.57
