IID	GWid_Quzhou_2022_Natural
Agron	3.418
Alba	NA
Albatross	3.296
Alcedo	NA
Alert	NA
Almus	2.958
Altria	3.501
ArinaLrFor	NA
Arminda	3.177
Aronde	NA
Avalon	NA
Aztec	3.438
WATDE0003	2.76
WATDE0010	NA
WATDE0339	3.20
WATDE0459	3.15
WATDE0476	3.20
WATDE0526	3.05
WATDE0532	2.98
WATDE0576	2.79
WATDE0612	3.07
WATDE0061	3.20
WATDE0668	3.11
WATDE0714	2.98
WATDE0762	3.16
WATDE0801	3.19
WATDE0868	3.12
WATDE0100	2.78
WATDE1030	2.94
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	3.519
Capo	3.163
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	3.566
Charger	3.098
Chinese_Spring	NA
Cimcog26	3.357
Cimcog3	NA
Cimcog47	3.46
Cimcog56	3.579
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	3.345
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	2.983
Equinox	3.046
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	3.201
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	3.361
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	3.326
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	3.038
Iena	3.176
Ikarus	3.021
Jagger	NA
Joss_Cambier	3.415
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	3.214
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	3.371
Mahndorfer	NA
Marco	NA
Maris_Dove	3.032
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	3.797
Muck	NA
Multiweiss	NA
Nautica	3.152
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	3.238
Opata	3.254
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	3.192
Pepital	NA
Peragis	3.311
Perlo	NA
Pfau	3.532
Pomerelle	3.242
Pony	3.515
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	3.089
Recital	3.261
Record	NA
Red_Fife	NA
Reedling	3.475
Regent	3.106
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	3.1
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	3.51
Shamrock	2.841
Shango	NA
Sicco	3.002
Slejpner	NA
Soissons	3.376
Soleil	3.348
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	3.578
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	3.179
Tanker	NA
Taras	3.434
Thatcher	NA
Thor	NA
Titus	3.325
Top	NA
Torfrida	3.389
Trafalgar	NA
Treasure	3.225
Tremie	NA
Triumph_NDL	NA
Tschermaks	3.103
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	3.12
WATDE0002	3.16
WATDE0004	3.01
WATDE0005	NA
WATDE0006	3.52
WATDE0007	NA
WATDE0008	2.94
WATDE0009	3.05
WATDE0011	2.96
WATDE0012	3.10
WATDE0013	3.24
WATDE0014	3.04
WATDE0015	3.23
WATDE0016	2.82
WATDE0017	3.31
WATDE0018	3.44
WATDE0019	3.08
WATDE0020	2.81
WATDE0021	3.09
WATDE0022	3.05
WATDE0023	3.16
WATDE0024	3.34
WATDE0025	3.03
WATDE0026	3.16
WATDE0027	3.06
WATDE0028	3.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	3.05
WATDE0032	2.78
WATDE0033	2.90
WATDE0034	3.27
WATDE0035	NA
WATDE0036	3.10
WATDE0037	3.08
WATDE0038	NA
WATDE0040	NA
WATDE0041	3.21
WATDE0042	2.99
WATDE0043	3.14
WATDE0044	3.16
WATDE0045	2.77
WATDE0046	2.90
WATDE0047	2.59
WATDE0048	2.95
WATDE0049	3.08
WATDE0050	3.09
WATDE0051	2.82
WATDE0052	3.41
WATDE0053	3.19
WATDE0054	3.27
WATDE0055	3.18
WATDE0056	3.01
WATDE0057	2.84
WATDE0058	2.62
WATDE0059	3.00
WATDE0060	3.04
WATDE0062	2.98
WATDE0063	3.10
WATDE0064	3.01
WATDE0065	2.96
WATDE0066	3.00
WATDE0067	2.92
WATDE0068	3.00
WATDE0069	3.33
WATDE0070	3.26
WATDE0071	3.16
WATDE0072	3.18
WATDE0073	2.77
WATDE0074	3.43
WATDE0075	2.59
WATDE0076	2.84
WATDE0077	2.80
WATDE0078	2.90
WATDE0079	2.73
WATDE0080	3.14
WATDE0081	NA
WATDE0082	2.67
WATDE0083	3.02
WATDE0084	2.87
WATDE0085	3.10
WATDE0086	3.01
WATDE0087	3.01
WATDE0088	2.70
WATDE0089	3.48
WATDE0090	2.65
WATDE0091	2.78
WATDE0092	3.16
WATDE0093	NA
WATDE0094	2.84
WATDE0095	2.94
WATDE0096	3.11
WATDE0097	2.92
WATDE0098	3.44
WATDE0099	3.08
WATDE0101	2.87
WATDE0102	3.04
WATDE0103	2.79
WATDE0104	3.13
WATDE0105	2.78
WATDE0106	2.84
WATDE0107	2.74
WATDE0108	2.95
WATDE0109	3.07
WATDE0110	2.74
WATDE0111	2.68
WATDE0112	3.28
WATDE0113	2.79
WATDE0114	2.66
WATDE0115	2.85
WATDE0116	3.18
WATDE0117	3.16
WATDE0118	2.91
WATDE0119	3.12
WATDE0120	2.95
WATDE0121	3.08
WATDE0122	3.04
WATDE0123	3.27
WATDE0124	3.31
WATDE0126	3.00
WATDE0127	3.26
WATDE0129	3.29
WATDE0131	3.06
WATDE0133	3.30
WATDE0134	3.19
WATDE0136	2.88
WATDE0138	3.00
WATDE0140	2.92
WATDE0141	3.04
WATDE0143	NA
WATDE0144	2.81
WATDE0145	2.81
WATDE0146	2.83
WATDE0148	3.26
WATDE0149	3.12
WATDE0150	3.27
WATDE0151	3.23
WATDE0152	3.14
WATDE0153	3.14
WATDE0154	3.13
WATDE0156	3.08
WATDE0157	2.98
WATDE0158	3.35
WATDE0159	2.97
WATDE0160	3.01
WATDE0162	3.03
WATDE0164	3.07
WATDE0165	2.95
WATDE0168	3.28
WATDE0169	3.36
WATDE0171	NA
WATDE0173	3.18
WATDE0174	3.28
WATDE0175	3.33
WATDE0176	2.90
WATDE0177	3.13
WATDE0178	3.14
WATDE0180	3.10
WATDE0181	3.10
WATDE0182	3.49
WATDE0183	2.96
WATDE0184	NA
WATDE0185	3.19
WATDE0187	NA
WATDE0188	3.20
WATDE0190	3.28
WATDE0191	3.00
WATDE0192	2.89
WATDE0194	3.29
WATDE0195	3.01
WATDE0196	3.27
WATDE0198	3.02
WATDE0199	3.21
WATDE0200	3.25
WATDE0202	3.23
WATDE0203	2.87
WATDE0204	2.91
WATDE0205	3.07
WATDE0206	3.20
WATDE0207	3.10
WATDE0209	3.01
WATDE0211	3.09
WATDE0212	3.03
WATDE0214	2.97
WATDE0215	2.89
WATDE0216	3.03
WATDE0217	3.12
WATDE0219	3.03
WATDE0220	3.00
WATDE0221	3.07
WATDE0222	3.37
WATDE0223	3.34
WATDE0224	2.93
WATDE0225	2.73
WATDE0227	3.04
WATDE0228	3.09
WATDE0229	2.89
WATDE0230	2.84
WATDE0232	3.08
WATDE0233	3.12
WATDE0234	3.03
WATDE0235	NA
WATDE0236	3.12
WATDE0237	3.24
WATDE0238	3.10
WATDE0239	3.05
WATDE0241	NA
WATDE0242	3.28
WATDE0243	NA
WATDE0244	3.39
WATDE0246	3.54
WATDE0247	3.03
WATDE0248	2.87
WATDE0249	3.07
WATDE0250	2.90
WATDE0252	3.33
WATDE0253	3.29
WATDE0254	3.21
WATDE0255	3.22
WATDE0257	3.21
WATDE0258	3.33
WATDE0259	3.39
WATDE0260	3.46
WATDE0262	3.12
WATDE0263	3.06
WATDE0264	NA
WATDE0266	3.29
WATDE0268	3.05
WATDE0270	2.89
WATDE0271	3.28
WATDE0272	3.22
WATDE0273	3.30
WATDE0275	3.15
WATDE0276	3.19
WATDE0277	3.28
WATDE0278	3.07
WATDE0280	3.17
WATDE0281	3.29
WATDE0282	2.91
WATDE0284	3.25
WATDE0285	2.99
WATDE0286	2.97
WATDE0287	3.15
WATDE0288	2.92
WATDE0290	NA
WATDE0291	3.40
WATDE0292	3.08
WATDE0293	2.93
WATDE0294	3.19
WATDE0296	2.90
WATDE0298	NA
WATDE0299	3.05
WATDE0301	3.17
WATDE0302	3.12
WATDE0303	NA
WATDE0304	3.12
WATDE0305	3.25
WATDE0306	3.08
WATDE0308	2.74
WATDE0310	2.98
WATDE0312	2.87
WATDE0313	3.21
WATDE0315	2.83
WATDE0316	2.93
WATDE0317	3.34
WATDE0318	3.24
WATDE0319	3.02
WATDE0321	3.33
WATDE0323	NA
WATDE0324	3.24
WATDE0325	2.99
WATDE0328	3.08
WATDE0329	2.94
WATDE0331	2.88
WATDE0332	2.97
WATDE0333	2.99
WATDE0334	3.74
WATDE0335	2.95
WATDE0336	2.90
WATDE0337	3.27
WATDE0340	2.97
WATDE0342	2.93
WATDE0343	3.29
WATDE0344	3.37
WATDE0345	3.22
WATDE0346	3.14
WATDE0347	3.00
WATDE0348	2.95
WATDE0350	3.26
WATDE0352	2.86
WATDE0353	2.93
WATDE0354	2.95
WATDE0355	2.66
WATDE0356	2.85
WATDE0358	2.92
WATDE0359	3.09
WATDE0361	3.03
WATDE0363	3.03
WATDE0365	3.17
WATDE0366	3.11
WATDE0368	3.08
WATDE0369	3.14
WATDE0370	3.01
WATDE0371	3.08
WATDE0372	2.94
WATDE0373	3.07
WATDE0374	2.84
WATDE0375	3.09
WATDE0377	NA
WATDE0378	NA
WATDE0379	2.79
WATDE0381	3.08
WATDE0382	2.93
WATDE0383	3.01
WATDE0385	2.88
WATDE0386	NA
WATDE0387	2.80
WATDE0389	2.95
WATDE0391	2.75
WATDE0392	3.17
WATDE0394	2.92
WATDE0396	3.32
WATDE0397	3.17
WATDE0399	3.14
WATDE0401	3.23
WATDE0403	3.33
WATDE0404	3.19
WATDE0405	NA
WATDE0407	3.11
WATDE0408	2.90
WATDE0409	3.22
WATDE0410	3.10
WATDE0411	3.23
WATDE0412	3.15
WATDE0413	3.06
WATDE0415	2.54
WATDE0417	3.32
WATDE0419	3.20
WATDE0420	2.98
WATDE0421	3.01
WATDE0422	3.02
WATDE0423	2.93
WATDE0424	3.43
